D2_confirmation_time,earliest_discriminative_point,event_id,first_D2_precursor,first_abnormal_inventory_build,first_directional_persistence,first_grid_headroom_compression,first_inventory_stress,first_one_sided_fill_cluster,first_range_break,first_reversal_failure,first_unrealized_loss_acceleration,first_volatility_expansion,symbol,tail_event_time,true_tail_mechanism,window_key
2026-07-13T01:58:59.999000+00:00,2026-07-13T01:06:59.999000+00:00,D2-928e959c7af15629,2026-07-13T01:26:59.999000+00:00,2026-07-11T09:24:59.999000+00:00,2026-07-10T23:01:59.999000+00:00,2026-07-12T23:53:59.999000+00:00,2026-07-11T09:24:59.999000+00:00,2026-07-12T23:16:59.999000+00:00,2026-07-13T01:26:59.999000+00:00,2026-07-10T23:00:59.999000+00:00,2026-07-10T23:04:59.999000+00:00,2026-07-10T23:17:59.999000+00:00,MUUSDT,2026-07-13T05:31:59.999000+00:00,GRID_HEADROOM_COMPRESSION|LATE_SESSION_TIME_PRESSURE,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
2026-08-17T03:16:59.999000+00:00,2026-08-17T00:04:00+00:00,D2-0394ea9b3d716901,2026-08-17T02:21:00+00:00,2026-08-17T00:01:00+00:00,2026-08-14T23:01:00+00:00,2026-08-17T00:04:00+00:00,2026-08-17T00:01:00+00:00,2026-08-15T02:14:00+00:00,2026-08-17T02:21:00+00:00,2026-08-14T23:00:00+00:00,2026-08-14T23:00:00+00:00,2026-08-14T23:30:00+00:00,SNDKUSDT,2026-08-17T05:55:59.999000+00:00,INVENTORY_BUILD|GRID_HEADROOM_COMPRESSION|LATE_SESSION_TIME_PRESSURE,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
