AUPRC,AUROC,absolute_difference,checkpoint,cliffs_delta,direction,effect_size,exact_permutation_result,false_count,false_max,false_mean,false_median,false_min,false_std,feature,rank_biserial,relative_difference,sample_warning,top_2_recall,top_5_recall,true_count,true_max,true_mean,true_median,true_min,true_rank_positions,true_std
0.45,0.7777777777777778,0.7460714285714198,T-60,0.5555555555555556,TRUE_HIGH,0.5555555555555556,0.7090909090909091,9,4.9192857142857065,1.3576984126984102,1.0128571428571556,0.10642857142857005,1.325028120943096,ATR,0.5555555555555556,0.7366008462623235,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.5,1.0,2,2.3999999999999853,1.7589285714285754,1.7589285714285754,1.1178571428571655,2|5,0.6410714285714099
0.625,0.6666666666666666,0.00048459463681661103,T-60,0.3333333333333333,TRUE_HIGH,0.3333333333333333,0.6363636363636364,9,0.002200668220906568,0.0012456094517452148,0.001094944412473207,0.0003841383921404583,0.000655621392741113,ATR_pct,0.3333333333333333,0.4425746469832494,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.5,0.5,2,0.002491461553633885,0.0015795390492898181,0.0015795390492898181,0.000667616544945751,1|8,0.0009119225043440671
0.5833333333333333,0.8888888888888888,466.85,T-60,0.7777777777777778,TRUE_HIGH,0.7777777777777778,0.2545454545454545,9,1228.21,255.79222222222222,128.85,12.1,360.3456226636304,base_volume,0.7777777777777778,3.623205277454405,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.5,1.0,2,850.44,595.7,595.7,340.96,2|3,254.74000000000004
1.0,0.5,0.0,T-60,0.0,TIE,0.0,1.0,9,0.0,0.0,0.0,0.0,0.0,buy_fills,0.0,0.0,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,1.0,1.0,2,0.0,0.0,0.0,0.0,1|2,0.0
0.5833333333333333,0.8333333333333333,1.5,T-60,0.6666666666666666,TRUE_HIGH,0.6666666666666666,0.23636363636363636,9,4.0,1.5555555555555556,1.0,1.0,0.9558139185602919,consecutive_directional_bars,0.6666666666666666,1.5,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.5,1.0,2,3.0,2.5,2.5,2.0,2|3,0.5
1.0,0.5,0.0,T-60,0.0,TIE,0.0,1.0,9,0.0,0.0,0.0,0.0,0.0,consecutive_same_side_fills,0.0,0.0,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,1.0,1.0,2,0.0,0.0,0.0,0.0,1|2,0.0
1.0,0.5,0.0,T-60,0.0,TIE,0.0,1.0,9,0.0,0.0,0.0,0.0,0.0,crossing_rate,0.0,0.0,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,1.0,1.0,2,0.0,0.0,0.0,0.0,1|2,0.0
0.325,0.6111111111111112,-0.5,T-60,-0.2222222222222222,TRUE_LOW,-0.2222222222222222,0.7818181818181819,9,17.0,7.777777777777778,6.0,3.0,4.848316495393651,cumulative_new_inventory_fills,-0.2222222222222222,-0.08333333333333333,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.0,1.0,2,6.0,5.5,5.5,5.0,4|5,0.5
0.29166666666666663,0.5555555555555556,1.0,T-60,0.1111111111111111,TRUE_HIGH,0.1111111111111111,0.8909090909090909,9,15.0,5.555555555555555,3.0,1.0,4.969039949999533,cumulative_paired_reversal_fills,0.1111111111111111,0.3333333333333333,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.0,0.5,2,5.0,4.0,4.0,3.0,4|6,1.0
1.0,0.7777777777777778,1.0,T-60,0.5555555555555556,TRUE_HIGH,0.5555555555555556,0.45454545454545453,9,6.0,5.444444444444445,5.0,5.0,0.49690399499995325,current_grid_count,0.5555555555555556,0.2,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,1.0,1.0,2,6.0,6.0,6.0,6.0,1|2,0.0
0.6428571428571428,0.7222222222222222,5.725393692967984e-05,T-60,0.4444444444444444,TRUE_HIGH,0.4444444444444444,0.5454545454545454,9,0.009064771740246114,0.007545892239403212,0.008464922897135185,0.0027624062236453195,0.001980772575759754,current_grid_step,0.4444444444444444,0.006763669040512643,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.5,0.5,2,0.009064771740246336,0.008522176834064865,0.008522176834064865,0.007979581927883395,1|7,0.0005425949061814705
0.30952380952380953,0.6111111111111112,0.014077903065699032,T-60,0.2222222222222222,TRUE_HIGH,0.2222222222222222,0.9272727272727272,9,0.653485056342921,0.261247165473284,0.22298414355287755,0.008945853422321109,0.2259448163983361,directional_efficiency_ratio,0.2222222222222222,0.06313409931931172,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.0,0.5,2,0.29984539394589,0.23706204661857658,0.23706204661857658,0.17427869929126316,3|7,0.06278334732731342
0.30952380952380953,0.6111111111111112,0.014077903065699032,T-60,0.2222222222222222,TRUE_HIGH,0.2222222222222222,0.9272727272727272,9,0.653485056342921,0.261247165473284,0.22298414355287755,0.008945853422321109,0.2259448163983361,directional_efficiency_ratio_20m,0.2222222222222222,0.06313409931931172,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.0,0.5,2,0.29984539394589,0.23706204661857658,0.23706204661857658,0.17427869929126316,3|7,0.06278334732731342
0.39285714285714285,0.6666666666666666,0.6824733805607366,T-60,-0.3333333333333333,TRUE_LOW,-0.3333333333333333,0.8545454545454545,9,17.12545454545443,4.30666626395373,1.740000000000009,-15.335133936183752,9.90031973768147,distance_price_to_inventory_vwap,-0.3333333333333333,0.3922260807820305,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.5,0.5,2,11.522742068761545,2.4224733805607457,2.4224733805607457,-6.677795307640054,2|7,9.1002686882008
0.8333333333333333,0.9444444444444444,14.55770386786321,T-60,0.8888888888888888,TRUE_HIGH,0.8888888888888888,0.03636363636363636,9,15.051101547225016,6.780368903105909,5.412152876655341,1.345398995759865,4.525804164857426,distance_to_grid_boundary,0.8888888888888888,2.6898175642184987,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.5,1.0,2,26.30824411444314,19.96985674451855,19.96985674451855,13.631469374593962,1|3,6.33838736992459
0.25,0.5,16.84448635901765,T-60,0.0,TIE,0.0,0.9272727272727272,9,98.69632359294951,33.07209672658946,20.52230610927188,-5.831794194645681,34.95940086124212,distance_to_lower_boundary,0.0,0.8207891583591277,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.0,0.5,2,61.1021155619851,37.36679246828953,37.36679246828953,13.631469374593962,4|8,23.73532309369557
0.8333333333333333,0.9444444444444444,14.55770386786321,T-60,0.8888888888888888,TRUE_HIGH,0.8888888888888888,0.03636363636363636,9,15.051101547225016,6.780368903105909,5.412152876655341,1.345398995759865,4.525804164857426,distance_to_nearest_grid,0.8888888888888888,2.6898175642184987,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.5,1.0,2,26.30824411444314,19.96985674451855,19.96985674451855,13.631469374593962,1|3,6.33838736992459
