accepted_fill_count,attempted_fill_count,capital,crossings_per_hour,fees_paid,fills,force_close_inventory_notional,funding_paid,grid_num,gross_grid_pnl,inventory_drag,inventory_drag_ratio,market_group,max_drawdown,max_drawdown_pct,max_inventory_utilization,max_unpaired_lot_age,net_capacity_per_hour,net_pnl,pair_completion_count,profile,quote_volume_per_hour,rejected_fill_count,reversal_ratio,scenario,seed,seed_fee,split,step_pct,stop_exit_cost,stopped_reason,symbol,total_cost,total_pnl,trade_count_per_hour,unrealized_pnl,window_end,window_key,window_kind,window_start,year_month,zero_activity_ratio
10,17,500.0,1.5,0.19372942438279384,10,0.0,-0.29513914125362045,3,5.719442365543472,0.0,0.0,US_STOCK,1.5344000000000142,0.003068800000000028,0.5022016,2378,0.0033037159889203293,5.820852082414298,4,N20,1490900.1663,7,0.46551724137931033,EXECUTION_STRESS,59,0.0,Development,0.009201387325946886,0.19372942438279384,stop_loss_upper,SNDKUSDT,0.09231970751196722,5.820852082414298,7313.0,0,2026-05-11T03:59:00+00:00,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00,WEEKEND,2026-05-08T20:00:00+00:00,2026-05,0.0
10,21,500.0,1.5,0.0,10,0.0,-0.4356381555557848,3,5.719442365543472,0.0,0.0,US_STOCK,1.4744000000000141,0.0029488000000000283,0.5027008000000001,1930,0.0033037159889203293,6.155080521099257,5,N20,1490900.1663,11,0.46551724137931033,EXECUTION_STRESS,97,0.0,Development,0.009201387325946886,0.0,stop_loss_upper,SNDKUSDT,-0.4356381555557848,6.155080521099257,7313.0,0,2026-05-11T03:59:00+00:00,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00,WEEKEND,2026-05-08T20:00:00+00:00,2026-05,0.0
10,15,500.0,1.5,0.24341593899528316,10,0.0,-0.29513914125362045,3,5.719442365543472,0.0,0.0,US_STOCK,1.5559556600000144,0.003111911320000029,0.4667010000000001,1929,0.002703715988920329,5.771165567801809,5,N20,1490900.1663,5,0.46551724137931033,MAKER_PROMO_OFF,3,0.0,Development,0.009201387325946886,0.0,stop_loss_upper,SNDKUSDT,-0.05172320225833729,5.771165567801809,7313.0,0,2026-05-11T03:59:00+00:00,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00,WEEKEND,2026-05-08T20:00:00+00:00,2026-05,0.0
11,16,500.0,1.5,0.3214196915147649,11,0.0,-0.7498613810679582,3,10.837043336257505,0.0,0.0,US_STOCK,1.4959556600000143,0.0029919113200000285,0.5018464,1930,0.002703715988920329,11.2654850258107,5,N20,1490900.1663,5,0.46551724137931033,MAKER_PROMO_OFF,10,0.0,Development,0.009201387325946886,0.056448051938303254,stop_loss_upper,SNDKUSDT,-0.37199363761489,11.2654850258107,7313.0,0,2026-05-11T03:59:00+00:00,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00,WEEKEND,2026-05-08T20:00:00+00:00,2026-05,0.0
11,18,500.0,1.5,0.45044381023088664,11,0.0,-0.7498613810679582,3,10.837043336257505,0.0,0.0,US_STOCK,1.5559556600000144,0.003111911320000029,0.7186396,1923,0.002703715988920329,11.136460907094577,4,N20,1490900.1663,7,0.46551724137931033,MAKER_PROMO_OFF,17,0.0,Development,0.009201387325946886,0.18547217065442498,stop_loss_upper,SNDKUSDT,-0.11394540018264657,11.136460907094577,7313.0,0,2026-05-11T03:59:00+00:00,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00,WEEKEND,2026-05-08T20:00:00+00:00,2026-05,0.0
9,17,500.0,1.5,0.2830328899329816,9,0.0,-0.07652589782758668,3,1.1708657512337761,0.0,0.0,US_STOCK,4.679743033207969,0.009359486066415939,0.4667010000000001,1923,0.002703715988920329,0.9643587591283812,4,N20,1490900.1663,8,0.46551724137931033,MAKER_PROMO_OFF,31,0.0,Development,0.009201387325946886,0.06451205935806086,stop_loss_upper,SNDKUSDT,0.2710190514634558,0.9643587591283812,7313.0,0,2026-05-11T03:59:00+00:00,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00,WEEKEND,2026-05-08T20:00:00+00:00,2026-05,0.0
11,13,500.0,1.5,0.45044381023088664,11,0.0,-0.7498613810679582,3,10.837043336257505,0.0,0.0,US_STOCK,1.5559556600000144,0.003111911320000029,0.7186396,1930,0.002703715988920329,11.136460907094577,4,N20,1490900.1663,2,0.46551724137931033,MAKER_PROMO_OFF,59,0.0,Development,0.009201387325946886,0.18547217065442498,stop_loss_upper,SNDKUSDT,-0.11394540018264657,11.136460907094577,7313.0,0,2026-05-11T03:59:00+00:00,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00,WEEKEND,2026-05-08T20:00:00+00:00,2026-05,0.0
11,12,500.0,1.5,0.3328231067737064,11,0.0,-0.7947504132839829,3,10.268018979853167,0.0,0.0,US_STOCK,1.5559556600000144,0.003111911320000029,0.4667010000000001,1929,0.002703715988920329,10.729946286363445,5,N20,1490900.1663,1,0.46551724137931033,MAKER_PROMO_OFF,97,0.0,Development,0.009201387325946886,0.06451205935806086,stop_loss_upper,SNDKUSDT,-0.3974152471522156,10.729946286363445,7313.0,0,2026-05-11T03:59:00+00:00,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00,WEEKEND,2026-05-08T20:00:00+00:00,2026-05,0.0
17,33,500.0,1.0,0.06265288440000001,17,0.0,0.016799685227999996,3,9.745103181740365,0.0,0.0,US_STOCK,4.817800000000025,0.00963560000000005,0.5038128,2132,0.009066467325945998,9.665650612112366,8,N20,1256376.3607,16,0.46551724137931033,PRIMARY_ZERO_MAKER,3,0.0,Development,0.009201387325945998,0.06265288440000001,window_force_close,SNDKUSDT,0.142105454028,9.665650612112366,7914.0,0,2026-05-18T03:59:00+00:00,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,WEEKEND,2026-05-15T20:00:00+00:00,2026-05,0.0
23,28,500.0,1.0,0.06265288440000001,23,0.0,0.016799685227999996,3,13.18978244053056,0.0,0.0,US_STOCK,4.817800000000024,0.009635600000000048,0.4990392,1687,0.009066467325945998,13.11032987090256,11,N20,1256376.3607,5,0.46551724137931033,PRIMARY_ZERO_MAKER,10,0.0,Development,0.009201387325945998,0.06265288440000001,window_force_close,SNDKUSDT,0.142105454028,13.11032987090256,7914.0,0,2026-05-18T03:59:00+00:00,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,WEEKEND,2026-05-15T20:00:00+00:00,2026-05,0.0
