best_window_concentration,cvar_95,fees_paid,funding_paid,gross_grid_pnl,max_drawdown,max_drawdown_pct,mean_inventory_drag_ratio,mean_window_pnl,median_window_pnl,positive_ratio,profile,profit_factor,runs,scenario,top_3_window_concentration,total_cost,total_pnl,unique_windows,worst_window_pnl,year_month
1.0,-5.667216807429511,0.16466633925,-0.42086853182046574,-5.923418999999977,6.219844517360735,0.012439689034721469,0.0,-5.667216807429511,-5.667216807429511,0.0,N20,0.0,6,EXECUTION_STRESS,1.0,-0.09153585332046572,-5.667216807429511,1,-5.667216807429511,2026-04
1.0,-5.435937263879534,0.15239439570000002,-0.42086853182046574,-5.704411400000001,5.965786233810759,0.011931572467621518,0.0,-5.435937263879534,-5.435937263879534,0.0,N20,0.0,6,MAKER_PROMO_OFF,1.0,-0.1588060804204657,-5.435937263879534,1,-5.435937263879534,2026-04
1.0,-5.2836523719795085,0.1096133038,-0.42086853182046574,-5.594907599999974,5.836280081910733,0.011672560163821465,0.0,-5.2836523719795085,-5.2836523719795085,0.0,N20,0.0,6,PRIMARY_ZERO_MAKER,1.0,-0.20164192422046576,-5.2836523719795085,1,-5.2836523719795085,2026-04
1.0,2.120250110918184,0.12667308857910387,0.004977684512,2.251900884009288,2.006967002403954,0.004013934004807908,0.0,2.120250110918184,2.120250110918184,1.0,N100,2.120250110918184,6,EXECUTION_STRESS,1.0,0.2583238616702077,2.120250110918184,1,2.120250110918184,2026-05
1.0,2.2947149973265,1.036208205734945,0.0037332633840000003,3.334656466445445,2.516990751948819,0.005033981503897638,0.0,2.2947149973265,2.2947149973265,1.0,N100,2.2947149973265,6,MAKER_PROMO_OFF,1.0,1.067856879518945,2.2947149973265,1,2.2947149973265,2026-05
1.0,0.5978664516194905,0.04961775355351125,0.004977684512,0.6524618896850017,2.6493412453404663,0.005298682490680932,0.0,0.5978664516194905,0.5978664516194905,1.0,N100,0.5978664516194905,6,PRIMARY_ZERO_MAKER,1.0,0.1042131916190225,0.5978664516194905,1,0.5978664516194905,2026-05
0.5610099769900135,-9.20254425599504,0.9375566508187135,-0.39456426793840366,3.285529875712187,11.405628954693764,0.013383735527332833,0.0,0.5485074985663758,1.4437404315214593,0.6,N20,1.2308688359321234,42,EXECUTION_STRESS,1.0,1.4805490336990235,2.742537492831879,5,-9.20254425599504,2026-05
0.48596211042095894,-8.648223044806194,2.4898402159461845,-0.6583609284165782,10.18216765139579,11.02757723089443,0.012375648861788812,0.0,1.6701376727732373,1.6005951181140468,0.6,N20,1.738993501556176,42,MAKER_PROMO_OFF,1.0,2.4950535452850398,8.350688363866187,5,-8.648223044806194,2026-05
0.4988753887885207,-8.175394369433121,0.6633611577661443,-0.6583609284165782,10.724323666301439,10.873848655449624,0.012112097310899197,0.0,2.143864687390375,1.894265321128435,0.6,N20,2.0233297345694576,42,PRIMARY_ZERO_MAKER,1.0,0.6683613871157106,10.719323436951875,5,-8.175394369433121,2026-05
1.0,-10.904562173789953,0.3489899104533675,0.0,-10.555572263336586,13.358969776822173,0.026717939553644345,0.0,-10.904562173789953,-10.904562173789953,0.0,L20,0.0,6,EXECUTION_STRESS,1.0,0.697979820906735,-10.904562173789953,1,-10.904562173789953,2026-06
1.0,-10.582171442791102,0.3828357875793567,0.0,-10.199335655211746,12.968468902223528,0.025936937804447054,0.0,-10.582171442791102,-10.582171442791102,0.0,L20,0.0,6,MAKER_PROMO_OFF,1.0,0.6156738461856641,-10.582171442791102,1,-10.582171442791102,2026-06
1.0,-10.254144468907697,0.23292711775833866,0.0,-10.021217351149359,12.736045537939916,0.025472091075879832,0.0,-10.254144468907697,-10.254144468907697,0.0,L20,0.0,6,PRIMARY_ZERO_MAKER,1.0,0.4658542355166773,-10.254144468907697,1,-10.254144468907697,2026-06
1.0,-2.1308227737870515,0.3308646834631873,-0.12590399611128897,-2.564796471709701,4.751179714852405,0.00950235942970481,0.0,-0.9232523863538664,-1.3599434896494367,0.3333333333333333,N100,0.20654751706723862,18,EXECUTION_STRESS,1.0,0.5358253708150857,-2.7697571590615992,3,-2.1308227737870515,2026-06
1.0,-2.4285843117613974,0.9913466055772694,-0.07081034761808076,-1.5080480538022087,4.559622789966023,0.009119245579932047,0.0,-2.4285843117613974,-2.4285843117613974,0.0,N100,0.0,6,MAKER_PROMO_OFF,1.0,1.0080263701789547,-2.4285843117613974,1,-2.4285843117613974,2026-06
1.0,-1.4373250652577008,0.2190140647978665,-0.1281958752521133,0.0997687626320557,4.392524846158866,0.008785049692317732,0.0,0.002983524362100698,-0.8965667260742115,0.3333333333333333,N100,1.0038350420184623,18,PRIMARY_ZERO_MAKER,1.0,0.3098322543436197,0.008950573086302094,3,-1.4373250652577008,2026-06
0.3949348731705572,-9.652840988419442,2.2083976451984486,0.13262180511350946,2.7730694773320423,13.69292160027308,0.01806342523781422,0.0,0.0360041689183406,-0.20576902955738346,0.5,N20,1.0202795468143786,96,EXECUTION_STRESS,0.8411017493096488,4.549417095510407,0.4320500270200872,12,-9.652840988419442,2026-06
0.33529940217122073,-8.865470135563655,5.815794183601946,0.17383546272588424,15.682947915948397,12.353705794009704,0.01754606496652621,0.0,0.8077765224683805,0.2635446246674406,0.5,N20,1.533657137622467,90,MAKER_PROMO_OFF,0.7910292045404258,7.404909841341341,9.693318269620566,12,-8.865470135563655,2026-06
0.3501406472362808,-8.441175916104996,1.4861287350414476,0.09283075085310519,14.639636910093984,12.099255999547957,0.01718671704975771,0.0,1.0883897853499525,1.0131973503373106,0.5833333333333334,N20,1.8037244520525397,96,PRIMARY_ZERO_MAKER,0.7345960459040001,3.0650882209360004,13.06067742419943,12,-8.441175916104996,2026-06
0.8579632739812733,0.4581296617756967,0.1617082467,0.0,3.3871392645572738,1.612352231563511,0.003224704463127022,0.0,1.6127155089286367,1.6127155089286367,1.0,L100,3.2254310178572734,12,EXECUTION_STRESS,1.0,0.3234164934,3.2254310178572734,2,0.4581296617756967,2026-07
0.6410169996241398,1.4136243546542426,1.118593517697419,0.0,5.056452283082294,1.997583545843598,0.003995167091687196,0.0,1.9689293826924374,1.9689293826924374,1.0,L100,3.937858765384875,12,MAKER_PROMO_OFF,1.0,1.239103875512135,3.937858765384875,2,1.4136243546542426,2026-07
0.8638871071663297,0.5198616676118283,0.1078054978,0.0,3.927147345505036,1.5615857135069222,0.0031231714270138445,0.0,1.9096709238525178,1.9096709238525178,1.0,L100,3.8193418477050356,12,PRIMARY_ZERO_MAKER,1.0,0.2156109956,3.8193418477050356,2,0.5198616676118283,2026-07
0.6385411481891552,2.486307135563531,0.1617082467,0.0,7.040242616815913,3.5535000000000085,0.007107000000000017,0.0,3.439267185057957,3.439267185057957,1.0,L20,6.878534370115914,12,EXECUTION_STRESS,1.0,0.3234164934,6.878534370115914,2,2.486307135563531,2026-07
0.7694010755749039,2.5736443882106217,0.5400495580696985,0.0,11.700745101758589,3.5535000000000085,0.007107000000000017,0.0,5.580347771844444,5.580347771844444,1.0,L20,11.160695543688888,12,MAKER_PROMO_OFF,1.0,0.6478550558696984,11.160695543688888,2,2.5736443882106217,2026-07
0.769160380614208,2.6761097657402746,0.1078054978,0.0,11.700745101758589,3.5535000000000085,0.007107000000000017,0.0,5.796469801979294,5.796469801979294,1.0,L20,11.592939603958587,12,PRIMARY_ZERO_MAKER,1.0,0.2156109956,11.592939603958587,2,2.6761097657402746,2026-07
1.0,-3.941359418252486,0.6028919796931184,-0.049023552515000006,-8.637256362400548,5.057276412031669,0.010114552824063339,0.0,-1.5318541315964442,-1.4301959321365683,0.16666666666666666,N100,0.03744768873966473,42,EXECUTION_STRESS,1.0,1.1567604068712367,-9.191124789578666,6,-3.941359418252486,2026-07
1.0,-4.010248775478531,2.715120344176107,-0.06674136801500001,-3.572884144718912,4.883795115527126,0.009767590231054252,0.0,-1.244252624176004,-0.9544839590002655,0.2,N100,0.04087185266543627,36,MAKER_PROMO_OFF,1.0,3.0005442882802873,-6.221263120880019,5,-4.010248775478531,2026-07
1.0,-3.5018843219575966,0.40462916003798904,-0.048137661740000004,-6.041508840172301,4.727884187786868,0.009455768375573737,0.0,-1.0663333897450484,-1.0341601470962796,0.16666666666666666,N100,0.17203652896291988,42,PRIMARY_ZERO_MAKER,1.0,0.7611206583359781,-6.398000338470291,6,-3.5018843219575966,2026-07
0.49257936085722265,-9.066020084620234,1.8143558050666195,-0.26281364980991395,-21.058310853080343,12.473685688661282,0.017050062843173314,0.0,-1.8841544173614206,-1.4189038354472774,0.3333333333333333,N20,0.19144509214350341,84,EXECUTION_STRESS,0.9999767180439542,3.365897960323325,-22.609853008337048,12,-9.066020084620234,2026-07
0.6412633485932808,-5.29521463854111,3.445789350541579,-0.14179137727367266,-9.326895502932377,10.102423128408617,0.012735526068053575,0.0,-1.0525744563500237,-1.1488766143708555,0.3333333333333333,N20,0.4156205339039054,78,MAKER_PROMO_OFF,0.9616538078863869,4.424279322751336,-12.630893476200285,12,-5.29521463854111,2026-07
0.552187976749844,-8.084143618215972,1.21328781537588,-0.26281364980991395,-11.709167303025067,11.297907586540104,0.012447742964452984,0.0,-1.054970122382586,-0.9657830835501588,0.3333333333333333,N20,0.4679221270658218,84,PRIMARY_ZERO_MAKER,0.9538235815757317,2.163761980941846,-12.659641468591031,12,-8.084143618215972,2026-07
