best_window_concentration,cvar_95,fees_paid,funding_paid,gross_grid_pnl,max_drawdown,max_drawdown_pct,mean_inventory_drag_ratio,mean_window_pnl,median_window_pnl,positive_ratio,profile,profit_factor,runs,scenario,symbol,top_3_window_concentration,total_cost,total_pnl,unique_windows,worst_window_pnl
1.0,-3.941359418252486,0.3729847533656176,-0.06851846847725646,-7.26858234396503,5.057276412031669,0.010114552824063339,0.0,-2.5243495429511302,-2.1308227737870515,0.0,N100,0.0,18,EXECUTION_STRESS,MUUSDT,1.0,0.6774510382539788,-7.573048628853391,3,-3.941359418252486
1.0,-4.010248775478531,1.7438780750114042,-0.07081034761808076,-5.850606037010254,4.883795115527126,0.009767590231054252,0.0,-2.507891254801193,-2.4285843117613974,0.0,N100,0.0,18,MAKER_PROMO_OFF,MUUSDT,1.0,1.921476193225853,-7.523673764403579,3,-4.010248775478531
1.0,-3.5018843219575966,0.24828444762692153,-0.07081034761808076,-5.930291541110842,4.727884187786868,0.009455768375573737,0.0,-2.035921880373228,-1.4373250652577008,0.0,N100,0.0,18,PRIMARY_ZERO_MAKER,MUUSDT,1.0,0.4257585476357623,-6.107765641119684,3,-3.5018843219575966
1.0,-5.6770271769455745,2.0469928231066508,-0.6148224636820295,-35.52542791054618,8.525031421586657,0.017050062843173314,0.0,-3.0797998558309003,-3.399439440127055,0.08333333333333333,N20,0.00951035065382259,72,EXECUTION_STRESS,MUUSDT,1.0,3.479163182531272,-36.9575982699708,12,-5.6770271769455745
1.0,-5.435937263879534,3.7280648611424074,-0.5289332948840029,-26.292696419144875,6.374982095289623,0.012749964190579246,0.0,-2.681075271400298,-2.651860577419532,0.09090909090909091,N20,0.021644693775743438,66,MAKER_PROMO_OFF,MUUSDT,1.0,4.475746374170343,-29.49182798540328,11,-5.435937263879534
1.0,-5.2836523719795085,1.3636698200463264,-0.633157496808624,-29.44283566746312,6.485964876008524,0.012971929752017048,0.0,-2.5144456658917353,-2.739576257963736,0.08333333333333333,N20,0.046101169984698806,72,PRIMARY_ZERO_MAKER,MUUSDT,1.0,2.0941821432840286,-30.173347990700826,12,-5.2836523719795085
0.8579632739812733,0.4581296617756967,0.1617082467,0.0,3.3871392645572738,1.612352231563511,0.003224704463127022,0.0,1.6127155089286367,1.6127155089286367,1.0,L100,3.2254310178572734,12,EXECUTION_STRESS,SKHYNIXUSDT,1.0,0.3234164934,3.2254310178572734,2,0.4581296617756967
0.6410169996241398,1.4136243546542426,1.118593517697419,0.0,5.056452283082294,1.997583545843598,0.003995167091687196,0.0,1.9689293826924374,1.9689293826924374,1.0,L100,3.937858765384875,12,MAKER_PROMO_OFF,SKHYNIXUSDT,1.0,1.239103875512135,3.937858765384875,2,1.4136243546542426
0.8638871071663297,0.5198616676118283,0.1078054978,0.0,3.927147345505036,1.5615857135069222,0.0031231714270138445,0.0,1.9096709238525178,1.9096709238525178,1.0,L100,3.8193418477050356,12,PRIMARY_ZERO_MAKER,SKHYNIXUSDT,1.0,0.2156109956,3.8193418477050356,2,0.5198616676118283
0.6385411481891552,-10.904562173789953,0.5106981571533675,0.0,-3.515329646520673,13.358969776822173,0.026717939553644345,0.0,-1.3420092678913464,2.486307135563531,0.6666666666666666,L20,0.6307941814160186,18,EXECUTION_STRESS,SKHYNIXUSDT,1.0,1.021396314306735,-4.026027803674039,3,-10.904562173789953
0.7694010755749039,-10.582171442791102,0.9228853456490552,0.0,1.5014094465468433,12.968468902223528,0.025936937804447054,0.0,0.19284136696592893,2.5736443882106217,0.6666666666666666,L20,1.0546696964819913,18,MAKER_PROMO_OFF,SKHYNIXUSDT,1.0,1.2635289020553626,0.5785241008977868,3,-10.582171442791102
0.769160380614208,-10.254144468907697,0.34073261555833867,0.0,1.6795277506092305,12.736045537939916,0.025472091075879832,0.0,0.4462650450169634,2.6761097657402746,0.6666666666666666,L20,1.1305613685383842,18,PRIMARY_ZERO_MAKER,SKHYNIXUSDT,1.0,0.6814652311166773,1.3387951350508902,3,-10.254144468907697
0.6684762873145246,-2.1689353560571383,0.3654439239104515,-0.11976327666903253,-2.204612288901475,4.172216122729243,0.008344432245458487,0.0,-0.6125732340357235,-0.5011833422303223,0.5,N100,0.30564549159174076,24,EXECUTION_STRESS,SKHYNIXUSDT,1.0,0.6111245711518705,-2.450292936142894,4,-2.1689353560571383
1.0,-0.9544839590002655,1.366035718742358,-0.062377749035000006,0.6142841009240824,2.4838082021190653,0.00496761640423813,0.0,-0.3446869343916379,-0.3446869343916379,0.5,N100,0.2777522741133001,12,MAKER_PROMO_OFF,SKHYNIXUSDT,1.0,1.402814599613775,-0.6893738687832758,2,-0.9544839590002655
