best_window_concentration,cvar_95,fees_paid,funding_paid,gross_grid_pnl,market_group,max_drawdown,max_drawdown_pct,mean_inventory_drag_ratio,mean_window_pnl,median_window_pnl,positive_ratio,profile,profit_factor,runs,scenario,top_3_window_concentration,total_cost,total_pnl,unique_windows,worst_window_pnl
0.8579632739812733,0.4581296617756967,0.1617082467,0.0,3.3871392645572738,KR_STOCK,1.612352231563511,0.003224704463127022,0.0,1.6127155089286367,1.6127155089286367,1.0,L100,3.2254310178572734,12,EXECUTION_STRESS,1.0,0.3234164934,3.2254310178572734,2,0.4581296617756967
0.6410169996241398,1.4136243546542426,1.118593517697419,0.0,5.056452283082294,KR_STOCK,1.997583545843598,0.003995167091687196,0.0,1.9689293826924374,1.9689293826924374,1.0,L100,3.937858765384875,12,MAKER_PROMO_OFF,1.0,1.239103875512135,3.937858765384875,2,1.4136243546542426
0.8638871071663297,0.5198616676118283,0.1078054978,0.0,3.927147345505036,KR_STOCK,1.5615857135069222,0.0031231714270138445,0.0,1.9096709238525178,1.9096709238525178,1.0,L100,3.8193418477050356,12,PRIMARY_ZERO_MAKER,1.0,0.2156109956,3.8193418477050356,2,0.5198616676118283
0.6385411481891552,-10.904562173789953,0.5106981571533675,0.0,-3.515329646520673,KR_STOCK,13.358969776822173,0.026717939553644345,0.0,-1.3420092678913464,2.486307135563531,0.6666666666666666,L20,0.6307941814160186,18,EXECUTION_STRESS,1.0,1.021396314306735,-4.026027803674039,3,-10.904562173789953
0.7694010755749039,-10.582171442791102,0.9228853456490552,0.0,1.5014094465468433,KR_STOCK,12.968468902223528,0.025936937804447054,0.0,0.19284136696592893,2.5736443882106217,0.6666666666666666,L20,1.0546696964819913,18,MAKER_PROMO_OFF,1.0,1.2635289020553626,0.5785241008977868,3,-10.582171442791102
0.769160380614208,-10.254144468907697,0.34073261555833867,0.0,1.6795277506092305,KR_STOCK,12.736045537939916,0.025472091075879832,0.0,0.4462650450169634,2.6761097657402746,0.6666666666666666,L20,1.1305613685383842,18,PRIMARY_ZERO_MAKER,1.0,0.6814652311166773,1.3387951350508902,3,-10.254144468907697
0.6684762873145246,-2.1689353560571383,0.3654439239104515,-0.11976327666903253,-2.204612288901475,KR_STOCK,4.172216122729243,0.008344432245458487,0.0,-0.6125732340357235,-0.5011833422303223,0.5,N100,0.30564549159174076,24,EXECUTION_STRESS,1.0,0.6111245711518705,-2.450292936142894,4,-2.1689353560571383
1.0,-0.9544839590002655,1.366035718742358,-0.062377749035000006,0.6142841009240824,KR_STOCK,2.4838082021190653,0.00496761640423813,0.0,-0.3446869343916379,-0.3446869343916379,0.5,N100,0.2777522741133001,12,MAKER_PROMO_OFF,1.0,1.402814599613775,-0.6893738687832758,2,-0.9544839590002655
0.6379878784837921,-1.9253934318678183,0.2420323987547818,-0.11976327666903253,0.9725454492413491,KR_STOCK,3.902285847503203,0.007804571695006406,0.0,0.21256908178889986,0.21641369730260168,0.5,N100,1.301306992149627,24,PRIMARY_ZERO_MAKER,1.0,0.3643015208405311,0.8502763271555994,4,-1.9253934318678183
0.7560977655121226,-6.0569606178749185,1.167553248066357,-0.17815182485134018,-2.357413399727162,KR_STOCK,9.031712618907111,0.01806342523781422,0.0,-0.418351852867772,-0.7135743647286341,0.5,N20,0.7723355549485639,48,EXECUTION_STRESS,0.9999890223489265,2.156954671281374,-3.346814822942176,8,-6.0569606178749185
0.578634396419017,-5.893884091830707,2.9685286036639,-0.18912087802334018,5.268413614291925,KR_STOCK,8.773032483263105,0.01754606496652621,0.0,0.31112573608142047,-0.4123915051261484,0.5,N20,1.1822999910666852,48,MAKER_PROMO_OFF,0.9786601480629887,3.557427834275347,2.4890058886513637,8,-5.893884091830707
0.5690270247448518,-5.618606523846665,0.7778457469300624,-0.18912087802334018,6.045910637812725,KR_STOCK,8.593358524878855,0.01718671704975771,0.0,0.6821482211132505,-0.147666416874988,0.5,N20,1.4338421285223286,48,PRIMARY_ZERO_MAKER,0.9714962708422669,1.3665706158367845,5.457185768906004,8,-5.618606523846665
1.0,-0.5780149561846973,0.07304164875,-0.004363618979999999,-0.5093369264146973,US_LEVERAGED_ETF,1.0970677635637025,0.00438827105425481,0.0,-0.5780149561846973,-0.5780149561846973,0.0,N100,0.0,6,EXECUTION_STRESS,1.0,0.14171967852,-0.5780149561846973,1,-0.5780149561846973
1.0,-0.5239834982077648,0.29223566007603424,-0.004363618979999999,-0.23611145711173065,US_LEVERAGED_ETF,0.9488724871969898,0.003795489948787959,0.0,-0.5239834982077648,-0.5239834982077648,0.0,N100,0.0,6,MAKER_PROMO_OFF,1.0,0.3365179005960342,-0.5239834982077648,1,-0.5239834982077648
1.0,-0.23179641113173166,0.048621573,-0.004363618979999999,-0.18753845711173167,US_LEVERAGED_ETF,0.8961138917541388,0.003584455567016555,0.0,-0.23179641113173166,-0.23179641113173166,0.0,N100,0.0,6,PRIMARY_ZERO_MAKER,1.0,0.09287952702,-0.23179641113173166,1,-0.23179641113173166
0.480003956476013,-2.8359678233160053,0.7286412300923897,0.1794634985633384,8.524685006111822,US_LEVERAGED_ETF,3.5292324123377874,0.01411692964935115,0.0,0.8462866974951216,1.1468830546637796,0.5555555555555556,N20,2.0828645865322515,54,EXECUTION_STRESS,0.8231694126023749,1.6367459587481177,7.6165802774560944,9,-2.8359678233160053
0.3931024808163246,-2.879242757013389,2.1553454007665835,0.14918300952449629,10.23525933503132,US_LEVERAGED_ETF,3.2974682821717876,0.01318987312868715,0.0,0.8811923249711375,1.590516946713927,0.5555555555555556,N20,2.163208422591652,54,MAKER_PROMO_OFF,0.7836344995387318,2.842794268672439,7.930730924740238,9,-2.879242757013389
0.40777771230686527,-2.7937357411132404,0.4904763928039469,0.1794634985633384,12.413549152512973,US_LEVERAGED_ETF,3.23850855228095,0.0129540342091238,0.0,1.304845473460632,1.878241150629939,0.5555555555555556,N20,2.8608592761360985,54,PRIMARY_ZERO_MAKER,0.7910485271369361,1.1604162841712322,11.74360926114569,9,-2.7937357411132404
1.0,-3.941359418252486,0.6219441790749581,-0.04582296846525646,-6.236202734784788,US_STOCK,5.057276412031669,0.010114552824063339,0.0,-1.362464789078898,-1.434603118171541,0.2,N100,0.23736160456680427,36,EXECUTION_STRESS,1.0,1.1980653896846598,-6.81232394539449,5,-3.941359418252486
