code,market_group,profile,reason,scenario,split,symbol,window_end,window_key,window_start
ADMISSION_BLOCKED,US_STOCK,N20,没有网格候选具备正的手续费后净边际。,PRIMARY_ZERO_MAKER,Development,SNDKUSDT,2026-04-13T03:59:00+00:00,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00,2026-04-10T20:00:00+00:00
ADMISSION_BLOCKED,US_STOCK,N20,没有网格候选具备正的手续费后净边际。,EXECUTION_STRESS,Development,SNDKUSDT,2026-04-13T03:59:00+00:00,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00,2026-04-10T20:00:00+00:00
ADMISSION_BLOCKED,US_STOCK,N20,没有网格候选具备正的手续费后净边际。,MAKER_PROMO_OFF,Development,SNDKUSDT,2026-04-13T03:59:00+00:00,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00,2026-04-10T20:00:00+00:00
ADMISSION_BLOCKED,US_STOCK,N100,没有网格候选具备正的手续费后净边际。,PRIMARY_ZERO_MAKER,Development,SNDKUSDT,2026-04-13T03:59:00+00:00,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00,2026-04-10T20:00:00+00:00
ADMISSION_BLOCKED,US_STOCK,N100,没有网格候选具备正的手续费后净边际。,EXECUTION_STRESS,Development,SNDKUSDT,2026-04-13T03:59:00+00:00,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00,2026-04-10T20:00:00+00:00
ADMISSION_BLOCKED,US_STOCK,N100,没有网格候选具备正的手续费后净边际。,MAKER_PROMO_OFF,Development,SNDKUSDT,2026-04-13T03:59:00+00:00,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00,2026-04-10T20:00:00+00:00
VIABILITY_BLOCKED,US_STOCK,N20,Grid Viability Gate 未通过：预计穿越频率不足 (0.0000 < 1.0000/h)；零成交分钟比例过高 (0.2333 > 0.2000)；预计费后循环容量不足 (0.000000 < 0.000250/h),PRIMARY_ZERO_MAKER,Development,SNDKUSDT,2026-04-20T03:59:00+00:00,US_STOCK:2026-04-17T20:00:00+00:00:2026-04-20T08:00:00+00:00,2026-04-17T20:00:00+00:00
VIABILITY_BLOCKED,US_STOCK,N20,Grid Viability Gate 未通过：预计穿越频率不足 (0.0000 < 1.0000/h)；零成交分钟比例过高 (0.2333 > 0.2000)；预计费后循环容量不足 (0.000000 < 0.000250/h),EXECUTION_STRESS,Development,SNDKUSDT,2026-04-20T03:59:00+00:00,US_STOCK:2026-04-17T20:00:00+00:00:2026-04-20T08:00:00+00:00,2026-04-17T20:00:00+00:00
VIABILITY_BLOCKED,US_STOCK,N20,Grid Viability Gate 未通过：预计穿越频率不足 (0.0000 < 1.0000/h)；零成交分钟比例过高 (0.2333 > 0.2000)；预计费后循环容量不足 (0.000000 < 0.000250/h),MAKER_PROMO_OFF,Development,SNDKUSDT,2026-04-20T03:59:00+00:00,US_STOCK:2026-04-17T20:00:00+00:00:2026-04-20T08:00:00+00:00,2026-04-17T20:00:00+00:00
ADMISSION_BLOCKED,US_STOCK,N100,没有网格候选具备正的手续费后净边际。,PRIMARY_ZERO_MAKER,Development,SNDKUSDT,2026-04-20T03:59:00+00:00,US_STOCK:2026-04-17T20:00:00+00:00:2026-04-20T08:00:00+00:00,2026-04-17T20:00:00+00:00
