allowed,code,crossings_per_hour,long_signal_allowed,long_signal_reasons,market_group,net_capacity_per_hour,profile,quote_volume_per_hour,reason,reversal_ratio,scenario,split,spread_to_step_ratio,symbol,trade_count_per_hour,window_key,zero_activity_ratio
False,VIABILITY_BLOCKED,0.0,,,US_STOCK,0.0,N20,2586019.2779999995,Grid Viability Gate 未通过：预计穿越频率不足 (0.0000 < 1.0000/h)；预计费后循环容量不足 (0.000000 < 0.000250/h),0.4482758620689655,PRIMARY_ZERO_MAKER,Development,0.02683769340839389,SNDKUSDT,7798.0,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00,0.0
False,VIABILITY_BLOCKED,0.0,,,US_STOCK,0.0,N20,2586019.2779999995,Grid Viability Gate 未通过：预计穿越频率不足 (0.0000 < 1.0000/h)；预计费后循环容量不足 (0.000000 < 0.000250/h),0.4482758620689655,EXECUTION_STRESS,Development,0.02683769340839389,SNDKUSDT,7798.0,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00,0.0
False,VIABILITY_BLOCKED,0.0,,,US_STOCK,0.0,N20,2586019.2779999995,Grid Viability Gate 未通过：预计穿越频率不足 (0.0000 < 1.0000/h)；预计费后循环容量不足 (0.000000 < 0.000250/h),0.4482758620689655,MAKER_PROMO_OFF,Development,0.02683769340839389,SNDKUSDT,7798.0,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00,0.0
False,VIABILITY_BLOCKED,1.1578947368421053,,,US_STOCK,0.00022335552987133063,N100,2586019.2779999995,Grid Viability Gate 未通过：预计费后循环容量不足 (0.000223 < 0.000250/h),0.4482758620689655,PRIMARY_ZERO_MAKER,Development,0.16140122635940624,SNDKUSDT,7798.0,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00,0.0
False,VIABILITY_BLOCKED,1.1578947368421053,,,US_STOCK,0.00022335552987133063,N100,2586019.2779999995,Grid Viability Gate 未通过：预计费后循环容量不足 (0.000223 < 0.000250/h),0.4482758620689655,EXECUTION_STRESS,Development,0.16140122635940624,SNDKUSDT,7798.0,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00,0.0
True,PASSED,4.0,,,US_STOCK,0.02827040514308532,N20,1142389.1426000001,,0.5689655172413793,PRIMARY_ZERO_MAKER,Development,0.028298144152903045,SNDKUSDT,3253.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00,0.0
True,PASSED,4.0,,,US_STOCK,0.02827040514308532,N20,1142389.1426000001,,0.5689655172413793,EXECUTION_STRESS,Development,0.028298144152903045,SNDKUSDT,3253.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00,0.0
True,PASSED,4.0,,,US_STOCK,0.02667040514308532,N20,1142389.1426000001,,0.5689655172413793,MAKER_PROMO_OFF,Development,0.028298144152903045,SNDKUSDT,3253.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00,0.0
False,VIABILITY_BLOCKED,0.631578947368421,,,US_STOCK,0.0007826197627049362,N100,1142389.1426000001,Grid Viability Gate 未通过：预计穿越频率不足 (0.6316 < 1.0000/h),0.5689655172413793,PRIMARY_ZERO_MAKER,Development,0.16140122635940624,SNDKUSDT,3253.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00,0.0
False,VIABILITY_BLOCKED,0.631578947368421,,,US_STOCK,0.0007826197627049362,N100,1142389.1426000001,Grid Viability Gate 未通过：预计穿越频率不足 (0.6316 < 1.0000/h),0.5689655172413793,EXECUTION_STRESS,Development,0.16140122635940624,SNDKUSDT,3253.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00,0.0
False,VIABILITY_BLOCKED,0.631578947368421,,,US_STOCK,0.0005299881837575678,N100,1142389.1426000001,Grid Viability Gate 未通过：预计穿越频率不足 (0.6316 < 1.0000/h),0.5689655172413793,MAKER_PROMO_OFF,Development,0.16140122635940624,SNDKUSDT,3253.0,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00,0.0
True,PASSED,5.5,,,US_STOCK,0.04057123029270299,N20,3157815.5664000004,,0.39655172413793105,PRIMARY_ZERO_MAKER,Validation,0.02173585274864385,SNDKUSDT,15652.0,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00,0.0
True,PASSED,5.5,,,US_STOCK,0.04057123029270299,N20,3157815.5664000004,,0.39655172413793105,EXECUTION_STRESS,Validation,0.02173585274864385,SNDKUSDT,15652.0,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00,0.0
