best_window_concentration,cvar_95,fees_paid,funding_paid,gross_grid_pnl,market_group,max_drawdown,max_drawdown_pct,mean_inventory_drag_ratio,mean_window_pnl,median_window_pnl,positive_ratio,profile,profit_factor,runs,scenario,seed,top_3_window_concentration,total_cost,total_pnl,unique_windows,worst_window_pnl
0.8766121451721963,0.4260710119404413,0.1617082467,0.0,3.6148115730772434,KR_STOCK,1.5697697443433978,0.0031395394886867957,0.0,1.7265516631886217,1.7265516631886217,1.0,L100,3.4531033263772435,2,EXECUTION_STRESS,3,1.0,0.3234164934,3.4531033263772435,2,0.4260710119404413
0.8551934844231962,0.4690725799776735,0.1617082467,0.0,3.4010140065909122,KR_STOCK,1.5245854307023112,0.0030491708614046225,0.0,1.6196528799454561,1.6196528799454561,1.0,L100,3.2393057598909123,2,EXECUTION_STRESS,10,1.0,0.3234164934,3.2393057598909123,2,0.4690725799776735
0.8527970729155604,0.4690725799776734,0.1617082467,0.0,3.348279256314506,KR_STOCK,1.612352231563511,0.003224704463127022,0.0,1.5932855048072527,1.5932855048072527,1.0,L100,3.1865710096145055,2,EXECUTION_STRESS,17,1.0,0.3234164934,3.1865710096145055,2,0.4690725799776734
0.8520396525532689,0.44720574550340375,0.1617082467,0.0,3.1841784775461885,KR_STOCK,1.5854427967999865,0.003170885593599973,0.0,1.511235115423094,1.511235115423094,1.0,L100,3.022470230846188,2,EXECUTION_STRESS,31,1.0,0.3234164934,3.022470230846188,2,0.44720574550340375
0.8436978576056872,0.4901503077515845,0.1617082467,0.0,3.2976237258049057,KR_STOCK,1.4948584831589002,0.0029897169663178004,0.0,1.5679577395524527,1.5679577395524527,1.0,L100,3.1359154791049053,2,EXECUTION_STRESS,59,1.0,0.3234164934,3.1359154791049053,2,0.4901503077515845
0.8651052705828609,0.44720574550340386,0.1617082467,0.0,3.4769285480098886,KR_STOCK,1.5197966918868084,0.0030395933837736168,0.0,1.657610150654944,1.657610150654944,1.0,L100,3.315220301309888,2,EXECUTION_STRESS,97,1.0,0.3234164934,3.315220301309888,2,0.44720574550340386
0.6297995914424974,1.519094754619156,1.1424833469882487,0.0,5.245922239825662,KR_STOCK,1.707654980953421,0.003415309961906842,0.0,2.0517194464187067,2.0517194464187067,1.0,L100,4.1034388928374135,2,MAKER_PROMO_OFF,3,1.0,1.2655346768059077,4.1034388928374135,2,1.519094754619156
0.6857476748019097,1.2071139177870274,1.1509058118891786,0.0,4.992130907124728,KR_STOCK,1.6922085670898026,0.003384417134179605,0.0,1.9206125476177747,1.9206125476177747,1.0,L100,3.8412250952355493,2,MAKER_PROMO_OFF,10,1.0,1.2663342256980081,3.8412250952355493,2,1.2071139177870274
0.6214590839908093,1.4624162968207135,1.0605222989005618,0.0,4.9238201221277,KR_STOCK,1.997583545843598,0.003995167091687196,0.0,1.931648911613569,1.931648911613569,1.0,L100,3.863297823227138,2,MAKER_PROMO_OFF,17,1.0,1.183573628718221,3.863297823227138,2,1.4624162968207135
0.6217553422320417,1.491652870931562,1.0975130656390393,0.0,5.04113220287652,KR_STOCK,1.598739859111099,0.0031974797182221983,0.0,1.9718095686187405,1.9718095686187405,1.0,L100,3.943619137237481,2,MAKER_PROMO_OFF,31,1.0,1.2205643954566985,3.943619137237481,2,1.491652870931562
0.6556898054423302,1.2918012476505605,1.116967611261041,0.0,4.86882064398962,KR_STOCK,1.7466377566093592,0.0034932755132187185,0.0,1.8759265163642895,1.8759265163642895,1.0,L100,3.751853032728579,2,MAKER_PROMO_OFF,59,1.0,1.2323960250698704,3.751853032728579,2,1.2918012476505605
