symbol,window_id,market_close,baseline_status,mean_seed_pnl,directional_efficiency,volatility_expansion,reversal_ratio,grid_score
BTCUSDT,nyse_20200717T200000Z,2020-07-17T20:00:00+00:00,SKIPPED,0.0,0.3132756041429464,0.7529967052603302,0.35714285714285715,81.55071752520746
BTCUSDT,nyse_20200724T200000Z,2020-07-24T20:00:00+00:00,TRADED,-2.515203545731841,0.3435092961068154,0.6038248961759204,0.21428571428571427,78.89678540862309
BTCUSDT,nyse_20200731T200000Z,2020-07-31T20:00:00+00:00,TRADED,-4.10240621183086,0.4291885108935095,0.9946795264402744,0.35714285714285715,78.14151438548502
BTCUSDT,nyse_20200807T200000Z,2020-08-07T20:00:00+00:00,BLOCKED,0.0,0.35418145102875687,1.367491332690072,0.35714285714285715,71.19634962628379
BTCUSDT,nyse_20200814T200000Z,2020-08-14T20:00:00+00:00,TRADED,1.160660238959117,0.19877586703503036,1.0210727539421895,0.7142857142857143,88.80536866550733
BTCUSDT,nyse_20200821T200000Z,2020-08-21T20:00:00+00:00,TRADED,1.7769085100447721,0.1569668847336617,0.6641017459074358,0.5,87.91273868430407
BTCUSDT,nyse_20200828T200000Z,2020-08-28T20:00:00+00:00,TRADED,-0.4004893415170794,0.07592824296386678,1.1064893161774803,0.42857142857142855,86.7620824315451
BTCUSDT,nyse_20200904T200000Z,2020-09-04T20:00:00+00:00,TRADED,-0.06248082022646073,0.534781154939659,1.0204589272895819,0.42857142857142855,75.40873392024986
BTCUSDT,nyse_20200911T200000Z,2020-09-11T20:00:00+00:00,TRADED,0.7815567032045186,0.15907947988438614,0.785996029118748,0.42857142857142855,86.96825059163571
BTCUSDT,nyse_20200918T200000Z,2020-09-18T20:00:00+00:00,TRADED,2.3844081870361467,0.1599617053693339,0.8077645205413883,0.5,87.82465572443137
BTCUSDT,nyse_20200925T200000Z,2020-09-25T20:00:00+00:00,TRADED,1.3555288570426292,0.4791372689924817,1.026072414002709,0.6428571428571429,79.55259079858504
BTCUSDT,nyse_20201002T200000Z,2020-10-02T20:00:00+00:00,TRADED,-0.2592227899423639,0.04821914751036253,0.8262561543100283,0.5714285714285714,91.99355448498935
BTCUSDT,nyse_20201009T200000Z,2020-10-09T20:00:00+00:00,BLOCKED,0.0,0.6100121753515376,1.4725101428247835,0.2857142857142857,60.17438932520036
BTCUSDT,nyse_20201016T200000Z,2020-10-16T20:00:00+00:00,TRADED,-0.015993676357728262,0.16109459163019052,0.9448401515811627,0.42857142857142855,86.90898259911205
BTCUSDT,nyse_20201023T200000Z,2020-10-23T20:00:00+00:00,TRADED,1.8637415540670315,0.05027956701495671,0.8126848434705118,0.42857142857142855,90.16824802897187
BTCUSDT,nyse_20201030T200000Z,2020-10-30T20:00:00+00:00,TRADED,-2.7214441791476536,0.045899203742415594,0.5772509537043765,0.35714285714285715,89.41472930169367
