scenario,window_id,market_close,candidate_traded_seed_count,candidate_mean_pnl,reference_mean_pnl,candidate_minus_reference_total_pnl,candidate_negative_seed_count,candidate_all_traded_seeds_negative,candidate_stopped_seed_count,candidate_stopped_within_120_bars,candidate_zero_pair_seed_count,candidate_single_fill_stop_seed_count,candidate_mean_fill_count,candidate_mean_pair_count,candidate_mean_paired_grid_pnl,candidate_mean_stop_exit_pnl,directional_efficiency,volatility_expansion,reversal_ratio,grid_score
BASE,nyse_20200103T210000Z,2020-01-03T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.3515824752897388,1.2696513425480471,0.42857142857142855,74.59155062802691
BASE,nyse_20200110T210000Z,2020-01-10T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.6246113815701678,1.3392617948852723,0.6428571428571429,67.47491074785201
BASE,nyse_20200117T210000Z,2020-01-17T21:00:00+00:00,6,0.9390664953060287,0.9390664953060287,0.0,3,False,6,0,0,0,12.5,5.833333333333333,3.1544068605458553,-1.8204875079011344,0.3685656254775133,0.8988039310418087,0.42857142857142855,80.80689336830844
BASE,nyse_20200124T210000Z,2020-01-24T21:00:00+00:00,6,-0.8043633358611172,-0.03772308960554993,-4.5998414775334036,6,True,6,0,0,0,2.0,1.0,-0.6976000000000059,0.0,0.12672912717354606,0.45578281843769153,0.5,88.80208449489571
BASE,nyse_20200131T210000Z,2020-01-31T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.3847694079926834,1.20607954616111,0.42857142857142855,75.19852675267384
BASE,nyse_20200207T210000Z,2020-02-07T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.05248760887199011,1.1899594508464417,0.35714285714285715,84.49058988464773
BASE,nyse_20200214T210000Z,2020-02-14T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.5392503870445071,0.9327817543834389,0.5714285714285714,77.55145920457332
BASE,nyse_20200221T210000Z,2020-02-21T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.3507866298297572,1.3075226608265378,0.5,74.55424070599337
BASE,nyse_20200228T210000Z,2020-02-28T21:00:00+00:00,0,0.0,0.0,0.0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0.4637260570293302,1.229800077479416,0.5714285714285714,74.05029051092444
BASE,nyse_20200306T210000Z,2020-03-06T21:00:00+00:00,6,-3.353534484637225,-3.353534484637225,0.0,6,True,6,0,0,0,5.0,2.0,0.742900000000005,-3.904674596424091,0.11045652285460135,0.830197159302566,0.5714285714285714,90.16304344545291
