seed,window_id,label,pnl,first_entry_bar_index,first_entry_side,bars_from_entry_to_stop,final_pair_count,horizon_bars,directional_return_pct,favorable_excursion_pct,adverse_excursion_pct,path_efficiency,fill_count,pair_count,zero_pair,adverse_unpaired_inventory,net_side,net_qty,inventory_utilization,equity
3,nyse_20200117T210000Z,PROFITABLE,-1.511414048453473,1,LONG,2101,6,30,0.004037940683966346,0.00583270585855411,0.004463874310246085,0.23919845549563698,2,1,False,False,FLAT,0.0,0.0,0.4608924402812554
3,nyse_20200117T210000Z,PROFITABLE,-1.511414048453473,1,LONG,2101,6,60,0.010635978467313123,0.010767467212101423,0.004463874310246085,0.27136139465535,3,1,False,False,SHORT,-0.015,0.26978219999999997,0.08165633337501416
3,nyse_20200117T210000Z,PROFITABLE,-1.511414048453473,1,LONG,2101,6,120,0.005829334352277282,0.010889965273485291,0.004463874310246085,0.07278059184217413,4,2,False,False,FLAT,0.0,0.0,0.9222010260000054
3,nyse_20200124T210000Z,PERSISTENT_LOSS,-0.8312684367666727,16,LONG,2887,1,30,-0.008283616609932265,0.0011872709373628165,0.009473259717000304,0.437046307884859,1,0,True,True,LONG,0.016,0.26756031999999996,-1.158748166566669
3,nyse_20200124T210000Z,PERSISTENT_LOSS,-0.8312684367666727,16,LONG,2887,1,60,-0.012035202998422645,0.0011872709373628165,0.016543511522814303,0.29727829373334547,1,0,True,True,LONG,0.016,0.26654816,-1.6656603468000188
3,nyse_20200124T210000Z,PERSISTENT_LOSS,-0.8312684367666727,16,LONG,2887,1,120,-0.01333277982706882,0.0011872709373628165,0.018870610003439703,0.1935000774620051,1,0,True,True,LONG,0.016,0.26619808,-1.8423622347666644
3,nyse_20200306T210000Z,PERSISTENT_LOSS,-3.5386326652464,3,LONG,1457,2,30,-0.00034307385404552804,0.0010588157923581143,0.0012977617993291668,0.028013962230369293,1,0,True,True,LONG,0.012,0.21888648,-0.0710884760249904
3,nyse_20200306T210000Z,PERSISTENT_LOSS,-3.5386326652464,3,LONG,1457,2,60,0.0003617072582591252,0.0033068812065677466,0.0012977617993291668,0.014644537143876436,1,0,True,False,LONG,0.012,0.2190408,0.005386536600013099
3,nyse_20200306T210000Z,PERSISTENT_LOSS,-3.5386326652464,3,LONG,1457,2,120,-0.0029890172523401315,0.0033068812065677466,0.004537781967248966,0.06632293212053601,1,0,True,True,LONG,0.012,0.21830712,-0.3628195689500052
3,nyse_20200313T200000Z,PERSISTENT_LOSS,-1.2616802158510054,1,SHORT,126,6,30,0.005671998857387672,0.017174891094765332,0.01581089766478616,0.0712507569131386,4,2,False,False,FLAT,0.0,0.0,1.019869615266602
3,nyse_20200313T200000Z,PERSISTENT_LOSS,-1.2616802158510054,1,SHORT,126,6,60,0.012204527601228254,0.033296436477897595,0.01581089766478616,0.05777064142651868,10,5,False,False,FLAT,0.0,0.0,2.5887310065841245
3,nyse_20200313T200000Z,PERSISTENT_LOSS,-1.2616802158510054,1,SHORT,126,6,120,0.030098907376990724,0.03890416339355851,0.01581089766478616,0.08116956586631736,13,6,False,False,LONG,0.024,0.26076528,1.6245281625358892
3,nyse_20200320T200000Z,PROFITABLE,0.2710850377404996,2,SHORT,189,9,30,0.002601315235349455,0.016299523794097603,0.007807185201982536,0.039932368591178775,8,4,False,False,FLAT,0.0,0.0,2.157092540146197
3,nyse_20200320T200000Z,PROFITABLE,0.2710850377404996,2,SHORT,189,9,60,-0.00379668923515486,0.016299523794097603,0.010322653795069359,0.03435237564850313,13,6,False,False,SHORT,-0.022,0.27267855999999996,2.6811755033359583
3,nyse_20200320T200000Z,PROFITABLE,0.2710850377404996,2,SHORT,189,9,120,0.005251222909715247,0.01838251967993776,0.010322653795069359,0.023142596082462486,18,9,False,False,FLAT,0.0,0.0,4.852107895836289
3,nyse_20200409T200000Z,PERSISTENT_LOSS,-4.401534157561035,1,LONG,360,0,30,-0.00034968391316869685,0.0018828078932571213,0.0030580201033967302,0.02648800249298999,1,0,True,True,LONG,0.016,0.23327199999999998,-0.07653179363333625
3,nyse_20200409T200000Z,PERSISTENT_LOSS,-4.401534157561035,1,LONG,360,0,60,-0.0016058033816491735,0.0018828078932571213,0.0030580201033967302,0.06040753159659396,1,0,True,True,LONG,0.016,0.23297888,-0.22382032440000058
3,nyse_20200409T200000Z,PERSISTENT_LOSS,-4.401534157561035,1,LONG,360,0,120,-0.0009640305527748305,0.0018828078932571213,0.006191462227280953,0.018178997181349705,1,0,True,True,LONG,0.016,0.23312864000000003,-0.15039488909999593
3,nyse_20200424T200000Z,PERSISTENT_LOSS,0.06877377435675763,65,LONG,2875,3,30,0.0001217000561692938,0.0019498756252172011,0.002809800197929646,0.006539705353939982,1,0,True,False,LONG,0.018,0.26921916,-0.024839268599986246
3,nyse_20200424T200000Z,PERSISTENT_LOSS,0.06877377435675763,65,LONG,2875,3,60,-0.0024206274908389336,0.0019498756252172011,0.005937892850455984,0.06914202765680856,1,0,True,True,LONG,0.018,0.26853479999999996,-0.36785905946249015
3,nyse_20200424T200000Z,PERSISTENT_LOSS,0.06877377435675763,65,LONG,2875,3,120,6.686816273027141e-05,0.002621231979030192,0.005937892850455984,0.0011652838631490583,1,0,True,False,LONG,0.018,0.26920439999999995,-0.0347431350375
