pre_confirmation_tail_fraction,profile_id,tail_saved_before_confirmation
0.0,CONTROL,0
0.0,D2-R3,0.0
0.10598855471108509,S0,0.0
0.10598855471108509,S1,0.0
0.10598855471108509,S2,0.10253999999999953
0.10598855471108509,S3,0.25634999999999875
