inventory_drag,max_drawdown,net_pnl,paired_grid_pnl,profile_id,runs,scenario
317.9449352724304,7.430614296089008,-137.08175137379615,218.9565024845171,CONTROL,78,EXECUTION_STRESS
321.1508151128216,6.407885578580518,-94.38884404394135,263.7743505479781,CONTROL,78,MAKER_PROMO_OFF
321.1508151128216,6.3168050875581745,-67.68552257450837,263.7743505479781,CONTROL,78,PRIMARY_ZERO_MAKER
91.57032096426148,5.912560146719638,55.51243127972497,206.9768764157286,D2-R3,78,EXECUTION_STRESS
92.21149693233971,5.461701645750889,104.42170474436145,247.05907749541956,D2-R3,78,MAKER_PROMO_OFF
92.21149693233971,5.324894684692178,134.47929430654017,247.05907749541956,D2-R3,78,PRIMARY_ZERO_MAKER
274.94607483196165,7.430614296089008,-101.34631042778662,215.04711708917262,S0,78,EXECUTION_STRESS
278.1525361973232,6.374982095289623,-57.64193287680355,259.5860716254995,S0,78,MAKER_PROMO_OFF
278.1525361973232,6.234011157263154,-30.422489641579343,259.5860716254995,S0,78,PRIMARY_ZERO_MAKER
274.94607483196165,7.430614296089008,-101.3463104277866,215.04711708917262,S1,78,EXECUTION_STRESS
278.1525361973232,6.374982095289623,-57.64193287680355,259.5860716254995,S1,78,MAKER_PROMO_OFF
278.1525361973232,6.234011157263154,-30.422489641579343,259.5860716254995,S1,78,PRIMARY_ZERO_MAKER
274.3308348319616,7.4935291285890075,-111.84226458278663,215.04711708917262,S2,78,EXECUTION_STRESS
277.5372961973232,6.413698915289623,-66.71271235680356,259.5860716254995,S2,78,MAKER_PROMO_OFF
277.5372961973232,6.263048772263154,-38.923199251579355,259.5860716254995,S2,78,PRIMARY_ZERO_MAKER
273.4079748319616,7.587901377339008,-127.58619581528664,215.04711708917262,S3,78,EXECUTION_STRESS
276.6144361973232,6.471774145289623,-80.31888157680358,259.5860716254995,S3,78,MAKER_PROMO_OFF
276.6144361973232,6.306605194763154,-51.674263666579364,259.5860716254995,S3,78,PRIMARY_ZERO_MAKER
