inventory_drag,max_drawdown,net_pnl,paired_grid_pnl,profile_id,runs,seed
158.1694817010392,6.3294884374216585,-41.87534200778746,130.69928335820615,CONTROL,39,10
161.37635571242188,6.5287383053189885,-43.82128247584641,131.49448461044437,CONTROL,39,17
162.97965908572394,7.430614296089008,-60.62750836969821,116.16498377805321,CONTROL,39,3
158.16927146174416,6.648988437421657,-48.92744381191313,123.1755093567387,CONTROL,39,31
161.37909702222677,6.329488437421658,-56.43350569125576,119.9638186305532,CONTROL,39,59
158.17270051491764,6.589108418112833,-47.471035635744904,125.00712384647764,CONTROL,39,97
45.624492158800585,5.785267593193628,53.10367191280396,120.6788960986181,D2-R3,39,10
46.26586696107712,5.526058387868648,56.062257633975904,123.81312433098104,D2-R3,39,17
46.58652763573754,5.912560146719638,40.655107466938,108.60005652676212,D2-R3,39,3
45.62445011094158,5.526058387868649,48.84085673224585,115.9445769121542,D2-R3,39,31
46.26662863192296,5.526058387868648,46.07974040297777,114.91018469654203,D2-R3,39,59
45.625349330461134,5.526058387868648,49.671796181685096,117.14819284151024,D2-R3,39,97
136.6702196722408,6.3294884374216585,-23.521897778865476,128.71414722251103,S0,39,10
139.87687987180067,6.5287383053189885,-25.35231214075194,129.62466076909888,S0,39,17
141.48018324510272,7.430614296089008,-42.60716927439135,113.8465286969201,S0,39,3
136.6701776243818,6.648988437421657,-30.796380404719137,120.9681605907516,S0,39,31
139.88012575591358,6.329488437421658,-38.015259369569506,118.04377535010752,S0,39,59
136.67356105716843,6.5287383053189885,-29.117713977872096,123.0219877107825,S0,39,97
136.6702196722408,6.3294884374216585,-23.521897778865476,128.71414722251103,S1,39,10
139.87687987180067,6.5287383053189885,-25.35231214075194,129.62466076909888,S1,39,17
141.48018324510272,7.430614296089008,-42.60716927439135,113.8465286969201,S1,39,3
136.6701776243818,6.648988437421657,-30.796380404719137,120.9681605907516,S1,39,31
139.88012575591358,6.329488437421658,-38.015259369569506,118.04377535010752,S1,39,59
136.67356105716843,6.5287383053189885,-29.117713977872093,123.0219877107825,S1,39,97
136.3625996722408,6.392403269921658,-28.199804986365482,128.71414722251103,S2,39,10
139.56925987180065,6.591653137818988,-30.030219348251947,129.62466076909888,S2,39,17
141.17256324510274,7.4935291285890075,-47.28507648189136,113.8465286969201,S2,39,3
136.3625576243818,6.711903269921657,-35.47428761221914,120.9681605907516,S2,39,31
139.5725057559136,6.392403269921657,-42.69316657706951,118.04377535010752,S2,39,59
136.36594105716844,6.591653137818988,-33.7956211853721,123.0219877107825,S2,39,97
135.9011696722408,6.512825207538891,-35.21666579761549,128.71414722251103,S3,39,10
139.10782987180065,6.686025386568988,-37.04708015950195,129.62466076909888,S3,39,17
140.71113324510273,7.587901377339008,-54.301937293141364,113.8465286969201,S3,39,3
135.90112762438181,6.806275518671657,-42.49114842346915,120.9681605907516,S3,39,31
139.1110757559136,6.512825207538891,-49.71002738831952,118.04377535010752,S3,39,59
135.90451105716843,6.686025386568988,-40.812481996622104,123.0219877107825,S3,39,97
