blocked_adverse_add_opportunity_cost,early_flatten_fee,early_flatten_slippage,false_breakout_defense_cost,missed_paired_grid_pnl,profile_id,scenario,seed,suspected_episode_id,symbol,window_key
0.0,0.009546130000000002,0.019092260000000003,0.1100383900000006,0.0,S2,PRIMARY_ZERO_MAKER,97,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.023865325000000003,0.04773065,0.2750959750000028,0.0,S3,PRIMARY_ZERO_MAKER,97,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,D2-R3,EXECUTION_STRESS,3,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,S0,EXECUTION_STRESS,3,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,S1,EXECUTION_STRESS,3,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.014319195000000003,0.047730650000000006,0.14344984500000102,0.0,S2,EXECUTION_STRESS,3,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0357979875,0.11932662500000002,0.358624612500003,0.0,S3,EXECUTION_STRESS,3,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,D2-R3,EXECUTION_STRESS,10,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,S0,EXECUTION_STRESS,10,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,S1,EXECUTION_STRESS,10,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.014319195000000003,0.047730650000000006,0.14344984500000102,0.0,S2,EXECUTION_STRESS,10,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0357979875,0.11932662500000002,0.358624612500003,0.0,S3,EXECUTION_STRESS,10,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,D2-R3,EXECUTION_STRESS,17,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,S0,EXECUTION_STRESS,17,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,S1,EXECUTION_STRESS,17,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.014319195000000003,0.047730650000000006,0.14344984500000102,0.0,S2,EXECUTION_STRESS,17,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0357979875,0.11932662500000002,0.358624612500003,0.0,S3,EXECUTION_STRESS,17,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,D2-R3,EXECUTION_STRESS,31,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,S0,EXECUTION_STRESS,31,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,S1,EXECUTION_STRESS,31,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.014319195000000003,0.047730650000000006,0.14344984500000102,0.0,S2,EXECUTION_STRESS,31,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0357979875,0.11932662500000002,0.358624612500003,0.0,S3,EXECUTION_STRESS,31,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,D2-R3,EXECUTION_STRESS,59,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,S0,EXECUTION_STRESS,59,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,S1,EXECUTION_STRESS,59,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.014319195000000003,0.047730650000000006,0.14344984500000102,0.0,S2,EXECUTION_STRESS,59,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0357979875,0.11932662500000002,0.358624612500003,0.0,S3,EXECUTION_STRESS,59,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,D2-R3,EXECUTION_STRESS,97,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,S0,EXECUTION_STRESS,97,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,S1,EXECUTION_STRESS,97,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.014319195000000003,0.047730650000000006,0.14344984500000102,0.0,S2,EXECUTION_STRESS,97,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0357979875,0.11932662500000002,0.358624612500003,0.0,S3,EXECUTION_STRESS,97,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,D2-R3,MAKER_PROMO_OFF,3,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,S0,MAKER_PROMO_OFF,3,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,S1,MAKER_PROMO_OFF,3,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.009546130000000002,0.028638390000000003,0.11958452000000053,0.0,S2,MAKER_PROMO_OFF,3,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.023865325000000003,0.071595975,0.29896130000000287,0.0,S3,MAKER_PROMO_OFF,3,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,D2-R3,MAKER_PROMO_OFF,10,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,S0,MAKER_PROMO_OFF,10,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,S1,MAKER_PROMO_OFF,10,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.009546130000000002,0.028638390000000003,0.11958452000000053,0.0,S2,MAKER_PROMO_OFF,10,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.023865325000000003,0.071595975,0.29896130000000287,0.0,S3,MAKER_PROMO_OFF,10,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,D2-R3,MAKER_PROMO_OFF,17,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,S0,MAKER_PROMO_OFF,17,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,S1,MAKER_PROMO_OFF,17,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.009546130000000002,0.028638390000000003,0.11958452000000053,0.0,S2,MAKER_PROMO_OFF,17,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.023865325000000003,0.071595975,0.29896130000000287,0.0,S3,MAKER_PROMO_OFF,17,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,D2-R3,MAKER_PROMO_OFF,31,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
,,,0.0,,S0,MAKER_PROMO_OFF,31,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,S1,MAKER_PROMO_OFF,31,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.009546130000000002,0.028638390000000003,0.11958452000000053,0.0,S2,MAKER_PROMO_OFF,31,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.0,0.023865325000000003,0.071595975,0.29896130000000287,0.0,S3,MAKER_PROMO_OFF,31,D2-bc8ed57a704b6a79,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
