inventory_drag,max_drawdown,net_pnl,paired_grid_pnl,profile_id,runs,symbol
419.0613667002319,7.430614296089008,-225.0410525454987,209.40447039463848,CONTROL,90,MUUSDT
30.402199265870962,3.171705069899951,87.27162671657001,123.16057636727544,CONTROL,18,SKHYNIXUSDT
419.7877464991129,6.589108418112833,-180.73982146692134,291.62796288757085,CONTROL,90,SNDKUSDT
90.99525303285786,3.5292324123377874,19.35312930360417,122.31219393098854,CONTROL,36,SOXLUSDT
90.57154570463238,5.912560146719638,61.559111340469656,189.1160837722744,D2-R3,90,MUUSDT
6.080439853174191,2.735136029269485,95.85872845519347,110.40466736820214,D2-R3,18,SKHYNIXUSDT
156.47708176064654,5.785267593193628,57.03701337255457,282.341991398668,D2-R3,90,SNDKUSDT
22.864247510487797,2.813111909175772,79.95857716240889,119.23228886742321,D2-R3,36,SOXLUSDT
371.6206380155225,7.430614296089008,-193.69723610109097,197.11852715433682,S0,90,MUUSDT
30.402199265870962,3.171705069899951,87.27162671657001,123.16057636727544,S0,18,SKHYNIXUSDT
338.2330569123567,6.2623073041840716,-102.33825286525271,291.62796288757085,S0,90,SNDKUSDT
90.99525303285786,3.5292324123377874,19.35312930360417,122.31219393098854,S0,36,SOXLUSDT
371.6206380155225,7.430614296089008,-193.69723610109097,197.11852715433682,S1,90,MUUSDT
30.402199265870962,3.171705069899951,87.27162671657001,123.16057636727544,S1,18,SKHYNIXUSDT
338.2330569123567,6.2623073041840716,-102.33825286525271,291.62796288757085,S1,90,SNDKUSDT
90.99525303285786,3.5292324123377874,19.35312930360417,122.31219393098854,S1,36,SOXLUSDT
369.8818380155225,7.4935291285890075,-204.4070916060909,197.11852715433682,S2,90,MUUSDT
30.402199265870962,3.2195121473999513,85.99061698157,123.16057636727544,S2,18,SKHYNIXUSDT
338.12613691235674,6.3367831666840715,-115.55398035025279,291.62796288757085,S2,90,SNDKUSDT
90.99525303285786,3.562787004837787,16.492278783604142,122.31219393098854,S2,36,SOXLUSDT
367.27363801552247,7.587901377339008,-220.47187486359078,197.11852715433682,S3,90,MUUSDT
30.402199265870962,3.291222763649951,84.06910237906999,123.16057636727544,S3,18,SKHYNIXUSDT
337.96575691235677,6.448496960434072,-135.3775715777529,291.62796288757085,S3,90,SNDKUSDT
90.99525303285786,3.6131188935877874,12.2010030036041,122.31219393098854,S3,36,SOXLUSDT
