inventory_loss_before_confirmation,profile_id,scenario,seed,suspected_episode_id,symbol,tail_saved_before_confirmation,true_breakout_loss_avoided,window_key
0.7245000000000061,S3,PRIMARY_ZERO_MAKER,97,D2-928e959c7af15629,MUUSDT,0.24150000000000205,2.073874742807702,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,D2-R3,EXECUTION_STRESS,3,D2-928e959c7af15629,MUUSDT,,2.0399591776617125,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.9660000000000082,S0,EXECUTION_STRESS,3,D2-928e959c7af15629,MUUSDT,0.0,1.5569591776617087,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.9660000000000082,S1,EXECUTION_STRESS,3,D2-928e959c7af15629,MUUSDT,0.0,1.556959177661709,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.8694000000000074,S2,EXECUTION_STRESS,3,D2-928e959c7af15629,MUUSDT,0.09660000000000084,1.6532452276617098,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.7245000000000061,S3,EXECUTION_STRESS,3,D2-928e959c7af15629,MUUSDT,0.24150000000000205,1.7976743026617108,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,D2-R3,EXECUTION_STRESS,10,D2-928e959c7af15629,MUUSDT,,2.151065492807704,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.9660000000000082,S0,EXECUTION_STRESS,10,D2-928e959c7af15629,MUUSDT,0.0,1.6680654928077001,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.9660000000000082,S1,EXECUTION_STRESS,10,D2-928e959c7af15629,MUUSDT,0.0,1.6680654928077006,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.8694000000000074,S2,EXECUTION_STRESS,10,D2-928e959c7af15629,MUUSDT,0.09660000000000084,1.7643515428077012,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.7245000000000061,S3,EXECUTION_STRESS,10,D2-928e959c7af15629,MUUSDT,0.24150000000000205,1.9087806178077023,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,D2-R3,EXECUTION_STRESS,17,D2-928e959c7af15629,MUUSDT,,2.2663777871573467,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.9660000000000082,S0,EXECUTION_STRESS,17,D2-928e959c7af15629,MUUSDT,0.0,1.7833777871573424,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.9660000000000082,S1,EXECUTION_STRESS,17,D2-928e959c7af15629,MUUSDT,0.0,1.7833777871573429,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.8694000000000074,S2,EXECUTION_STRESS,17,D2-928e959c7af15629,MUUSDT,0.09660000000000084,1.8796638371573435,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.7245000000000061,S3,EXECUTION_STRESS,17,D2-928e959c7af15629,MUUSDT,0.24150000000000205,2.0240929121573448,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,D2-R3,EXECUTION_STRESS,31,D2-928e959c7af15629,MUUSDT,,2.151065492807704,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.9660000000000082,S0,EXECUTION_STRESS,31,D2-928e959c7af15629,MUUSDT,0.0,1.6680654928077001,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.9660000000000082,S1,EXECUTION_STRESS,31,D2-928e959c7af15629,MUUSDT,0.0,1.6680654928077006,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.8694000000000074,S2,EXECUTION_STRESS,31,D2-928e959c7af15629,MUUSDT,0.09660000000000084,1.7643515428077012,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.7245000000000061,S3,EXECUTION_STRESS,31,D2-928e959c7af15629,MUUSDT,0.24150000000000205,1.9087806178077023,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,D2-R3,EXECUTION_STRESS,59,D2-928e959c7af15629,MUUSDT,,2.207746389649853,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.9660000000000082,S0,EXECUTION_STRESS,59,D2-928e959c7af15629,MUUSDT,0.0,1.7247463896498487,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.9660000000000082,S1,EXECUTION_STRESS,59,D2-928e959c7af15629,MUUSDT,0.0,1.7247463896498487,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.8694000000000074,S2,EXECUTION_STRESS,59,D2-928e959c7af15629,MUUSDT,0.09660000000000084,1.8210324396498498,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.7245000000000061,S3,EXECUTION_STRESS,59,D2-928e959c7af15629,MUUSDT,0.24150000000000205,1.9654615146498509,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,D2-R3,EXECUTION_STRESS,97,D2-928e959c7af15629,MUUSDT,,2.151065492807704,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.9660000000000082,S0,EXECUTION_STRESS,97,D2-928e959c7af15629,MUUSDT,0.0,1.6680654928077001,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.9660000000000082,S1,EXECUTION_STRESS,97,D2-928e959c7af15629,MUUSDT,0.0,1.6680654928077006,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.8694000000000074,S2,EXECUTION_STRESS,97,D2-928e959c7af15629,MUUSDT,0.09660000000000084,1.7643515428077012,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.7245000000000061,S3,EXECUTION_STRESS,97,D2-928e959c7af15629,MUUSDT,0.24150000000000205,1.9087806178077023,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,D2-R3,MAKER_PROMO_OFF,3,D2-928e959c7af15629,MUUSDT,,2.157581677661712,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.9660000000000082,S0,MAKER_PROMO_OFF,3,D2-928e959c7af15629,MUUSDT,0.0,1.6745816776617082,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.9660000000000082,S1,MAKER_PROMO_OFF,3,D2-928e959c7af15629,MUUSDT,0.0,1.6745816776617082,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.8694000000000074,S2,MAKER_PROMO_OFF,3,D2-928e959c7af15629,MUUSDT,0.09660000000000084,1.7709884776617095,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.7245000000000061,S3,MAKER_PROMO_OFF,3,D2-928e959c7af15629,MUUSDT,0.24150000000000205,1.9155986776617102,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,D2-R3,MAKER_PROMO_OFF,10,D2-928e959c7af15629,MUUSDT,,2.2686879928077044,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.9660000000000082,S0,MAKER_PROMO_OFF,10,D2-928e959c7af15629,MUUSDT,0.0,1.7856879928077,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.9660000000000082,S1,MAKER_PROMO_OFF,10,D2-928e959c7af15629,MUUSDT,0.0,1.7856879928077,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.8694000000000074,S2,MAKER_PROMO_OFF,10,D2-928e959c7af15629,MUUSDT,0.09660000000000084,1.8820947928077014,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.7245000000000061,S3,MAKER_PROMO_OFF,10,D2-928e959c7af15629,MUUSDT,0.24150000000000205,2.0267049928077023,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,D2-R3,MAKER_PROMO_OFF,17,D2-928e959c7af15629,MUUSDT,,2.2686879928077044,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
