inventory_drag,max_drawdown,net_pnl,paired_grid_pnl,profile_id,runs,window_key
30.402199265870962,3.171705069899951,87.27162671657001,123.16057636727544,CONTROL,18,KR_STOCK:2026-07-03T06:30:00+00:00:2026-07-06T00:00:00+00:00
102.61161198344512,6.589108418112833,-78.46055695425542,32.45461325369719,CONTROL,18,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
45.388550948171876,3.1999130207912976,-8.340717608441704,42.601834383026684,CONTROL,18,US_LEVERAGED_ETF:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
45.60670208468598,3.5292324123377874,27.693846912045874,79.71035954796186,CONTROL,18,US_LEVERAGED_ETF:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00
73.43100620418444,6.179440932033258,-7.97887592848307,33.570758606225354,CONTROL,18,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
86.03282221045234,5.785267593193628,-12.310029756030742,84.88267778905347,CONTROL,18,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
162.1624007731361,6.4468216266582505,-157.13220157141063,24.551181930149824,CONTROL,36,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
175.15586672141097,7.430614296089008,-161.75692224052855,40.46117746359676,CONTROL,36,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
167.92295905621629,5.939922031904351,-8.478946268673226,181.98448426164455,CONTROL,36,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
71.53244625049955,5.199412726451491,20.336658706961607,103.12753997784212,CONTROL,18,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
6.080439853174191,2.735136029269485,95.85872845519347,110.40466736820214,D2-R3,18,KR_STOCK:2026-07-03T06:30:00+00:00:2026-07-06T00:00:00+00:00
20.522322396689017,4.561901121881465,0.4768144974130843,32.45461325369719,D2-R3,18,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
9.077710189634374,2.380255492776367,22.572337965674777,39.55899257360567,D2-R3,18,US_LEVERAGED_ETF:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
13.786537320853423,2.813111909175772,57.38623919673411,79.67329629381754,D2-R3,18,US_LEVERAGED_ETF:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00
14.686201240836883,4.549918043757188,42.62960101443365,30.343632148061605,D2-R3,18,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
86.03282221045234,5.785267593193628,-12.310029756030742,84.88267778905347,D2-R3,18,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
36.12575484708933,4.702641970757574,-41.08782243972149,23.556682685792204,D2-R3,36,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
