inventory_drag,max_drawdown,net_pnl,paired_grid_pnl,profile_id,runs,validation_split
102.61161198344512,6.589108418112833,-78.46055695425542,32.45461325369719,CONTROL,18,CURRENT_OOS_REPLAY
159.46382841463677,6.179440932033258,-20.28890568451381,118.45343639527883,CONTROL,36,EXPOSED_EARLY
698.1711250999917,7.430614296089008,-200.40665535347662,595.5971539314972,CONTROL,180,EXPOSED_LATE
20.522322396689017,4.561901121881465,0.4768144974130843,32.45461325369719,D2-R3,18,CURRENT_OOS_REPLAY
100.71902345128922,5.785267593193628,30.31957125840291,115.22630993711508,D2-R3,36,EXPOSED_EARLY
154.7519689809627,5.912560146719638,263.61704457481056,553.4141082157555,D2-R3,180,EXPOSED_LATE
21.056922396688897,4.5916976468814585,-0.058988352586797396,32.45461325369719,S0,18,CURRENT_OOS_REPLAY
159.46382841463677,6.179440932033258,-20.28890568451381,118.45343639527883,S0,36,EXPOSED_EARLY
650.7303964152824,7.430614296089008,-169.06283890906892,583.3112106911956,S0,180,EXPOSED_LATE
21.056922396688897,4.5916976468814585,-0.05898835258679802,32.45461325369719,S1,18,CURRENT_OOS_REPLAY
159.46382841463677,6.179440932033258,-20.28890568451381,118.45343639527883,S1,36,EXPOSED_EARLY
650.7303964152824,7.430614296089008,-169.0628389090689,583.3112106911956,S1,180,EXPOSED_LATE
20.95000239668892,4.588708341881459,0.0481722174131789,32.45461325369719,S2,18,CURRENT_OOS_REPLAY
159.46382841463677,6.260649462033259,-24.169008904513806,118.45343639527883,S2,36,EXPOSED_EARLY
648.9915964152823,7.4935291285890075,-193.35733950406893,583.3112106911956,S2,180,EXPOSED_LATE
20.78962239668896,4.584224384381459,0.2089130724131431,32.45461325369719,S3,18,CURRENT_OOS_REPLAY
159.46382841463677,6.382462257033258,-29.98916373451379,118.45343639527883,S3,36,EXPOSED_EARLY
646.3833964152823,7.587901377339008,-229.79909039656891,583.3112106911956,S3,180,EXPOSED_LATE
