breakout_direction,cluster_definition,posthoc_label,run_level_duplicate_count,scenario_count,seed_count,signal_time,suspected_episode_id,symbol,unique_market_event,validation_split,window_key
DOWN,symbol + market window + breakout direction + D2 suspected-event timestamp,TRUE_BREAKOUT,18,3,6,2026-07-13T01:58:59.999000+00:00,D2-928e959c7af15629,MUUSDT,True,EXPOSED_LATE,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
UP,symbol + market window + breakout direction + D2 suspected-event timestamp,TRUE_BREAKOUT,18,3,6,2026-08-17T03:16:59.999000+00:00,D2-0394ea9b3d716901,SNDKUSDT,True,CURRENT_OOS_REPLAY,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
