adverse_inventory_qty,breakout_direction,c1_confirmation_state,c1_confirmation_time,classification,gross_inventory_qty,long_inventory_qty,net_inventory_qty,scenario,seed,short_inventory_qty,signal_time,suspected_episode_id,symbol,window_key
0.1,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.1,0.0,-0.1,PRIMARY_ZERO_MAKER,3,0.1,2026-06-22T01:41:59.999000+00:00,D2-26e2b0070e7b30d2,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
0.1,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.1,0.0,-0.1,PRIMARY_ZERO_MAKER,10,0.1,2026-06-22T01:41:59.999000+00:00,D2-26e2b0070e7b30d2,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
0.1,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.1,0.0,-0.1,PRIMARY_ZERO_MAKER,17,0.1,2026-06-22T01:41:59.999000+00:00,D2-26e2b0070e7b30d2,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
0.1,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.1,0.0,-0.1,PRIMARY_ZERO_MAKER,31,0.1,2026-06-22T01:41:59.999000+00:00,D2-26e2b0070e7b30d2,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
0.1,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.1,0.0,-0.1,PRIMARY_ZERO_MAKER,59,0.1,2026-06-22T01:41:59.999000+00:00,D2-26e2b0070e7b30d2,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
0.1,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.1,0.0,-0.1,PRIMARY_ZERO_MAKER,97,0.1,2026-06-22T01:41:59.999000+00:00,D2-26e2b0070e7b30d2,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
0.1,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.1,0.0,-0.1,EXECUTION_STRESS,3,0.1,2026-06-22T01:41:59.999000+00:00,D2-26e2b0070e7b30d2,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
0.1,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.1,0.0,-0.1,EXECUTION_STRESS,10,0.1,2026-06-22T01:41:59.999000+00:00,D2-26e2b0070e7b30d2,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
0.1,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.1,0.0,-0.1,EXECUTION_STRESS,17,0.1,2026-06-22T01:41:59.999000+00:00,D2-26e2b0070e7b30d2,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
0.1,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.1,0.0,-0.1,EXECUTION_STRESS,31,0.1,2026-06-22T01:41:59.999000+00:00,D2-26e2b0070e7b30d2,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
0.1,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.1,0.0,-0.1,EXECUTION_STRESS,59,0.1,2026-06-22T01:41:59.999000+00:00,D2-26e2b0070e7b30d2,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
0.1,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.1,0.0,-0.1,EXECUTION_STRESS,97,0.1,2026-06-22T01:41:59.999000+00:00,D2-26e2b0070e7b30d2,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
0.1,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.1,0.0,-0.1,MAKER_PROMO_OFF,3,0.1,2026-06-22T01:41:59.999000+00:00,D2-26e2b0070e7b30d2,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
0.1,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.1,0.0,-0.1,MAKER_PROMO_OFF,10,0.1,2026-06-22T01:41:59.999000+00:00,D2-26e2b0070e7b30d2,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
0.1,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.1,0.0,-0.1,MAKER_PROMO_OFF,17,0.1,2026-06-22T01:41:59.999000+00:00,D2-26e2b0070e7b30d2,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
0.1,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.1,0.0,-0.1,MAKER_PROMO_OFF,31,0.1,2026-06-22T01:41:59.999000+00:00,D2-26e2b0070e7b30d2,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
0.1,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.1,0.0,-0.1,MAKER_PROMO_OFF,59,0.1,2026-06-22T01:41:59.999000+00:00,D2-26e2b0070e7b30d2,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
0.1,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.1,0.0,-0.1,MAKER_PROMO_OFF,97,0.1,2026-06-22T01:41:59.999000+00:00,D2-26e2b0070e7b30d2,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
0.31,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.31,0.0,-0.31,PRIMARY_ZERO_MAKER,3,0.31,2026-05-11T00:20:59.999000+00:00,D2-2a53b8b913c713d1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.31,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.31,0.0,-0.31,PRIMARY_ZERO_MAKER,10,0.31,2026-05-11T00:20:59.999000+00:00,D2-2a53b8b913c713d1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.31,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.31,0.0,-0.31,PRIMARY_ZERO_MAKER,17,0.31,2026-05-11T00:20:59.999000+00:00,D2-2a53b8b913c713d1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.31,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.31,0.0,-0.31,PRIMARY_ZERO_MAKER,31,0.31,2026-05-11T00:20:59.999000+00:00,D2-2a53b8b913c713d1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.31,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.31,0.0,-0.31,PRIMARY_ZERO_MAKER,59,0.31,2026-05-11T00:20:59.999000+00:00,D2-2a53b8b913c713d1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.31,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.31,0.0,-0.31,PRIMARY_ZERO_MAKER,97,0.31,2026-05-11T00:20:59.999000+00:00,D2-2a53b8b913c713d1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.31,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.31,0.0,-0.31,EXECUTION_STRESS,3,0.31,2026-05-11T00:20:59.999000+00:00,D2-2a53b8b913c713d1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.31,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.31,0.0,-0.31,EXECUTION_STRESS,10,0.31,2026-05-11T00:20:59.999000+00:00,D2-2a53b8b913c713d1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.31,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.31,0.0,-0.31,EXECUTION_STRESS,17,0.31,2026-05-11T00:20:59.999000+00:00,D2-2a53b8b913c713d1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.31,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.31,0.0,-0.31,EXECUTION_STRESS,31,0.31,2026-05-11T00:20:59.999000+00:00,D2-2a53b8b913c713d1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.31,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.31,0.0,-0.31,EXECUTION_STRESS,59,0.31,2026-05-11T00:20:59.999000+00:00,D2-2a53b8b913c713d1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.31,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.31,0.0,-0.31,EXECUTION_STRESS,97,0.31,2026-05-11T00:20:59.999000+00:00,D2-2a53b8b913c713d1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.31,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.31,0.0,-0.31,MAKER_PROMO_OFF,3,0.31,2026-05-11T00:20:59.999000+00:00,D2-2a53b8b913c713d1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.31,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.31,0.0,-0.31,MAKER_PROMO_OFF,10,0.31,2026-05-11T00:20:59.999000+00:00,D2-2a53b8b913c713d1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.31,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.31,0.0,-0.31,MAKER_PROMO_OFF,17,0.31,2026-05-11T00:20:59.999000+00:00,D2-2a53b8b913c713d1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.31,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.31,0.0,-0.31,MAKER_PROMO_OFF,31,0.31,2026-05-11T00:20:59.999000+00:00,D2-2a53b8b913c713d1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.31,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.31,0.0,-0.31,MAKER_PROMO_OFF,59,0.31,2026-05-11T00:20:59.999000+00:00,D2-2a53b8b913c713d1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.31,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.31,0.0,-0.31,MAKER_PROMO_OFF,97,0.31,2026-05-11T00:20:59.999000+00:00,D2-2a53b8b913c713d1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.26,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.26,0.0,-0.26,PRIMARY_ZERO_MAKER,3,0.26,2026-05-30T07:40:59.999000+00:00,D2-7914871e1abb9850,MUUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.26,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.26,0.0,-0.26,PRIMARY_ZERO_MAKER,10,0.26,2026-05-30T07:40:59.999000+00:00,D2-7914871e1abb9850,MUUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.26,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.26,0.0,-0.26,PRIMARY_ZERO_MAKER,17,0.26,2026-05-30T07:40:59.999000+00:00,D2-7914871e1abb9850,MUUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.26,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.26,0.0,-0.26,PRIMARY_ZERO_MAKER,31,0.26,2026-05-30T07:40:59.999000+00:00,D2-7914871e1abb9850,MUUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.26,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.26,0.0,-0.26,PRIMARY_ZERO_MAKER,59,0.26,2026-05-30T07:40:59.999000+00:00,D2-7914871e1abb9850,MUUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.26,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.26,0.0,-0.26,PRIMARY_ZERO_MAKER,97,0.26,2026-05-30T07:40:59.999000+00:00,D2-7914871e1abb9850,MUUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.26,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.26,0.0,-0.26,EXECUTION_STRESS,3,0.26,2026-05-30T07:40:59.999000+00:00,D2-7914871e1abb9850,MUUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
0.26,UP,BREAKOUT_REJECTED,,FALSE_BREAKOUT,0.26,0.0,-0.26,EXECUTION_STRESS,10,0.26,2026-05-30T07:40:59.999000+00:00,D2-7914871e1abb9850,MUUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
