classification,combination_id,direction,max_adverse_excursion_after_stop,max_favorable_excursion_after_stop,reentered_within_120m,reentered_within_240m,reentered_within_30m,reentered_within_60m,return_after_120m,return_after_240m,return_after_30m,return_after_60m,return_at_window_end,scenario,seed,stop_index,stop_price,stop_reason,symbol,time_to_reenter_original_grid,window_key
AMBIGUOUS,11141,NEUTRAL,-0.023350854898336548,0.025820240295748587,True,True,True,True,0.0002888170055452832,0.0009025531423290101,-0.0017256816081331339,0.0014368646025877396,0.003783502772643166,PRIMARY_ZERO_MAKER,59,21,1384.96,inventory_drag_close,SNDKUSDT,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11141,NEUTRAL,-0.023350854898336548,0.025820240295748587,True,True,True,True,0.0002888170055452832,0.0009025531423290101,-0.0017256816081331339,0.0014368646025877396,0.003783502772643166,PRIMARY_ZERO_MAKER,97,21,1384.96,inventory_drag_close,SNDKUSDT,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11141,NEUTRAL,-0.023350854898336548,0.025820240295748587,True,True,True,True,0.0002888170055452832,0.0009025531423290101,-0.0017256816081331339,0.0014368646025877396,0.003783502772643166,EXECUTION_STRESS,3,21,1384.96,inventory_drag_close,SNDKUSDT,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11141,NEUTRAL,-0.023350854898336548,0.025820240295748587,True,True,True,True,0.0002888170055452832,0.0009025531423290101,-0.0017256816081331339,0.0014368646025877396,0.003783502772643166,EXECUTION_STRESS,10,21,1384.96,inventory_drag_close,SNDKUSDT,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11141,NEUTRAL,-0.023350854898336548,0.025820240295748587,True,True,True,True,0.0002888170055452832,0.0009025531423290101,-0.0017256816081331339,0.0014368646025877396,0.003783502772643166,EXECUTION_STRESS,17,21,1384.96,inventory_drag_close,SNDKUSDT,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11141,NEUTRAL,-0.023350854898336548,0.025820240295748587,True,True,True,True,0.0002888170055452832,0.0009025531423290101,-0.0017256816081331339,0.0014368646025877396,0.003783502772643166,EXECUTION_STRESS,31,21,1384.96,inventory_drag_close,SNDKUSDT,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11141,NEUTRAL,-0.023350854898336548,0.025820240295748587,True,True,True,True,0.0002888170055452832,0.0009025531423290101,-0.0017256816081331339,0.0014368646025877396,0.003783502772643166,EXECUTION_STRESS,59,21,1384.96,inventory_drag_close,SNDKUSDT,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11141,NEUTRAL,-0.023350854898336548,0.025820240295748587,True,True,True,True,0.0002888170055452832,0.0009025531423290101,-0.0017256816081331339,0.0014368646025877396,0.003783502772643166,EXECUTION_STRESS,97,21,1384.96,inventory_drag_close,SNDKUSDT,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11141,NEUTRAL,-0.027228007594499837,0.02174788562223129,True,True,True,True,-0.005106150394108444,0.00011506817789541657,-0.005890052356021025,-0.0021143777688280574,-0.000201369311316979,MAKER_PROMO_OFF,3,6,1390.48,inventory_drag_close,SNDKUSDT,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11141,NEUTRAL,-0.02653491568849009,0.022475872442407008,True,True,True,True,-0.004095027672023632,0.0004606006520377903,-0.0048435037315849305,0.000949988844827887,0.000510978848354382,MAKER_PROMO_OFF,10,7,1389.49,inventory_drag_close,SNDKUSDT,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11141,NEUTRAL,-0.0269690887771471,0.022019840156534576,True,True,True,True,-0.00390616569911717,-5.035572724454429e-05,-0.00567580982799909,-0.0009423714670061534,6.474307788595368e-05,MAKER_PROMO_OFF,17,8,1390.11,inventory_drag_close,SNDKUSDT,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
AMBIGUOUS,11141,NEUTRAL,-0.027228007594499837,0.02174788562223129,True,True,True,True,-0.005106150394108444,0.00011506817789541657,-0.005890052356021025,-0.0021143777688280574,-0.000201369311316979,MAKER_PROMO_OFF,31,6,1390.48,inventory_drag_close,SNDKUSDT,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
