combination_id,reason,scenario,symbol,window_key
11111,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11111,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11111,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
12111,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
12111,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
12111,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
13111,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
13111,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
13111,DENSE_REQUIRES_ZERO_MAKER,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
14111,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
14111,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
14111,DENSE_REQUIRES_ZERO_MAKER,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
21111,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
21111,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
21111,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
31111,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
31111,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
31111,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
41111,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
41111,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
41111,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11211,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11211,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11211,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11311,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11311,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11311,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11411,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11411,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11411,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11121,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11121,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11121,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11131,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11131,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11131,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11141,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11141,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11141,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11112,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11112,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11112,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11113,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11113,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11113,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11114,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11114,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11114,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11115,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11115,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
11115,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
22333,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
22333,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
22333,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
22434,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
22434,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
22434,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
31445,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
31445,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
31445,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
32333,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
32333,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
32333,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
42335,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
42335,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
42335,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
43445,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
43445,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
43445,DENSE_REQUIRES_ZERO_MAKER,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
24222,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
24222,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
24222,DENSE_REQUIRES_ZERO_MAKER,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
33224,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
33224,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
33224,DENSE_REQUIRES_ZERO_MAKER,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
44243,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
44243,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
44243,DENSE_REQUIRES_ZERO_MAKER,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
23342,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
23342,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
23342,DENSE_REQUIRES_ZERO_MAKER,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
44324,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
44324,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
44324,DENSE_REQUIRES_ZERO_MAKER,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
34432,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
34432,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
34432,DENSE_REQUIRES_ZERO_MAKER,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
23423,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
23423,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
23423,DENSE_REQUIRES_ZERO_MAKER,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
32242,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
32242,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
32242,REGIME_BLOCKED,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
13235,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
13235,REGIME_BLOCKED,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
13235,DENSE_REQUIRES_ZERO_MAKER,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
42422,REGIME_BLOCKED,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-04-10T20:00:00+00:00:2026-04-13T08:00:00+00:00
