CVaR_95,accepted_fill_count,best_window_concentration,combination_id,crossings_per_hour,direction,grid_count,inventory_drag,inventory_drag_ratio,inventory_forced_exit_count,inventory_realized_pnl,max_drawdown,max_drawdown_pct,max_inventory_utilization,max_unpaired_lot_age,max_unpaired_lots,max_window_loss,mean_inventory_utilization,mean_window_pnl,median_window_pnl,month_contribution,neighbor_positive_ratio,neighbor_split,neighbor_stress_nonnegative_ratio,net_capacity_per_hour,net_pnl,pair_completion_count,paired_grid_pnl,peak_negative_unrealized_pnl,positive_window_ratio,pre_exit_inventory_notional,profit_factor,profit_protection_close_count,profit_protection_reduce_count,profit_protection_suppress_count,rejected_fill_count,scenario,seed_positive_count,step_pct,stop_loss_count,symbol_contribution,take_profit_count,top_3_window_concentration,total_pnl,window_count,window_force_close_count,worst_5pct_mean,worst_window_pnl
6.956895310142339,29.0,1.0,11111,5.0,LONG,5.0,0.0,0.0,0.0,0.0,2.230200000000009,0.004460400000000018,0.605587,586,4,0.0,0.09876737412634408,6.956895310142339,6.956895310142339,"{""2026-07"": 6.95689531014234}",,EXPOSED_EARLY,,0.01668255838765011,6.956895310142339,15.5,7.064376910142339,1.949700000000007,1.0,0.0,6.956895310142339,0.0,0.0,0.0,61.333333333333336,EXECUTION_STRESS,6,0.005289471677530022,1.0,"{""SKHYNIXUSDT"": 6.95689531014234}",0.0,1.0,6.956895310142339,1,0.0,6.956895310142339,6.956895310142339
8.505116141888777,38.333333333333336,1.0,11111,5.0,LONG,5.0,0.0,0.0,0.0,0.0,2.230200000000009,0.004460400000000018,0.6043216,583,4,0.0,0.0960445741375448,8.505116141888777,8.505116141888777,"{""2026-07"": 8.505116141888777}",,EXPOSED_EARLY,,0.014682558387650112,8.505116141888777,20.166666666666668,9.158347562495601,1.949700000000007,1.0,0.0,8.505116141888777,0.0,0.0,0.0,23.5,MAKER_PROMO_OFF,6,0.005289471677530022,1.0,"{""SKHYNIXUSDT"": 8.505116141888777}",0.0,1.0,8.505116141888777,1,0.0,8.505116141888777,8.505116141888777
9.086693162495601,38.333333333333336,1.0,11111,5.0,LONG,5.0,0.0,0.0,0.0,0.0,2.230200000000009,0.004460400000000018,0.6043216,583,4,0.0,0.0960445741375448,9.086693162495601,9.086693162495601,"{""2026-07"": 9.086693162495601}",,EXPOSED_EARLY,,0.01668255838765011,9.086693162495601,20.166666666666668,9.158347562495601,1.949700000000007,1.0,0.0,9.086693162495601,0.0,0.0,0.0,23.5,PRIMARY_ZERO_MAKER,6,0.005289471677530022,1.0,"{""SKHYNIXUSDT"": 9.086693162495601}",0.0,1.0,9.086693162495601,1,0.0,9.086693162495601,9.086693162495601
-5.563796942175149,355.3333333333333,0.44890403749633234,11111,3.7733333333333334,NEUTRAL,5.4,61.644489581926756,1.3349418386752478,0.0,-68.82271156969071,6.434404872929199,0.012868809745858398,0.8086347999999999,3245,4,5.563796942175149,0.28712304899911756,-1.49790938996663,-1.2556270915553673,"{""2026-05"": -5.894238404731891, ""2026-06"": -21.159830637595025, ""2026-07"": 4.585428192827478}",0.0,EXPOSED_EARLY,0.0,0.012691237028343879,-22.46864084949945,156.83333333333334,46.17765942754532,5.44994161128233,0.3333333333333333,256.2199418558506,0.26884761359453885,0.0,0.0,0.0,543.5,EXECUTION_STRESS,0,0.004475636032408777,15.0,"{""MUUSDT"": -15.559356665020603, ""SKHYNIXUSDT"": 3.7087588686811745, ""SNDKUSDT"": -12.085357637000781, ""SOXLUSDT"": 1.4673145838407626}",0.0,0.8165157709998904,-22.46864084949945,15,0.0,-5.563796942175149,-5.563796942175149
-5.382114391717466,386.6666666666667,0.4187248304855911,11111,4.096666666666667,NEUTRAL,5.266666666666667,58.72332381440083,1.0988882818672268,0.0,-62.935477124163285,6.067856346148265,0.01214689752005345,0.9466943999999999,3245,3,5.382114391717466,0.29458292368260885,-0.9069968851439654,-0.955899615631984,"{""2026-05"": -0.7306872080012843, ""2026-06"": -18.432229281326414, ""2026-07"": 5.557963212168212}",0.0,EXPOSED_EARLY,0.0,0.012357282225958296,-13.604953277159481,173.33333333333334,53.43884795515189,5.44994161128233,0.3333333333333333,256.2199418558506,0.5269971459648054,0.0,0.0,0.0,229.66666666666666,MAKER_PROMO_OFF,0,0.004583278767143654,14.0,"{""MUUSDT"": -15.836377175378907, ""SKHYNIXUSDT"": 4.655177533398938, ""SNDKUSDT"": -3.977869643305322, ""SOXLUSDT"": 1.5541160081258}",0.0,0.833985920648329,-13.604953277159481,15,1.0,-5.382114391717466,-5.382114391717466
-5.11505974150735,398.0,0.3705051806222279,11111,3.7733333333333334,NEUTRAL,5.4,62.334093566022624,1.188222371568635,0.0,-65.24800350913499,5.929818631792488,0.011859637263584976,0.9466943999999999,3245,4,5.11505974150735,0.28731340683621176,-0.7839293611324455,-0.6970358911397639,"{""2026-05"": -4.1893955768290505, ""2026-06"": -14.897167074062368, ""2026-07"": 7.32762223390474}",0.0,EXPOSED_EARLY,0.0,0.012691237028343879,-11.758940416986682,177.83333333333334,52.459956198040686,5.44994161128233,0.4666666666666667,256.2199418558506,0.5491171487161853,0.0,0.0,0.0,231.0,PRIMARY_ZERO_MAKER,0,0.004475636032408777,15.0,"{""MUUSDT"": -11.790463456310155, ""SKHYNIXUSDT"": 5.305957458876666, ""SNDKUSDT"": -7.522545904099392, ""SOXLUSDT"": 2.2481114845461945}",0.0,0.7113863752232058,-11.758940416986682,15,0.0,-5.11505974150735,-5.11505974150735
6.578584596755483,22.333333333333332,1.0,11112,5.0,LONG,5.0,0.0,0.0,0.0,1.607832275820315,2.230200000000009,0.004460400000000018,0.605587,583,4,0.0,0.37151909862778726,6.578584596755483,6.578584596755483,"{""2026-07"": 6.5785845967554835}",,EXPOSED_EARLY,,0.01668255838765011,6.578584596755483,11.333333333333334,5.16699488914301,1.949700000000007,1.0,225.37357604349006,6.578584596755483,0.0,0.0,0.0,49.0,EXECUTION_STRESS,6,0.005289471677530022,1.0,"{""SKHYNIXUSDT"": 6.5785845967554835}",0.0,1.0,6.578584596755483,1,0.0,6.578584596755483,6.578584596755483
7.367270594572303,30.666666666666668,1.0,11112,5.0,LONG,5.0,0.0,0.0,0.0,0.5916142528494795,2.230200000000009,0.004460400000000018,0.6043216,583,4,0.0,0.3556629021726701,7.367270594572303,7.367270594572303,"{""2026-07"": 7.367270594572303}",,EXPOSED_EARLY,,0.014682558387650112,7.367270594572303,15.833333333333334,7.362742542981877,1.949700000000007,1.0,64.39245029814,7.367270594572303,0.0,0.0,0.0,19.0,MAKER_PROMO_OFF,6,0.005289471677530022,1.0,"{""SKHYNIXUSDT"": 7.367270594572303}",0.0,1.0,7.367270594572303,1,0.0,7.367270594572303,7.367270594572303
7.818277749308064,30.666666666666668,1.0,11112,5.0,LONG,5.0,0.0,0.0,0.0,0.5594180277004065,2.230200000000009,0.004460400000000018,0.6043216,583,4,0.0,0.3556629021726701,7.818277749308064,7.818277749308064,"{""2026-07"": 7.818277749308064}",,EXPOSED_EARLY,,0.01668255838765011,7.818277749308064,15.833333333333334,7.362742542981877,1.949700000000007,1.0,64.39245029814,7.818277749308064,0.0,0.0,0.0,19.0,PRIMARY_ZERO_MAKER,6,0.005289471677530022,1.0,"{""SKHYNIXUSDT"": 7.818277749308064}",0.0,1.0,7.818277749308064,1,0.0,7.818277749308064,7.818277749308064
-2.969571590148407,163.83333333333334,0.425034585467504,11112,3.7733333333333334,NEUTRAL,5.4,15.857272108815692,0.7317921073726383,0.0,-18.95261909604831,3.3159548766405496,0.006631909753281099,0.5177192,2434,4,2.969571590148407,0.21399138815918117,0.1550926617055658,-0.35329116309212144,"{""2026-05"": 1.1568634747265596, ""2026-06"": -3.6334183878750133, ""2026-07"": 4.802944838731945}",0.0,EXPOSED_EARLY,0.0,0.012691237028343879,2.326389925583487,66.83333333333333,21.669094199100126,2.284100000000017,0.4666666666666667,254.5396559605863,1.2320825256008208,0.0,0.0,0.0,236.16666666666666,EXECUTION_STRESS,6,0.004475636032408777,15.0,"{""MUUSDT"": -6.81578638780912, ""SKHYNIXUSDT"": 5.249333135776268, ""SNDKUSDT"": -0.014090972324081888, ""SOXLUSDT"": 3.906934149940422}",0.0,0.8538547367100559,2.326389925583487,15,0.0,-2.969571590148407,-2.969571590148407
