inventory_drag,max_drawdown,net_pnl,paired_grid_pnl,run_count,scenario,seed
1297.2499122033903,11.232042329272169,-222.07740632521808,1249.9320553344241,408,EXECUTION_STRESS,10
1301.330438899271,11.365117385839522,-32.61755302151684,1462.1219326603198,408,MAKER_PROMO_OFF,10
1277.5262239491358,8.696422946942947,52.945442509355075,1372.447499676627,408,PRIMARY_ZERO_MAKER,10
1300.4767318188544,11.124573117009119,-205.10893461795678,1272.214921790144,408,EXECUTION_STRESS,17
1305.4351828858382,10.860544383779235,-14.291169412659059,1486.3459391563613,408,MAKER_PROMO_OFF,17
1274.4518853137654,8.313022946948704,92.2695853486947,1403.5165719164431,408,PRIMARY_ZERO_MAKER,17
1271.7799585194614,11.657406931236288,-191.28741819867454,1254.717274155063,408,EXECUTION_STRESS,3
1281.2646590141946,10.535914018732543,28.07515515895319,1489.8050402514477,408,MAKER_PROMO_OFF,3
1277.746693713963,8.313022946948703,101.36789707598851,1406.7046272067328,408,PRIMARY_ZERO_MAKER,3
1287.1499575970065,11.39020327366168,-218.71136969086112,1238.6497266980691,408,EXECUTION_STRESS,31
1300.2775987126258,12.045265958335046,-22.967495827066124,1475.9317569627663,408,MAKER_PROMO_OFF,31
1268.2754724739086,8.522338400894249,88.98335751337181,1401.2928846854352,408,PRIMARY_ZERO_MAKER,31
1283.946294470048,11.181999060286854,-185.77546100967848,1271.2084404896868,408,EXECUTION_STRESS,59
1296.197362588231,11.649584989002378,-22.10731623071419,1467.9359248001908,408,MAKER_PROMO_OFF,59
1262.4907052626322,8.313022946948704,86.79603586909718,1392.4212908092588,408,PRIMARY_ZERO_MAKER,59
1288.0789540524665,11.08282032689867,-174.222133334009,1275.477219619513,408,EXECUTION_STRESS,97
1288.3478235551115,11.004770122900602,-6.7388107872076315,1454.7619682862403,408,MAKER_PROMO_OFF,97
1291.582574637844,9.417375560286452,63.42200655102132,1383.0566457061714,408,PRIMARY_ZERO_MAKER,97
