direction,inventory_drag,level,net_pnl,paired_grid_pnl,run_count,scenario
NEUTRAL,3890.1559115920313,1,-612.4530467547961,3800.717948583592,1224,EXECUTION_STRESS
NEUTRAL,3838.5258970691957,2,-584.7296764216019,3761.481689503308,1224,EXECUTION_STRESS
NEUTRAL,3910.275381866915,1,-43.93087283280401,4440.808732517146,1224,MAKER_PROMO_OFF
NEUTRAL,3862.5776837883573,2,-26.716317287406632,4396.09382960018,1224,MAKER_PROMO_OFF
NEUTRAL,3847.611712842844,1,234.93742451790953,4197.136729677426,1224,PRIMARY_ZERO_MAKER
NEUTRAL,3804.4618425084045,2,250.8469003496191,4162.302790323243,1224,PRIMARY_ZERO_MAKER
