accepted_fill_count,baseline_atr,combination_id,cooldown_count,crossings_per_hour,direction,engine_mode,force_close_at,grid_count,grid_lower,grid_upper,inventory_drag,inventory_drag_ratio,inventory_forced_exit_count,inventory_realized_pnl,loss_component,max_drawdown,max_drawdown_pct,max_inventory_utilization,max_unpaired_lot_age,max_unpaired_lots,mean_inventory_utilization,net_capacity_per_hour,net_pnl,pair_completion_count,paired_grid_pnl,peak_negative_unrealized_pnl,pre_exit_inventory_notional,pre_exit_unrealized_pnl,profit_factor_component,profit_protection_close_count,profit_protection_reduce_count,profit_protection_suppress_count,reentry_count,regrid_count,rejected_fill_count,scenario,seed,session_count,step_pct,stop_loss_count,stopped_at_index,stopped_at_price,stopped_reason,symbol,take_profit_count,window_force_close_count,window_key
23,1.257857142857168,21111,0,1.5,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,5,1362.1547752209706,1423.7453704073332,0.16289472774219121,0.022439094856987363,0,-0.24630672774218054,0.0,4.027017611590866,0.008054035223181731,0.48304479999999994,2940,3,0.23392618073311117,0.008515523437260452,6.982561512916107,11,7.259416156506288,3.8446176115908677,83.412,-0.16289472774219121,6.982561512916107,0,0,0,0,0,5,PRIMARY_ZERO_MAKER,3,1,0.007806415624840302,0,,1390.2,window_force_close,SNDKUSDT,0,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
21,1.257857142857168,21111,0,1.5,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,5,1362.1547752209706,1423.7453704073332,0.16289472774219121,0.024645399134134337,0,-0.24630672774218054,0.0,4.027017611590866,0.008054035223181731,0.48304479999999994,2941,3,0.23450279818236897,0.008515523437260452,6.332684396764779,10,6.609539040354959,3.8446176115908677,83.412,-0.16289472774219121,6.332684396764779,0,0,0,0,0,10,PRIMARY_ZERO_MAKER,10,1,0.007806415624840302,0,,1390.2,window_force_close,SNDKUSDT,0,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
21,1.257857142857168,21111,0,1.5,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,5,1362.1547752209706,1423.7453704073332,0.16289472774219121,0.024645399134134337,0,-0.24630672774218054,0.0,4.027017611590866,0.008054035223181731,0.48304479999999994,2941,3,0.23601589154801575,0.008515523437260452,6.332684396764779,10,6.609539040354959,3.8446176115908677,83.412,-0.16289472774219121,6.332684396764779,0,0,0,0,0,12,PRIMARY_ZERO_MAKER,17,1,0.007806415624840302,0,,1390.2,window_force_close,SNDKUSDT,0,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
21,1.257857142857168,21111,0,1.5,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,5,1362.1547752209706,1423.7453704073332,0.16289472774219121,0.024645399134134337,0,-0.24630672774218054,0.0,4.157817611590869,0.008315635223181739,0.48304479999999994,2941,3,0.23053826295062102,0.008515523437260452,6.332684396764779,10,6.609539040354959,3.8446176115908677,83.412,-0.16289472774219121,6.332684396764779,0,0,0,0,0,9,PRIMARY_ZERO_MAKER,31,1,0.007806415624840302,0,,1390.2,window_force_close,SNDKUSDT,0,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
23,1.257857142857168,21111,0,1.5,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,5,1362.1547752209706,1423.7453704073332,0.16289472774219121,0.022439094856987363,0,-0.24630672774218054,0.0,4.027017611590866,0.008054035223181731,0.48304479999999994,2940,3,0.2346319301423811,0.008515523437260452,6.982561512916107,11,7.259416156506288,3.8446176115908677,83.412,-0.16289472774219121,6.982561512916107,0,0,0,0,0,14,PRIMARY_ZERO_MAKER,59,1,0.007806415624840302,0,,1390.2,window_force_close,SNDKUSDT,0,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
21,1.257857142857168,21111,0,1.5,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,5,1362.1547752209706,1423.7453704073332,0.16289472774219121,0.024645399134134337,0,-0.24630672774218054,0.0,4.027017611590866,0.008054035223181731,0.48304479999999994,2942,3,0.23424600624053316,0.008515523437260452,6.332684396764779,10,6.609539040354959,3.8446176115908677,83.412,-0.16289472774219121,6.332684396764779,0,0,0,0,0,19,PRIMARY_ZERO_MAKER,97,1,0.007806415624840302,0,,1390.2,window_force_close,SNDKUSDT,0,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
23,1.257857142857168,21111,0,1.5,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,5,1362.1547752209706,1423.7453704073332,0.16289472774219121,0.022439094856987363,0,-0.3714247277421919,0.0,4.027017611590866,0.008054035223181731,0.48304479999999994,2941,3,0.23253488021811572,0.008515523437260452,6.836475821416096,11,7.259416156506288,3.8446176115908677,83.412,-0.16289472774219121,6.836475821416096,0,0,0,0,0,20,EXECUTION_STRESS,3,1,0.007806415624840302,0,,1390.2,window_force_close,SNDKUSDT,0,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
19,1.257857142857168,21111,0,1.5,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,5,1362.1547752209706,1423.7453704073332,0.16289472774219121,0.027332880591873214,0,-0.3714247277421919,0.0,4.279600209848016,0.00855920041969603,0.49282560000000003,2941,3,0.2295810591941836,0.008515523437260452,5.53672158911344,9,5.9596619242036315,3.8450000000000113,83.412,-0.16289472774219121,5.53672158911344,0,0,0,0,0,31,EXECUTION_STRESS,10,1,0.007806415624840302,0,,1390.2,window_force_close,SNDKUSDT,0,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
17,1.257857142857168,21111,0,1.5,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,5,1362.1547752209706,1423.7453704073332,0.16289472774219121,0.030678216468426545,0,-0.3714247277421919,0.0,4.279600209848016,0.00855920041969603,0.48304479999999994,2942,3,0.23294727155407452,0.008515523437260452,4.88684447296211,8,5.309784808052302,3.8450000000000113,83.412,-0.16289472774219121,4.88684447296211,0,0,0,0,0,30,EXECUTION_STRESS,17,1,0.007806415624840302,0,,1390.2,window_force_close,SNDKUSDT,0,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
19,1.257857142857168,21111,0,1.5,NEUTRAL,R1_CONTROLLER_FAITHFUL,2026-05-18T06:00:00+00:00,5,1362.1547752209706,1423.7453704073332,0.16289472774219121,0.027332880591873217,0,-0.3714247277421919,0.0,4.027017611590866,0.008054035223181731,0.48304479999999994,2943,3,0.2365206354438049,0.008515523437260452,5.536721589113439,9,5.959661924203631,3.8446176115908677,83.412,-0.16289472774219121,5.536721589113439,0,0,0,0,0,31,EXECUTION_STRESS,31,1,0.007806415624840302,0,,1390.2,window_force_close,SNDKUSDT,0,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
