inventory_drag,max_drawdown,net_pnl,paired_grid_pnl,run_count,scenario,symbol,window_key
294.9872213913733,3.999045598234256,608.8548217459203,989.9368138321324,192,MAKER_PROMO_OFF,SKHYNIXUSDT,KR_STOCK:2026-07-03T06:30:00+00:00:2026-07-06T00:00:00+00:00
274.95885312577525,3.797652781222465,703.6491238092971,979.8036853231974,192,PRIMARY_ZERO_MAKER,SKHYNIXUSDT,KR_STOCK:2026-07-03T06:30:00+00:00:2026-07-06T00:00:00+00:00
15.165200769985649,4.279600209848016,369.65114775188766,358.7658648720608,96,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
38.69519264277636,4.188703408068552,370.5830271738776,417.6465635077478,96,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
40.82129773306296,4.157817611590869,382.67572547149206,414.7581377569166,96,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
539.4295878282719,9.1635536631926,-389.66211405442584,226.76710079697781,96,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
540.9623129311797,8.432479129550432,-364.84954702993286,249.7723710134788,96,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
540.9623129311797,7.950040119921779,-324.59675055666895,249.7723710134788,96,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
563.2035185001262,5.381364809217508,-437.89395360913625,238.44927223887473,192,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
565.0944761234517,5.40205346696326,-380.4947177753518,282.1135646175105,192,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
565.0944761234517,5.381364809217508,-335.6034359070872,282.1135646175105,192,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
403.27209243800877,7.858315355570303,-219.18290257379786,262.6266668118539,144,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
404.29170564481706,7.11377847747357,-180.97399437810483,301.09210789720703,144,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
418.9674407216459,7.06615789835931,-171.3861604420415,286.55611673603613,144,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
526.0791349193088,6.906194188281322,227.38458554689907,867.4113511996501,192,EXECUTION_STRESS,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
500.75662306554403,6.102866055887737,375.82441819898764,1049.1726901681157,192,MAKER_PROMO_OFF,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
432.43369237523575,5.827895592736825,516.9477161050597,979.972436362896,192,PRIMARY_ZERO_MAKER,SNDKUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
835.524582035174,6.228473104588936,-173.16086205789546,795.1016772117285,192,EXECUTION_STRESS,SOXLUSDT,US_LEVERAGED_ETF:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
850.5641649267377,6.377033913058835,-83.79651064899949,909.1953069115818,192,MAKER_PROMO_OFF,SOXLUSDT,US_LEVERAGED_ETF:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
843.9550021060397,6.20657217445382,-24.767043532349675,877.5754946408904,192,PRIMARY_ZERO_MAKER,SOXLUSDT,US_LEVERAGED_ETF:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
279.99794646507695,3.8228588680888036,474.7022424145629,792.1453633279116,192,EXECUTION_STRESS,SOXLUSDT,US_LEVERAGED_ETF:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00
332.9925515437915,3.6229300872831107,481.9410987540153,900.5363559381619,192,MAKER_PROMO_OFF,SOXLUSDT,US_LEVERAGED_ETF:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00
299.1753383016154,3.6255816674512387,546.9140729396939,856.8585605203928,192,PRIMARY_ZERO_MAKER,SOXLUSDT,US_LEVERAGED_ETF:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00
