best_window_concentration,combination_id,direction,inventory_drag_ratio,phase1_gate_passed,positive_window_ratio,primary_median_window_pnl,primary_total_pnl,profit_factor,selection_reason,stress_total_pnl
,11111,LONG,,False,,,,,ANCHOR_CONTROL,
0.5444321389613885,11111,NEUTRAL,2.0215240010283715,False,0.25,-2.9091912531905475,-17.855409217011047,0.09664683824778036,ANCHOR_CONTROL,-21.47769283454381
,11112,LONG,,False,,,,,ANCHOR_CONTROL,
0.46897304617493,11112,NEUTRAL,1.1204669196301316,False,0.375,-0.1946595589777398,-1.9370201648221768,0.4906643842309572,ANCHOR_CONTROL,-3.761252852382595
,11113,LONG,,False,,,,,ANCHOR_CONTROL,
0.3979750494103161,11113,NEUTRAL,1.192777632378847,False,0.5,-0.009498627932012782,-1.9103309869641123,0.5104522634559396,ANCHOR_CONTROL,-3.91777188644257
,11114,LONG,,False,,,,,ANCHOR_CONTROL,
0.5301031869899694,11114,NEUTRAL,1.3347868259108606,False,0.375,-0.17312459793064133,-3.291708367299858,0.2883612537827286,ANCHOR_CONTROL,-5.16049501609055
,11115,LONG,,False,,,,,ANCHOR_CONTROL,
0.44306937567195054,11115,NEUTRAL,1.0002715028145954,False,0.5,-0.007244037574986095,-0.9496022747826676,0.7599692412465608,ANCHOR_CONTROL,-5.034659194009537
,11121,LONG,,False,,,,,ANCHOR_CONTROL,
0.6428961351221776,11121,NEUTRAL,2.0567310721573673,False,0.25,-2.9091912531905475,-18.147983758169513,0.0818447055387801,ANCHOR_CONTROL,-21.770267375702275
,11131,LONG,,False,,,,,ANCHOR_CONTROL,
0.6428961351221776,11131,NEUTRAL,1.972084531127611,False,0.25,-2.9091912531905475,-16.618556405800096,0.08870880114361197,ANCHOR_CONTROL,-20.102767038512
,11141,LONG,,False,,,,,ANCHOR_CONTROL,
1.0,11141,NEUTRAL,1.6131641996894368,False,0.125,-0.13907703092499835,-1.0849118987726216,0.02519509046599526,ANCHOR_CONTROL,-1.8774191825634245
,11211,LONG,,False,,,,,ANCHOR_CONTROL,
0.8484165623863799,11211,NEUTRAL,1.8849396343779647,False,0.25,-2.9091912531905475,-12.904631130776519,0.34712001323795383,ANCHOR_CONTROL,-17.956107741959674
,11311,LONG,,False,,,,,ANCHOR_CONTROL,
0.6879926959180663,11311,NEUTRAL,1.9417677333750638,False,0.25,-2.9091912531905475,-16.4323674073839,0.16864234965883013,ANCHOR_CONTROL,-20.143552696423814
,11411,LONG,,False,,,,,ANCHOR_CONTROL,
0.5017444464837489,11411,NEUTRAL,1.801340488497021,False,0.375,-0.9121048715139219,-11.519320877803858,0.22130907324883042,ANCHOR_CONTROL,-17.987970131535025
,12111,LONG,,False,,,,,ANCHOR_CONTROL,
0.8589336528823913,12111,NEUTRAL,1.4428965907855822,False,0.3333333333333333,-3.195580166688889,-5.9851256287154255,0.6142912014059746,ANCHOR_CONTROL,-8.66271641351634
,13111,LONG,,False,,,,,ANCHOR_CONTROL,
0.0,13111,NEUTRAL,4.305744498080454,False,0.0,-2.3358902818456535,-4.671780563691307,0.0,ANCHOR_CONTROL,-5.300692024870542
,14111,LONG,,False,,,,,ANCHOR_CONTROL,
,14111,NEUTRAL,,False,,,,,ANCHOR_CONTROL,
,21111,LONG,,False,,,,,ANCHOR_CONTROL,
1.0,21111,NEUTRAL,1.9798455041867407,False,0.14285714285714285,-3.7475741469559396,-14.657050920430446,0.3088370557860126,ANCHOR_CONTROL,-18.12235844607801
,22333,LONG,,False,,,,,ANCHOR_CONTROL,
1.0,22333,NEUTRAL,2.5826588798119285,False,0.2,-1.9918450937431758,-5.870595141222417,0.20740821184056932,ANCHOR_CONTROL,-6.807666137285894
,22434,LONG,,False,,,,,ANCHOR_CONTROL,
1.0,22434,NEUTRAL,1.952917261627003,False,0.2,-1.4427751250042817,-4.797131326823621,0.2926331337402602,ANCHOR_CONTROL,-6.364818270235456
,31111,LONG,,False,,,,,ANCHOR_CONTROL,
0.35767042591073295,31111,NEUTRAL,0.6915682970692645,True,0.5714285714285714,1.7152232661103277,10.800317677000955,2.3200856783335753,ANCHOR_CONTROL,5.183871406150657
,31445,LONG,,False,,,,,ANCHOR_CONTROL,
0.5088717528579033,31445,NEUTRAL,43.41666666666723,False,0.2857142857142857,-0.13505814096344113,-0.8973292625134228,0.05982136527995219,ANCHOR_CONTROL,-1.2465146224268617
,32333,LONG,,False,,,,,ANCHOR_CONTROL,
1.0,32333,NEUTRAL,2.6273303296096526,False,0.16666666666666666,-2.004801148040511,-10.463821160034021,0.05431074952791795,ANCHOR_CONTROL,-11.816108878105652
,41111,LONG,,False,,,,,ANCHOR_CONTROL,
0.7747989583285106,41111,NEUTRAL,1.4333302719848908,False,0.2857142857142857,-3.6935616856616664,-8.9504154078725,0.5668673472619498,ANCHOR_CONTROL,-13.484960436075662
,42335,LONG,,False,,,,,ANCHOR_CONTROL,
0.0,42335,NEUTRAL,2.1759945370090494,False,0.0,-1.4567956212686117,-7.697410500981821,0.0,ANCHOR_CONTROL,-10.549435787139856
,43445,LONG,,False,,,,,ANCHOR_CONTROL,
0.0,43445,NEUTRAL,5.676666666666809,False,0.0,-0.03791145529999942,-0.12637438504999954,0.0,ANCHOR_CONTROL,-0.18515557541900543
