fees,fill_count,funding_pnl,inventory_drag,inventory_realized_pnl,inventory_unrealized_pnl_before_exit,maker_fees,max_drawdown,max_drawdown_pct,max_inventory_utilization,max_unpaired_lot_age,max_unpaired_lots,net_pnl,official_engine_reconciliation_error,paired_cycle_count,paired_grid_pnl,pre_exit_mark_price,pre_exit_position_qty,reconciliation_error,scenario,seed,slippage_cost,stop_count,symbol,taker_fees,window_end,window_key,window_start
0.07775752889897711,8,-0.069902783055,5.700744886042905,-5.856104584142743,-5.700744886042905,0.0,5.7232255661482,0.0114464511322964,0.4381286,1456,3,-4.19786858005622,0.0,3,1.8058963160405006,1726.2188677761596,-0.09,0.15535969809985417,PRIMARY_ZERO_MAKER,3,0.15535969809985437,1,SNDKUSDT,0.07775752889897711,2026-08-17T06:00:00+00:00,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00
0.07775752889897711,10,-0.069902783055,5.700534646747895,-5.855894344847732,-5.700534646747895,0.0,5.723015326853188,0.011446030653706377,0.4381572,1454,3,-3.668980911810376,0.0,4,2.334573744991333,1726.2188677761596,-0.09,0.15535969809985417,PRIMARY_ZERO_MAKER,10,0.15535969809985437,1,SNDKUSDT,0.07775752889897711,2026-08-17T06:00:00+00:00,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00
0.07775752889897711,8,-0.069902783055,5.700744886042905,-5.856104584142743,-5.700744886042905,0.0,5.7232255661482,0.0114464511322964,0.4381572,1457,3,-4.19786858005622,0.0,3,1.8058963160405006,1726.2188677761596,-0.09,0.15535969809985417,PRIMARY_ZERO_MAKER,17,0.15535969809985437,1,SNDKUSDT,0.07775752889897711,2026-08-17T06:00:00+00:00,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00
0.07775752889897711,10,-0.069902783055,5.700534646747895,-5.855894344847732,-5.700534646747895,0.0,5.723015326853188,0.011446030653706377,0.4381572,1460,3,-3.668980911810376,0.0,4,2.334573744991333,1726.2188677761596,-0.09,0.15535969809985417,PRIMARY_ZERO_MAKER,31,0.15535969809985437,1,SNDKUSDT,0.07775752889897711,2026-08-17T06:00:00+00:00,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00
0.07775752889897711,10,-0.069902783055,5.700534646747895,-5.855894344847732,-5.700534646747895,0.0,5.723015326853188,0.011446030653706377,0.4381572,1460,3,-3.668980911810376,0.0,4,2.334573744991333,1726.2188677761596,-0.09,0.15535969809985417,PRIMARY_ZERO_MAKER,59,0.15535969809985437,1,SNDKUSDT,0.07775752889897711,2026-08-17T06:00:00+00:00,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00
0.07775752889897711,6,-0.069902783055,5.700534646747895,-5.855894344847732,-5.700534646747895,0.0,6.3168050875581745,0.012633610175116348,0.30333960000000004,1460,2,-4.801693243564532,0.0,2,1.2018614132371774,1726.2188677761596,-0.09,0.15535969809985417,PRIMARY_ZERO_MAKER,97,0.15535969809985437,1,SNDKUSDT,0.07775752889897711,2026-08-17T06:00:00+00:00,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00
0.116811073008828,6,-0.069902783055,5.700744886042905,-6.08914413129254,-5.700744886042905,0.0,6.589108418112833,0.013178216836225666,0.30333960000000004,1455,2,-5.063751432020852,0.0,2,1.2121065553355153,1726.2188677761596,-0.09,0.3883992452496363,EXECUTION_STRESS,3,0.3883992452496359,1,SNDKUSDT,0.116811073008828,2026-08-17T06:00:00+00:00,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00
0.116811073008828,6,-0.069902783055,5.700898099854367,-6.089297345104001,-5.700898099854367,0.0,5.995318657407847,0.011990637314815695,0.4381572,3069,3,-5.143298869413673,0.0,2,1.1327123317541554,1726.2188677761596,-0.09,0.3883992452496363,EXECUTION_STRESS,10,0.3883992452496359,1,SNDKUSDT,0.116811073008828,2026-08-17T06:00:00+00:00,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00
0.116811073008828,8,-0.069902783055,5.700744886042905,-6.08914413129254,-5.700744886042905,0.0,5.995318657407848,0.011990637314815696,0.4381286,1457,3,-4.469961671315867,0.0,3,1.8058963160405006,1726.2188677761596,-0.09,0.3883992452496363,EXECUTION_STRESS,17,0.3883992452496359,1,SNDKUSDT,0.116811073008828,2026-08-17T06:00:00+00:00,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00
0.116811073008828,8,-0.069902783055,5.700687860559356,-6.089087105808989,-5.700687860559356,0.0,5.995108418112836,0.011990216836225672,0.4381286,3081,3,-4.6144112011678295,0.0,3,1.6613897607049877,1726.2188677761596,-0.09,0.3883992452496363,EXECUTION_STRESS,31,0.3883992452496359,1,SNDKUSDT,0.116811073008828,2026-08-17T06:00:00+00:00,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00
