cycle_id,direction,entry_price,entry_time,exit_price,exit_time,fees,funding_allocated,gross_spread_capture,holding_minutes,net_cycle_pnl,scenario,seed,slippage,symbol,window_key
PRIMARY_ZERO_MAKER-59-1,SHORT,1657.0,2026-08-14T23:00:00+00:00,1643.536320314273,2026-08-15T02:13:00+00:00,0.0,-0.01747569576375,0.6731839842863452,193,0.6168683639976317,PRIMARY_ZERO_MAKER,59,0.03883992452496359,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
PRIMARY_ZERO_MAKER-59-2,LONG,1643.53,2026-08-15T02:14:00+00:00,1657.0030642762292,2026-08-16T02:04:00+00:00,0.0,-0.01747569576375,0.5389225710491701,1430,0.4826069507604565,PRIMARY_ZERO_MAKER,59,0.03883992452496359,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
PRIMARY_ZERO_MAKER-59-3,SHORT,1670.22,2026-08-16T03:33:00+00:00,1657.0030642762292,2026-08-16T12:27:00+00:00,0.0,-0.01747569576375,0.5286774289508321,534,0.4723618086621186,PRIMARY_ZERO_MAKER,59,0.03883992452496359,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
PRIMARY_ZERO_MAKER-59-4,SHORT,1685.07,2026-08-17T00:06:00+00:00,1670.2252559823753,2026-08-17T00:14:00+00:00,0.0,-0.01747569576375,0.5937897607049853,8,0.5374741404162718,PRIMARY_ZERO_MAKER,59,0.03883992452496359,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
PRIMARY_ZERO_MAKER-97-1,SHORT,1657.0,2026-08-14T23:00:00+00:00,1643.536320314273,2026-08-15T02:13:00+00:00,0.0,-0.0349513915275,0.6731839842863452,193,0.5605527437089179,PRIMARY_ZERO_MAKER,97,0.07767984904992718,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
PRIMARY_ZERO_MAKER-97-2,SHORT,1670.22,2026-08-16T03:33:00+00:00,1657.0030642762292,2026-08-16T10:10:00+00:00,0.0,-0.0349513915275,0.5286774289508321,397,0.41604618837340496,PRIMARY_ZERO_MAKER,97,0.07767984904992718,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
EXECUTION_STRESS-3-1,SHORT,1657.0,2026-08-14T23:00:00+00:00,1643.536320314273,2026-08-15T02:13:00+00:00,0.0,-0.0349513915275,0.6731839842863452,193,0.4440329701340272,EXECUTION_STRESS,3,0.19419962262481796,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
EXECUTION_STRESS-3-2,LONG,1643.53,2026-08-15T02:14:00+00:00,1657.0030642762292,2026-08-16T02:08:00+00:00,0.0,-0.0349513915275,0.5389225710491701,1434,0.3097715568968521,EXECUTION_STRESS,3,0.19419962262481796,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
EXECUTION_STRESS-10-1,LONG,1643.53,2026-08-15T02:15:00+00:00,1657.0030642762292,2026-08-16T02:04:00+00:00,0.0,-0.0349513915275,0.5389225710491701,1429,0.3097715568968521,EXECUTION_STRESS,10,0.19419962262481796,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
EXECUTION_STRESS-10-2,SHORT,1685.07,2026-08-17T00:06:00+00:00,1670.2252559823753,2026-08-17T00:14:00+00:00,0.0,-0.0349513915275,0.5937897607049853,8,0.36463874655266737,EXECUTION_STRESS,10,0.19419962262481796,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
