MAE_after_exit,MFE_after_exit,classification,entry_average_price,event_time,event_type,exit_price,observation,position_direction,position_notional,price_after_exit,realized_loss,return_after_exit,returned_to_entry_price,returned_to_grid_range,scenario,seed,symbol,window_key
-1.3856026548960039,2.4141973451039984,TRUE_BREAKOUT,1662.8772579312385,2026-08-17T02:21:00+00:00,stop_loss_upper,1730.5344149456,window_end,SHORT,155.35969809985437,1743.8,-6.08914413129254,0.0076656002561017456,False,False,EXECUTION_STRESS,3,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.15789734510400422,2.4141973451039984,TRUE_BREAKOUT,1662.8755555555556,2026-08-17T02:21:00+00:00,stop_loss_upper,1730.5344149456,+30 min,SHORT,155.35969809985437,1727.82,-6.089297345104001,-0.0015685414413936227,False,False,EXECUTION_STRESS,10,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.15789734510400422,2.4141973451039984,TRUE_BREAKOUT,1662.8755555555556,2026-08-17T02:21:00+00:00,stop_loss_upper,1730.5344149456,+60 min,SHORT,155.35969809985437,1728.52,-6.089297345104001,-0.0011640421179739402,False,False,EXECUTION_STRESS,10,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
-0.00860265489600806,2.4141973451039984,TRUE_BREAKOUT,1662.8755555555556,2026-08-17T02:21:00+00:00,stop_loss_upper,1730.5344149456,+120 min,SHORT,155.35969809985437,1724.06,-6.089297345104001,-0.003741280664333768,False,False,EXECUTION_STRESS,10,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
-1.3856026548960039,2.4141973451039984,UNRESOLVED,1662.8755555555556,2026-08-17T02:21:00+00:00,stop_loss_upper,1730.5344149456,+240 min,SHORT,155.35969809985437,,-6.089297345104001,,False,False,EXECUTION_STRESS,10,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
-1.3856026548960039,2.4141973451039984,TRUE_BREAKOUT,1662.8755555555556,2026-08-17T02:21:00+00:00,stop_loss_upper,1730.5344149456,window_end,SHORT,155.35969809985437,1743.8,-6.089297345104001,0.0076656002561017456,False,False,EXECUTION_STRESS,10,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.15789734510400422,2.4141973451039984,TRUE_BREAKOUT,1662.8772579312385,2026-08-17T02:21:00+00:00,stop_loss_upper,1730.5344149456,+30 min,SHORT,155.35969809985437,1727.82,-6.08914413129254,-0.0015685414413936227,False,False,EXECUTION_STRESS,17,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.15789734510400422,2.4141973451039984,TRUE_BREAKOUT,1662.8772579312385,2026-08-17T02:21:00+00:00,stop_loss_upper,1730.5344149456,+60 min,SHORT,155.35969809985437,1728.52,-6.08914413129254,-0.0011640421179739402,False,False,EXECUTION_STRESS,17,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
-0.00860265489600806,2.4141973451039984,TRUE_BREAKOUT,1662.8772579312385,2026-08-17T02:21:00+00:00,stop_loss_upper,1730.5344149456,+120 min,SHORT,155.35969809985437,1724.06,-6.08914413129254,-0.003741280664333768,False,False,EXECUTION_STRESS,17,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
-1.3856026548960039,2.4141973451039984,UNRESOLVED,1662.8772579312385,2026-08-17T02:21:00+00:00,stop_loss_upper,1730.5344149456,+240 min,SHORT,155.35969809985437,,-6.08914413129254,,False,False,EXECUTION_STRESS,17,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
-1.3856026548960039,2.4141973451039984,TRUE_BREAKOUT,1662.8772579312385,2026-08-17T02:21:00+00:00,stop_loss_upper,1730.5344149456,window_end,SHORT,155.35969809985437,1743.8,-6.08914413129254,0.0076656002561017456,False,False,EXECUTION_STRESS,17,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.15789734510400422,2.4141973451039984,TRUE_BREAKOUT,1662.8778915477224,2026-08-17T02:21:00+00:00,stop_loss_upper,1730.5344149456,+30 min,SHORT,155.35969809985437,1727.82,-6.089087105808989,-0.0015685414413936227,False,False,EXECUTION_STRESS,31,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.15789734510400422,2.4141973451039984,TRUE_BREAKOUT,1662.8778915477224,2026-08-17T02:21:00+00:00,stop_loss_upper,1730.5344149456,+60 min,SHORT,155.35969809985437,1728.52,-6.089087105808989,-0.0011640421179739402,False,False,EXECUTION_STRESS,31,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
-0.00860265489600806,2.4141973451039984,TRUE_BREAKOUT,1662.8778915477224,2026-08-17T02:21:00+00:00,stop_loss_upper,1730.5344149456,+120 min,SHORT,155.35969809985437,1724.06,-6.089087105808989,-0.003741280664333768,False,False,EXECUTION_STRESS,31,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
-1.3856026548960039,2.4141973451039984,UNRESOLVED,1662.8778915477224,2026-08-17T02:21:00+00:00,stop_loss_upper,1730.5344149456,+240 min,SHORT,155.35969809985437,,-6.089087105808989,,False,False,EXECUTION_STRESS,31,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
-1.3856026548960039,2.4141973451039984,TRUE_BREAKOUT,1662.8778915477224,2026-08-17T02:21:00+00:00,stop_loss_upper,1730.5344149456,window_end,SHORT,155.35969809985437,1743.8,-6.089087105808989,0.0076656002561017456,False,False,EXECUTION_STRESS,31,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.15789734510400422,2.4141973451039984,TRUE_BREAKOUT,1662.8795939234053,2026-08-17T02:21:00+00:00,stop_loss_upper,1730.5344149456,+30 min,SHORT,155.35969809985437,1727.82,-6.088933891997529,-0.0015685414413936227,False,False,EXECUTION_STRESS,59,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.15789734510400422,2.4141973451039984,TRUE_BREAKOUT,1662.8795939234053,2026-08-17T02:21:00+00:00,stop_loss_upper,1730.5344149456,+60 min,SHORT,155.35969809985437,1728.52,-6.088933891997529,-0.0011640421179739402,False,False,EXECUTION_STRESS,59,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
