drawdown,drawdown_pct,equity,realized_pnl,running_peak,scenario,seed,symbol,timestamp,unrealized_pnl,window_key
0.01150000000000091,2.300000000000182e-05,-0.01150000000000091,0.0,0.0,PRIMARY_ZERO_MAKER,3,SNDKUSDT,2026-08-14T23:00:00+00:00,-0.01150000000000091,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.0,0.0,0.01349999999999909,0.0,0.01349999999999909,PRIMARY_ZERO_MAKER,3,SNDKUSDT,2026-08-14T23:01:00+00:00,0.01349999999999909,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.0,0.0,0.03550000000000182,0.0,0.03550000000000182,PRIMARY_ZERO_MAKER,3,SNDKUSDT,2026-08-14T23:02:00+00:00,0.03550000000000182,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.0,0.0,0.07949999999999591,0.0,0.07949999999999591,PRIMARY_ZERO_MAKER,3,SNDKUSDT,2026-08-14T23:03:00+00:00,0.07949999999999591,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.0,0.0,0.08650000000000091,0.0,0.08650000000000091,PRIMARY_ZERO_MAKER,3,SNDKUSDT,2026-08-14T23:04:00+00:00,0.08650000000000091,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.0,0.0,0.09049999999999728,0.0,0.09049999999999728,PRIMARY_ZERO_MAKER,3,SNDKUSDT,2026-08-14T23:05:00+00:00,0.09049999999999728,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.0,0.0,0.1330000000000041,0.0,0.1330000000000041,PRIMARY_ZERO_MAKER,3,SNDKUSDT,2026-08-14T23:06:00+00:00,0.1330000000000041,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.0,0.0,0.14099999999999682,0.0,0.14099999999999682,PRIMARY_ZERO_MAKER,3,SNDKUSDT,2026-08-14T23:07:00+00:00,0.14099999999999682,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.04549999999999273,9.099999999998545e-05,0.0955000000000041,0.0,0.14099999999999682,PRIMARY_ZERO_MAKER,3,SNDKUSDT,2026-08-14T23:08:00+00:00,0.0955000000000041,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.04649999999999181,9.299999999998363e-05,0.09450000000000501,0.0,0.14099999999999682,PRIMARY_ZERO_MAKER,3,SNDKUSDT,2026-08-14T23:09:00+00:00,0.09450000000000501,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.12199999999999137,0.00024399999999998273,0.019000000000005457,0.0,0.14099999999999682,PRIMARY_ZERO_MAKER,3,SNDKUSDT,2026-08-14T23:10:00+00:00,0.019000000000005457,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.17149999999999183,0.00034299999999998367,-0.030499999999995,0.0,0.14099999999999682,PRIMARY_ZERO_MAKER,3,SNDKUSDT,2026-08-14T23:11:00+00:00,-0.030499999999995,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.21949999999999364,0.0004389999999999873,-0.07849999999999682,0.0,0.14099999999999682,PRIMARY_ZERO_MAKER,3,SNDKUSDT,2026-08-14T23:12:00+00:00,-0.07849999999999682,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
0.28899999999999865,0.0005779999999999972,-0.14800000000000182,0.0,0.14099999999999682,PRIMARY_ZERO_MAKER,3,SNDKUSDT,2026-08-14T23:13:00+00:00,-0.14800000000000182,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
