fold,candidate_id,seed,test_start,test_end,total_pnl,max_drawdown_pct,profit_factor,positive_window_ratio
7,P9_SEVERE_EVENT_FREEZE,17,nyse_20250307T210000Z,nyse_20250328T200000Z,0.49410077336764,0.0031099582537097202,1.1985962242331751,0.5
7,P9_SEVERE_EVENT_FREEZE,31,nyse_20250307T210000Z,nyse_20250328T200000Z,1.0087515079196927,0.0031099356807930533,1.4054551329428357,0.5
7,P9_SEVERE_EVENT_FREEZE,59,nyse_20250307T210000Z,nyse_20250328T200000Z,1.3607121397106317,0.0028326914731159757,1.6004502046131064,0.75
7,P9_SEVERE_EVENT_FREEZE,97,nyse_20250307T210000Z,nyse_20250328T200000Z,0.7143929916197189,0.002832734889076913,1.3152399622598083,0.75
8,P9_SEVERE_EVENT_FREEZE,3,nyse_20250404T200000Z,nyse_20250425T200000Z,-3.9695877111843476,0.0052148898079788075,0.06391089154770703,0.0
8,P9_SEVERE_EVENT_FREEZE,10,nyse_20250404T200000Z,nyse_20250425T200000Z,-3.9706899161072644,0.005215116554783494,0.06366043832855288,0.0
8,P9_SEVERE_EVENT_FREEZE,17,nyse_20250404T200000Z,nyse_20250425T200000Z,-3.786500234484351,0.0052159986789006825,0.09257544250318211,0.0
8,P9_SEVERE_EVENT_FREEZE,31,nyse_20250404T200000Z,nyse_20250425T200000Z,-4.135161958034892,0.00531296524155758,0.027105916840469497,0.0
8,P9_SEVERE_EVENT_FREEZE,59,nyse_20250404T200000Z,nyse_20250425T200000Z,-4.135333795649475,0.005313081463653934,0.027086770657778772,0.0
8,P9_SEVERE_EVENT_FREEZE,97,nyse_20250404T200000Z,nyse_20250425T200000Z,-3.970473279180181,0.005216012464562141,0.06387848988402514,0.0
9,P9_SEVERE_EVENT_FREEZE,3,nyse_20250502T200000Z,nyse_20250523T200000Z,3.2640025509392765,0.0043016025182434645,1.948484470931578,0.75
9,P9_SEVERE_EVENT_FREEZE,10,nyse_20250502T200000Z,nyse_20250523T200000Z,2.2041395786087725,0.004301552605378881,1.6405069810876556,0.75
9,P9_SEVERE_EVENT_FREEZE,17,nyse_20250502T200000Z,nyse_20250523T200000Z,3.1813280314214865,0.003712662931302568,2.071107211416488,0.75
9,P9_SEVERE_EVENT_FREEZE,31,nyse_20250502T200000Z,nyse_20250523T200000Z,3.994385159912405,0.004223037661610389,2.182319896239455,0.75
9,P9_SEVERE_EVENT_FREEZE,59,nyse_20250502T200000Z,nyse_20250523T200000Z,3.311384690874324,0.0037126742601567343,2.114892008710229,0.75
9,P9_SEVERE_EVENT_FREEZE,97,nyse_20250502T200000Z,nyse_20250523T200000Z,2.34994345330022,0.004413493353172905,1.6655565289372256,0.75
10,P9_SEVERE_EVENT_FREEZE,3,nyse_20250530T200000Z,nyse_20250618T200000Z,0.17928925602725032,0.00127401546249718,1.1759096154098356,0.5
10,P9_SEVERE_EVENT_FREEZE,10,nyse_20250530T200000Z,nyse_20250618T200000Z,1.0839216921053358,0.00015595149818827393,9.687971137641469,0.75
10,P9_SEVERE_EVENT_FREEZE,17,nyse_20250530T200000Z,nyse_20250618T200000Z,1.0839519617011693,0.0001559158649382739,9.690199375559846,0.75
10,P9_SEVERE_EVENT_FREEZE,31,nyse_20250530T200000Z,nyse_20250618T200000Z,1.0838550761428358,0.00015591572733671144,9.689430298796697,0.75
10,P9_SEVERE_EVENT_FREEZE,59,nyse_20250530T200000Z,nyse_20250618T200000Z,1.0841621628303357,0.00015591572733671144,9.691892259279657,0.75
10,P9_SEVERE_EVENT_FREEZE,97,nyse_20250530T200000Z,nyse_20250618T200000Z,1.1631604459691283,0.00015591572733671144,10.325233459749048,0.75
11,P9_SEVERE_EVENT_FREEZE,3,nyse_20250620T200000Z,nyse_20250711T200000Z,0.5941909093769935,0.005026973567612146,1.1477506548883742,0.25
