code,market_group,profile,reason,scenario,split,symbol,window_end,window_key,window_start
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_HARD,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-05-04T05:59:00+00:00,US_STOCK:2026-05-01T20:00:00+00:00:2026-05-04T08:00:00+00:00,2026-05-01T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_HARD,PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-05-04T05:59:00+00:00,US_STOCK:2026-05-01T20:00:00+00:00:2026-05-04T08:00:00+00:00,2026-05-01T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_HARD,EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-05-04T05:59:00+00:00,US_STOCK:2026-05-01T20:00:00+00:00:2026-05-04T08:00:00+00:00,2026-05-01T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_HARD,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-05-04T05:59:00+00:00,US_STOCK:2026-05-01T20:00:00+00:00:2026-05-04T08:00:00+00:00,2026-05-01T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_SCORE,PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-05-11T05:59:00+00:00,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00,2026-05-08T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_SCORE,EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-05-11T05:59:00+00:00,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00,2026-05-08T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N20,BLOCKED_SCORE,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-05-11T05:59:00+00:00,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00,2026-05-08T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_SCORE,PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-05-11T05:59:00+00:00,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00,2026-05-08T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_SCORE,EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-05-11T05:59:00+00:00,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00,2026-05-08T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_SCORE,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-05-11T05:59:00+00:00,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00,2026-05-08T20:00:00+00:00
ADMISSION_BLOCKED,US_STOCK,N100,没有网格候选具备正的手续费后净边际。,PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-05-18T05:59:00+00:00,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,2026-05-15T20:00:00+00:00
ADMISSION_BLOCKED,US_STOCK,N100,没有网格候选具备正的手续费后净边际。,EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-05-18T05:59:00+00:00,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,2026-05-15T20:00:00+00:00
ADMISSION_BLOCKED,US_STOCK,N100,没有网格候选具备正的手续费后净边际。,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-05-18T05:59:00+00:00,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,2026-05-15T20:00:00+00:00
VIABILITY_BLOCKED,US_STOCK,N20,Grid Viability Gate 未通过：预计穿越频率不足 (0.0000 < 1.0000/h)；预计费后循环容量不足 (0.000000 < 0.000250/h),PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-05-26T05:59:00+00:00,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00,2026-05-22T20:00:00+00:00
VIABILITY_BLOCKED,US_STOCK,N20,Grid Viability Gate 未通过：预计穿越频率不足 (0.0000 < 1.0000/h)；预计费后循环容量不足 (0.000000 < 0.000250/h),EXECUTION_STRESS,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-05-26T05:59:00+00:00,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00,2026-05-22T20:00:00+00:00
VIABILITY_BLOCKED,US_STOCK,N20,Grid Viability Gate 未通过：预计穿越频率不足 (0.0000 < 1.0000/h)；预计费后循环容量不足 (0.000000 < 0.000250/h),MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-05-26T05:59:00+00:00,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00,2026-05-22T20:00:00+00:00
REGIME_BLOCKED,US_STOCK,N100,BLOCKED_SCORE,MAKER_PROMO_OFF,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-05-26T05:59:00+00:00,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00,2026-05-22T20:00:00+00:00
VIABILITY_BLOCKED,US_STOCK,N100,Grid Viability Gate 未通过：预计穿越频率不足 (0.6316 < 1.0000/h),PRIMARY_ZERO_MAKER,RESEARCH_VALIDATION_EXPOSED,SNDKUSDT,2026-06-01T05:59:00+00:00,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00,2026-05-29T20:00:00+00:00
