best_window_concentration,cvar_95,engine_mode,fees_paid,funding_paid,gross_grid_pnl,max_drawdown,max_drawdown_pct,mean_inventory_drag_ratio,mean_window_pnl,median_window_pnl,positive_ratio,profile,profit_factor,runs,scenario,top_3_window_concentration,total_cost,total_pnl,unique_windows,worst_window_pnl,year_month
1.0,-2.2166838315711703,R0_STATIC_REPAIRED,0.09105938834894393,0.013411325846505617,-2.150500414335721,3.118743936786011,0.006237487873572022,2.925601577042366,-2.2166838315711703,-2.2166838315711703,0.0,N100,0.0,6,EXECUTION_STRESS,1.0,0.10447071419544955,-2.2166838315711703,1,-2.2166838315711703,2026-05
1.0,-1.843197039011953,R0_STATIC_REPAIRED,0.060615426591715954,0.0142002273668883,-1.8066686820133488,2.900920220385621,0.005801840440771242,2.5048084534825192,-1.843197039011953,-1.843197039011953,0.0,N100,0.0,6,PRIMARY_ZERO_MAKER,1.0,0.07481565395860426,-1.843197039011953,1,-1.843197039011953,2026-05
1.0,-9.166684617429766,R0_STATIC_REPAIRED,0.6406276024186226,0.016799685227999996,-12.361819384504104,11.160582817685599,0.012893643253316501,3.766138066871323,-3.642994101067068,-1.2032265786456553,0.0,N20,0.0,24,EXECUTION_STRESS,1.0,0.6574272876466226,-10.928982303201204,3,-9.166684617429766,2026-05
1.0,-8.738415537247613,R0_STATIC_REPAIRED,1.0417455044156492,0.016799685227999996,-11.10473177493163,10.621894361757963,0.012259242346286389,3.4503202045322836,-3.280455480127115,-0.6111822073099492,0.0,N20,0.0,24,MAKER_PROMO_OFF,1.0,1.058545189643649,-9.841366440381345,3,-8.738415537247613,2026-05
1.0,-8.283600107224395,R0_STATIC_REPAIRED,0.4448896770225126,0.016799685227999996,-10.660056961014948,10.34478283460896,0.011929953221283096,3.4503202045322836,-2.933278599690509,-0.27897285179761366,0.0,N20,0.0,24,PRIMARY_ZERO_MAKER,1.0,0.46168936225051255,-8.799835799071527,3,-8.283600107224395,2026-05
1.0,-3.0840081932993715,R0_STATIC_REPAIRED,0.2580935767569249,0.0883892916387579,-6.8878712370834085,3.727585018719437,0.007863782859782606,9.893047750222218,-2.396850051056616,-3.0267388032271207,0.0,N100,0.0,18,EXECUTION_STRESS,1.0,0.3464828683956828,-7.190550153169848,3,-3.0840081932993715,2026-06
1.0,-2.828583524679354,R0_STATIC_REPAIRED,0.17232112493244306,0.0883892916387579,-5.554029464289379,3.3894856724437177,0.00709669111331528,7.143089479007739,-1.9236453095171122,-2.4676098543648783,0.0,N100,0.0,18,PRIMARY_ZERO_MAKER,1.0,0.260710416571201,-5.770935928551337,3,-2.828583524679354,2026-06
1.0,-9.652840988419442,R0_STATIC_REPAIRED,0.8929528413301453,0.3949968826546711,-9.5396146004949,13.69292160027308,0.014861228592178016,60.82368956395456,-2.678464895255494,-1.1039508236331568,0.25,N20,0.09669572048660088,36,EXECUTION_STRESS,1.0,1.2879497239848163,-10.713859581021977,4,-9.652840988419442,2026-06
1.0,-8.865470135563655,R0_STATIC_REPAIRED,1.970041183544776,0.3949968826546711,-5.950430300300711,12.353705794009704,0.01318987312868715,60.73317064878096,-2.0504409057606043,-0.463405217096345,0.25,N20,0.16242558976774732,36,MAKER_PROMO_OFF,1.0,2.365038066199447,-8.201763623042417,4,-8.865470135563655,2026-06
0.7383031472874321,-8.441175916104996,R0_STATIC_REPAIRED,0.5956355581637056,0.3949968826546711,-5.354572299507905,12.099255999547957,0.01289519816440912,60.73317064878096,-1.5578749992171352,0.16571738430325791,0.5,N20,0.28989778626563784,36,PRIMARY_ZERO_MAKER,1.0,0.9906324408183768,-6.231499996868541,4,-8.441175916104996,2026-06
1.0,4.392227234552383,R0_STATIC_REPAIRED,0.08368039679999999,0.0,4.475907631352382,3.5535000000000085,0.007107000000000017,0.0,4.392227234552383,4.392227234552383,1.0,L20,4.392227234552383,6,EXECUTION_STRESS,1.0,0.08368039679999999,4.392227234552383,1,4.392227234552383,2026-07
1.0,8.587051155478267,R0_STATIC_REPAIRED,0.38556561394004557,0.0,8.972616769418314,3.5535000000000085,0.007107000000000017,0.0,8.587051155478267,8.587051155478267,1.0,L20,8.587051155478267,6,MAKER_PROMO_OFF,1.0,0.38556561394004557,8.587051155478267,1,8.587051155478267,2026-07
1.0,8.916829838218312,R0_STATIC_REPAIRED,0.055786931199999994,0.0,8.972616769418314,3.5535000000000085,0.007107000000000017,0.0,8.916829838218312,8.916829838218312,1.0,L20,8.916829838218312,6,PRIMARY_ZERO_MAKER,1.0,0.055786931199999994,8.916829838218312,1,8.916829838218312,2026-07
0.7321426135861946,0.9647540518540897,R0_STATIC_REPAIRED,0.2581619630611259,0.0,3.660590621888536,5.199412726451491,0.010398825452902981,0.5492282293934891,1.8008725926334321,1.8008725926334321,1.0,N20,3.6017451852668643,12,EXECUTION_STRESS,1.0,0.2581619630611259,3.6017451852668643,2,0.9647540518540897,2026-07
0.8796932747483508,0.7878275671356185,R0_STATIC_REPAIRED,1.2359280982908494,0.0,7.585103067133107,4.847465504651334,0.009694931009302667,0.45073492416643396,3.2742457476408564,3.2742457476408564,1.0,N20,6.548491495281713,12,MAKER_PROMO_OFF,1.0,1.2359280982908494,6.548491495281713,2,0.7878275671356185,2026-07
0.7897275074771083,1.6368614988372263,R0_STATIC_REPAIRED,0.17219492007525986,0.0,7.757355950342496,4.660163535603467,0.009320327071206934,0.45073492416643396,3.892238778353346,3.892238778353346,1.0,N20,7.784477556706692,12,PRIMARY_ZERO_MAKER,1.0,0.17219492007525986,7.784477556706692,2,1.6368614988372263,2026-07
1.0,-2.2166838315711703,R1_CONTROLLER_FAITHFUL,0.09105938834894393,0.013411325846505617,-2.150500414335721,2.2337150432848767,0.004467430086569754,2.925601577042366,-2.2166838315711703,-2.2166838315711703,0.0,N100,0.0,6,EXECUTION_STRESS,1.0,0.10447071419544955,-2.2166838315711703,1,-2.2166838315711703,2026-05
1.0,-1.843197039011953,R1_CONTROLLER_FAITHFUL,0.060615426591715954,0.0142002273668883,-1.8066686820133488,1.9210918770223004,0.003842183754044601,2.5048084534825192,-1.843197039011953,-1.843197039011953,0.0,N100,0.0,6,PRIMARY_ZERO_MAKER,1.0,0.07481565395860426,-1.843197039011953,1,-1.843197039011953,2026-05
1.0,-7.598056257618698,R1_CONTROLLER_FAITHFUL,0.7767351727936227,0.016799685227999996,-10.657083454318036,9.368538198815966,0.011686042239533,2.3723065825058196,-3.1201179811300452,-1.2032265786456553,0.0,N20,0.0,24,EXECUTION_STRESS,1.0,0.7935348580216226,-9.360353943390136,3,-7.598056257618698,2026-05
1.0,-6.970045726843015,R1_CONTROLLER_FAITHFUL,1.3807741107086213,0.016799685227999996,-8.99733335823406,8.971588991609346,0.01121340109230013,2.2227684960775966,-2.6909988766589152,-0.6111822073099492,0.0,N20,0.0,24,MAKER_PROMO_OFF,1.0,1.3975737959366212,-8.072996629976746,3,-6.970045726843015,2026-05
1.0,-6.176292202626787,R1_CONTROLLER_FAITHFUL,0.5354922891225126,0.016799685227999996,-8.462146444317343,8.552738215739327,0.010722352207499595,2.2227684960775966,-2.2308426314913063,-0.27897285179761366,0.0,N20,0.0,24,PRIMARY_ZERO_MAKER,1.0,0.5522919743505126,-6.692527894473919,3,-6.176292202626787,2026-05
1.0,-3.0840081932993715,R1_CONTROLLER_FAITHFUL,0.2580935767569249,0.0883892916387579,-6.8878712370834085,3.2293461282736464,0.006458692256547293,9.893047750222218,-2.396850051056616,-3.0267388032271207,0.0,N100,0.0,18,EXECUTION_STRESS,1.0,0.3464828683956828,-7.190550153169848,3,-3.0840081932993715,2026-06
1.0,-2.828583524679354,R1_CONTROLLER_FAITHFUL,0.17232112493244306,0.0883892916387579,-5.554029464289379,2.8491543375401096,0.005698308675080219,7.143089479007739,-1.9236453095171122,-2.4676098543648783,0.0,N100,0.0,18,PRIMARY_ZERO_MAKER,1.0,0.260710416571201,-5.770935928551337,3,-2.828583524679354,2026-06
1.0,-9.652840988419442,R1_CONTROLLER_FAITHFUL,1.001831056947136,0.40616764534530253,-10.039267103517922,10.452518482927736,0.011317274452013429,60.82758557345945,-2.8298179631841553,-1.4066569594904794,0.25,N20,0.09199974356029739,36,EXECUTION_STRESS,1.0,1.4079987022924385,-11.319271852736621,4,-9.652840988419442,2026-06
1.0,-8.865470135563655,R1_CONTROLLER_FAITHFUL,2.267029838659265,0.40996289722256535,-6.023513403341725,10.012360250159979,0.010842837881085449,60.724678053431305,-2.143128046537454,-0.6487794986500435,0.25,N20,0.15650028411025038,36,MAKER_PROMO_OFF,1.0,2.6769927358818304,-8.572512186149815,4,-8.865470135563655,2026-06
0.7383031472874321,-8.441175916104996,R1_CONTROLLER_FAITHFUL,0.6892639756946847,0.40996289722256535,-5.334120519900551,9.640478740869966,0.010523149528214893,60.724678053431305,-1.576338359936015,0.12879066286549856,0.5,N20,0.287478405405655,36,PRIMARY_ZERO_MAKER,1.0,1.09922687291725,-6.30535343974406,4,-8.441175916104996,2026-06
1.0,4.392227234552383,R1_CONTROLLER_FAITHFUL,0.08368039679999999,0.0,4.475907631352382,0.0,0.0,0.0,4.392227234552383,4.392227234552383,1.0,L20,4.392227234552383,6,EXECUTION_STRESS,1.0,0.08368039679999999,4.392227234552383,1,4.392227234552383,2026-07
1.0,8.587051155478267,R1_CONTROLLER_FAITHFUL,0.38556561394004557,0.0,8.972616769418314,0.0,0.0,0.0,8.587051155478267,8.587051155478267,1.0,L20,8.587051155478267,6,MAKER_PROMO_OFF,1.0,0.38556561394004557,8.587051155478267,1,8.587051155478267,2026-07
1.0,8.916829838218312,R1_CONTROLLER_FAITHFUL,0.055786931199999994,0.0,8.972616769418314,0.0,0.0,0.0,8.916829838218312,8.916829838218312,1.0,L20,8.916829838218312,6,PRIMARY_ZERO_MAKER,1.0,0.055786931199999994,8.916829838218312,1,8.916829838218312,2026-07
0.7321426135861946,0.9647540518540897,R1_CONTROLLER_FAITHFUL,0.2581619630611259,0.0,3.660590621888536,0.0,0.0,0.5492282293934891,1.8008725926334321,1.8008725926334321,1.0,N20,3.6017451852668643,12,EXECUTION_STRESS,1.0,0.2581619630611259,3.6017451852668643,2,0.9647540518540897,2026-07
0.8796932747483508,0.7878275671356185,R1_CONTROLLER_FAITHFUL,1.2359280982908494,0.0,7.585103067133107,0.0,0.0,0.45073492416643396,3.2742457476408564,3.2742457476408564,1.0,N20,6.548491495281713,12,MAKER_PROMO_OFF,1.0,1.2359280982908494,6.548491495281713,2,0.7878275671356185,2026-07
