accepted_fill_count,duration_bars,force_exit_cost,inventory_realized_pnl,paired_grid_pnl,pre_exit_inventory_notional,pre_exit_position_qty,pre_exit_unrealized_pnl,profile,scenario,seed,session_end,session_index,session_pnl,session_start,state_path,stop_exit_cost,stopped_reason,symbol,window_key
12,2985,0.0,-5.009412941885426,5.655886389521804,229.81170797141095,0.16999999999999998,-4.779601233914018,N20,PRIMARY_ZERO_MAKER,3,2026-05-18T00:44:00+00:00,1,0.5148828142766583,2026-05-15T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.11479094813171978,stop_loss,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
10,2985,0.0,-5.009412941885426,4.527667908032537,229.81170797141095,0.16999999999999998,-4.779601233914018,N20,PRIMARY_ZERO_MAKER,10,2026-05-18T00:44:00+00:00,1,-0.6133356672126083,2026-05-15T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.11479094813171978,stop_loss,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
12,2985,0.0,-5.009412941885426,5.655886389521804,229.81170797141095,0.16999999999999998,-4.779601233914018,N20,PRIMARY_ZERO_MAKER,17,2026-05-18T00:44:00+00:00,1,0.5148828142766583,2026-05-15T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.11479094813171978,stop_loss,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
8,2985,0.0,-5.009412941885426,3.3994494265432715,229.81170797141095,0.16999999999999998,-4.779601233914018,N20,PRIMARY_ZERO_MAKER,31,2026-05-18T00:44:00+00:00,1,-1.741554148701874,2026-05-15T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.11479094813171978,stop_loss,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
10,2985,0.0,-5.009412941885426,4.527667908032538,229.81170797141095,0.16999999999999998,-4.779601233914018,N20,PRIMARY_ZERO_MAKER,59,2026-05-18T00:44:00+00:00,1,-0.6133356672126075,2026-05-15T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.11479094813171978,stop_loss,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
12,2985,0.0,-5.009412941885426,5.655886389521804,229.81170797141095,0.16999999999999998,-4.779601233914018,N20,PRIMARY_ZERO_MAKER,97,2026-05-18T00:44:00+00:00,1,0.5148828142766583,2026-05-15T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.11479094813171978,stop_loss,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
10,2985,0.0,-5.354130503842537,4.527667908032538,229.81170797141095,0.16999999999999998,-4.779601233914018,N20,EXECUTION_STRESS,3,2026-05-18T00:44:00+00:00,1,-1.0151901650641106,2026-05-15T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.17192788402611184,stop_loss,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
10,2985,0.0,-5.354130503842537,4.527667908032537,229.81170797141095,0.16999999999999998,-4.779601233914018,N20,EXECUTION_STRESS,10,2026-05-18T00:44:00+00:00,1,-1.0151901650641115,2026-05-15T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.17192788402611184,stop_loss,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
10,2985,0.0,-5.354130503842537,4.527667908032538,229.81170797141095,0.16999999999999998,-4.779601233914018,N20,EXECUTION_STRESS,17,2026-05-18T00:44:00+00:00,1,-1.0151901650641106,2026-05-15T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.17192788402611184,stop_loss,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
8,2985,0.0,-5.354130503842537,3.3994494265432715,229.81170797141095,0.16999999999999998,-4.779601233914018,N20,EXECUTION_STRESS,31,2026-05-18T00:44:00+00:00,1,-2.1434086465533775,2026-05-15T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.17192788402611184,stop_loss,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
