best_window_concentration,cvar_95,engine_mode,fees_paid,funding_paid,gross_grid_pnl,market_group,max_drawdown,max_drawdown_pct,mean_inventory_drag_ratio,mean_window_pnl,median_window_pnl,positive_ratio,profile,profit_factor,runs,scenario,top_3_window_concentration,total_cost,total_pnl,unique_windows,worst_window_pnl
1.0,4.392227234552383,R0_STATIC_REPAIRED,0.08368039679999999,0.0,4.475907631352382,KR_STOCK,3.5535000000000085,0.007107000000000017,0.0,4.392227234552383,4.392227234552383,1.0,L20,4.392227234552383,6,EXECUTION_STRESS,1.0,0.08368039679999999,4.392227234552383,1,4.392227234552383
1.0,8.587051155478267,R0_STATIC_REPAIRED,0.38556561394004557,0.0,8.972616769418314,KR_STOCK,3.5535000000000085,0.007107000000000017,0.0,8.587051155478267,8.587051155478267,1.0,L20,8.587051155478267,6,MAKER_PROMO_OFF,1.0,0.38556561394004557,8.587051155478267,1,8.587051155478267
1.0,8.916829838218312,R0_STATIC_REPAIRED,0.055786931199999994,0.0,8.972616769418314,KR_STOCK,3.5535000000000085,0.007107000000000017,0.0,8.916829838218312,8.916829838218312,1.0,L20,8.916829838218312,6,PRIMARY_ZERO_MAKER,1.0,0.055786931199999994,8.916829838218312,1,8.916829838218312
1.0,2.6369911334127747,R0_STATIC_REPAIRED,0.08593160509860102,0.0,2.6605449894763757,KR_STOCK,3.171705069899951,0.0063434101397999015,0.37875802759220445,2.6369911334127747,2.6369911334127747,1.0,N20,2.6369911334127747,6,EXECUTION_STRESS,1.0,0.08593160509860102,2.6369911334127747,1,2.6369911334127747
1.0,5.760663928146094,R0_STATIC_REPAIRED,0.3870092745979003,0.0,6.085295453708994,KR_STOCK,3.0287143075671485,0.006057428615134297,0.2178444427306173,5.760663928146094,5.760663928146094,1.0,N20,5.760663928146094,6,MAKER_PROMO_OFF,1.0,0.3870092745979003,5.760663928146094,1,5.760663928146094
1.0,6.147616057869466,R0_STATIC_REPAIRED,0.05720201942058164,0.0,6.142440328255046,KR_STOCK,2.971540860583824,0.0059430817211676475,0.2178444427306173,6.147616057869466,6.147616057869466,1.0,N20,6.147616057869466,6,PRIMARY_ZERO_MAKER,1.0,0.05720201942058164,6.147616057869466,1,6.147616057869466
1.0,-1.0798031566433557,R0_STATIC_REPAIRED,0.05902642025460594,0.0,-1.0207767363887497,US_LEVERAGED_ETF,1.9659457149456514,0.007863782859782606,1.9632653482227316,-1.0798031566433557,-1.0798031566433557,0.0,N100,0.0,6,EXECUTION_STRESS,1.0,0.05902642025460594,-1.0798031566433557,1,-1.0798031566433557
1.0,-0.47474254950710426,R0_STATIC_REPAIRED,0.03941012119254892,0.0,-0.4353324283145554,US_LEVERAGED_ETF,1.7741727783288201,0.00709669111331528,1.2702404970778716,-0.47474254950710426,-0.47474254950710426,0.0,N100,0.0,6,PRIMARY_ZERO_MAKER,1.0,0.03941012119254892,-0.47474254950710426,1,-0.47474254950710426
1.0,-0.5436475200260015,R0_STATIC_REPAIRED,0.18341763136404285,0.0,0.7866531660018208,US_LEVERAGED_ETF,3.5292324123377874,0.01411692964935115,0.8586611199846277,0.30161776731888906,0.30161776731888906,0.5,N20,2.10960781097452,12,EXECUTION_STRESS,1.0,0.18341763136404285,0.6032355346377781,2,-0.5436475200260015
1.0,-0.5121507854752171,R0_STATIC_REPAIRED,0.46555625645662646,0.0,1.5439224176953363,US_LEVERAGED_ETF,3.2974682821717876,0.01318987312868715,0.8168758346671066,0.5391830806193549,0.5391830806193549,0.5,N20,3.105563814059389,12,MAKER_PROMO_OFF,1.0,0.46555625645662646,1.0783661612387099,2,-0.5121507854752171
1.0,-0.3343212959057322,R0_STATIC_REPAIRED,0.12227457645261411,0.0,1.666194431176821,US_LEVERAGED_ETF,3.22379954110228,0.01289519816440912,0.8168758346671066,0.7719599273621034,0.7719599273621034,0.5,N20,5.6180721169480705,12,PRIMARY_ZERO_MAKER,1.0,0.12227457645261411,1.5439198547242068,2,-0.3343212959057322
1.0,-3.0840081932993715,R0_STATIC_REPAIRED,0.29012654485126294,0.10180061748526352,-8.01759491503038,US_STOCK,3.727585018719437,0.007455170037438874,10.213826493162097,-2.7758102760325545,-3.0267388032271207,0.0,N100,0.0,18,EXECUTION_STRESS,1.0,0.39192716233652647,-8.327430828097663,3,-3.0840081932993715
1.0,-2.828583524679354,R0_STATIC_REPAIRED,0.1935264303316101,0.1025895190056462,-6.925365717988173,US_STOCK,3.3894856724437177,0.006778971344887435,7.554612131142623,-2.3797968060187285,-2.4676098543648783,0.0,N100,0.0,18,PRIMARY_ZERO_MAKER,1.0,0.2961159493372563,-7.139390418056185,3,-2.828583524679354
1.0,-9.652840988419442,R0_STATIC_REPAIRED,1.52239317034725,0.4117965678826711,-21.688041518588665,US_STOCK,13.69292160027308,0.014861228592178016,42.26592477460962,-3.546887227834478,-1.4337403529429837,0.16666666666666666,N20,0.043367378153424,54,EXECUTION_STRESS,1.0,1.934189738229921,-21.281323367006866,6,-9.652840988419442
1.0,-8.865470135563655,R0_STATIC_REPAIRED,3.3951492551967477,0.4117965678826711,-17.099276879503563,US_STOCK,12.353705794009704,0.012749964190579246,42.05558615749812,-3.0556114429211423,-0.5514754515668658,0.16666666666666666,N20,0.04120114649393892,54,MAKER_PROMO_OFF,1.0,3.8069458230794186,-18.333668657526854,6,-8.865470135563655
0.7108698921136456,-8.441175916104996,R0_STATIC_REPAIRED,1.0332435593882823,0.4117965678826711,-16.065908069612224,US_STOCK,12.099255999547957,0.012468022314526308,42.05558615749812,-2.4897323586378417,-0.2581178459235664,0.3333333333333333,N20,0.13355466612916797,54,PRIMARY_ZERO_MAKER,1.0,1.4450401272709534,-14.93839415182705,6,-8.441175916104996
