engine_mode,inventory_drag,inventory_drag_ratio,inventory_realized_pnl,market_group,max_unpaired_lot_age,max_unpaired_lots,peak_inventory_drag_ratio,peak_negative_unrealized_pnl,pre_exit_inventory_notional,pre_exit_mark_price,pre_exit_position_qty,pre_exit_timestamp,pre_exit_unrealized_pnl,profile,scenario,seed,symbol,window_key
R0_STATIC_REPAIRED,4.779601233914018,0.8450666977273081,-5.009412941885426,US_STOCK,1686,2,0.8214290184350406,4.645909205325001,229.81170797141095,1351.8335763024174,0.16999999999999998,1779065040000,-4.779601233914018,N20,PRIMARY_ZERO_MAKER,3,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,4.779601233914018,0.8450666977273081,-5.009412941885426,US_STOCK,1686,2,0.8214290184350406,4.645909205325001,229.81170797141095,1351.8335763024174,0.16999999999999998,1779065040000,-4.779601233914018,N20,PRIMARY_ZERO_MAKER,3,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R0_STATIC_REPAIRED,4.779601233914018,1.0556430663641487,-5.009412941885426,US_STOCK,1690,2,1.1158254229007354,4.645909205325001,229.81170797141095,1351.8335763024174,0.16999999999999998,1779065040000,-4.779601233914018,N20,PRIMARY_ZERO_MAKER,10,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,4.779601233914018,1.0556430663641487,-5.009412941885426,US_STOCK,1690,2,1.1158254229007354,4.645909205325001,229.81170797141095,1351.8335763024174,0.16999999999999998,1779065040000,-4.779601233914018,N20,PRIMARY_ZERO_MAKER,10,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R0_STATIC_REPAIRED,4.779601233914018,0.8450666977273081,-5.009412941885426,US_STOCK,1690,2,0.8214290184350406,4.645909205325001,229.81170797141095,1351.8335763024174,0.16999999999999998,1779065040000,-4.779601233914018,N20,PRIMARY_ZERO_MAKER,17,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,4.779601233914018,0.8450666977273081,-5.009412941885426,US_STOCK,1690,2,0.8214290184350406,4.645909205325001,229.81170797141095,1351.8335763024174,0.16999999999999998,1779065040000,-4.779601233914018,N20,PRIMARY_ZERO_MAKER,17,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R0_STATIC_REPAIRED,4.779601233914018,1.4059927459412607,-5.009412941885426,US_STOCK,2127,2,2.2316417416678407,4.645909205325001,229.81170797141095,1351.8335763024174,0.16999999999999998,1779065040000,-4.779601233914018,N20,PRIMARY_ZERO_MAKER,31,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,4.779601233914018,1.4059927459412607,-5.009412941885426,US_STOCK,2127,2,2.2316417416678407,4.645909205325001,229.81170797141095,1351.8335763024174,0.16999999999999998,1779065040000,-4.779601233914018,N20,PRIMARY_ZERO_MAKER,31,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R0_STATIC_REPAIRED,4.779601233914018,1.0556430663641485,-5.009412941885426,US_STOCK,2131,2,1.1158525158781276,4.645909205325001,229.81170797141095,1351.8335763024174,0.16999999999999998,1779065040000,-4.779601233914018,N20,PRIMARY_ZERO_MAKER,59,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,4.779601233914018,1.0556430663641485,-5.009412941885426,US_STOCK,2131,2,1.1158525158781276,4.645909205325001,229.81170797141095,1351.8335763024174,0.16999999999999998,1779065040000,-4.779601233914018,N20,PRIMARY_ZERO_MAKER,59,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R0_STATIC_REPAIRED,4.779601233914018,0.8450666977273081,-5.009412941885426,US_STOCK,1690,2,0.8214290184350406,4.645909205325001,229.81170797141095,1351.8335763024174,0.16999999999999998,1779065040000,-4.779601233914018,N20,PRIMARY_ZERO_MAKER,97,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,4.779601233914018,0.8450666977273081,-5.009412941885426,US_STOCK,1690,2,0.8214290184350406,4.645909205325001,229.81170797141095,1351.8335763024174,0.16999999999999998,1779065040000,-4.779601233914018,N20,PRIMARY_ZERO_MAKER,97,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R0_STATIC_REPAIRED,4.779601233914018,1.0556430663641485,-5.354130503842537,US_STOCK,2126,2,1.1158525158781276,4.645909205325001,229.81170797141095,1351.8335763024174,0.16999999999999998,1779065040000,-4.779601233914018,N20,EXECUTION_STRESS,3,SNDKUSDT,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
