engine_mode,force_exit_cost,force_exit_fees,force_exit_slippage_cost,funding_paid,funding_received,inventory_realized_pnl,maker_fees,net_pnl,paired_grid_pnl,profile,regrid_cost,scenario,seed,seed_cost,stop_exit_cost,stop_exit_slippage_cost,stopped_reason,symbol,taker_fees,window_key
R0_STATIC_REPAIRED,0.0,0.0,0.0,0.016799685227999996,0.0,-5.12431879587113,0.29250099778733774,0.10753341543060965,5.655886389521804,N20,0.0,MAKER_PROMO_OFF,3,0.0,0.11473349520472692,0.3447175619571164,stop_loss,SNDKUSDT,0.11473349520472692,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,0.0,0.0,0.0,0.016799685227999996,0.0,-5.12431879587113,0.29250099778733774,0.10753341543060965,5.655886389521804,N20,0.0,MAKER_PROMO_OFF,3,0.0,0.11473349520472692,0.3447175619571164,stop_loss,SNDKUSDT,0.11473349520472692,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R0_STATIC_REPAIRED,0.0,0.0,0.0,0.016799685227999996,0.0,-5.12431879587113,0.2423559504089099,-0.9705400186802292,4.527667908032537,N20,0.0,MAKER_PROMO_OFF,10,0.0,0.11473349520472692,0.3447175619571164,stop_loss,SNDKUSDT,0.11473349520472692,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,0.0,0.0,0.0,0.016799685227999996,0.0,-5.12431879587113,0.2423559504089099,-0.9705400186802292,4.527667908032537,N20,0.0,MAKER_PROMO_OFF,10,0.0,0.11473349520472692,0.3447175619571164,stop_loss,SNDKUSDT,0.11473349520472692,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R0_STATIC_REPAIRED,0.0,0.0,0.0,0.016799685227999996,0.0,-5.12431879587113,0.29250099778733774,0.10753341543060965,5.655886389521804,N20,0.0,MAKER_PROMO_OFF,17,0.0,0.11473349520472692,0.3447175619571164,stop_loss,SNDKUSDT,0.11473349520472692,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,0.0,0.0,0.0,0.016799685227999996,0.0,-5.12431879587113,0.29250099778733774,0.10753341543060965,5.655886389521804,N20,0.0,MAKER_PROMO_OFF,17,0.0,0.11473349520472692,0.3447175619571164,stop_loss,SNDKUSDT,0.11473349520472692,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R0_STATIC_REPAIRED,0.0,0.0,0.0,0.016799685227999996,0.0,-5.12431879587113,0.19221090303048205,-2.048613452791067,3.3994494265432715,N20,0.0,MAKER_PROMO_OFF,31,0.0,0.11473349520472692,0.3447175619571164,stop_loss,SNDKUSDT,0.11473349520472692,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,0.0,0.0,0.0,0.016799685227999996,0.0,-5.12431879587113,0.19221090303048205,-2.048613452791067,3.3994494265432715,N20,0.0,MAKER_PROMO_OFF,31,0.0,0.11473349520472692,0.3447175619571164,stop_loss,SNDKUSDT,0.11473349520472692,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R0_STATIC_REPAIRED,0.0,0.0,0.0,0.016799685227999996,0.0,-5.12431879587113,0.2423559504089099,-0.9705400186802283,4.527667908032538,N20,0.0,MAKER_PROMO_OFF,59,0.0,0.11473349520472692,0.3447175619571164,stop_loss,SNDKUSDT,0.11473349520472692,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,0.0,0.0,0.0,0.016799685227999996,0.0,-5.12431879587113,0.2423559504089099,-0.9705400186802283,4.527667908032538,N20,0.0,MAKER_PROMO_OFF,59,0.0,0.11473349520472692,0.3447175619571164,stop_loss,SNDKUSDT,0.11473349520472692,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R0_STATIC_REPAIRED,0.0,0.0,0.0,0.016799685227999996,0.0,-5.12431879587113,0.29250099778733774,0.10753341543060965,5.655886389521804,N20,0.0,MAKER_PROMO_OFF,97,0.0,0.11473349520472692,0.3447175619571164,stop_loss,SNDKUSDT,0.11473349520472692,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,0.0,0.0,0.0,0.016799685227999996,0.0,-5.12431879587113,0.29250099778733774,0.10753341543060965,5.655886389521804,N20,0.0,MAKER_PROMO_OFF,97,0.0,0.11473349520472692,0.3447175619571164,stop_loss,SNDKUSDT,0.11473349520472692,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
R0_STATIC_REPAIRED,0.0,0.0,0.0,0.0142002273668883,0.03828729696,-2.929022886779301,0.0,-1.808743902697341,1.1568073410805642,N100,0.0,PRIMARY_ZERO_MAKER,3,0.0,0.060615426591715954,0.12110974343999194,stop_loss_upper,SNDKUSDT,0.060615426591715954,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,0.0,0.0,0.0,0.0142002273668883,0.03828729696,-2.929022886779301,0.0,-1.808743902697341,1.1568073410805642,N100,0.0,PRIMARY_ZERO_MAKER,3,0.0,0.060615426591715954,0.12110974343999194,stop_loss_upper,SNDKUSDT,0.060615426591715954,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
R0_STATIC_REPAIRED,0.0,0.0,0.0,0.0142002273668883,0.03828729696,-2.929022886779301,0.0,-1.8169448588196278,1.1486063849582775,N100,0.0,PRIMARY_ZERO_MAKER,10,0.0,0.060615426591715954,0.12110974343999194,stop_loss_upper,SNDKUSDT,0.060615426591715954,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,0.0,0.0,0.0,0.0142002273668883,0.03828729696,-2.929022886779301,0.0,-1.8169448588196278,1.1486063849582775,N100,0.0,PRIMARY_ZERO_MAKER,10,0.0,0.060615426591715954,0.12110974343999194,stop_loss_upper,SNDKUSDT,0.060615426591715954,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
R0_STATIC_REPAIRED,0.0,0.0,0.0,0.0142002273668883,0.03828729696,-2.929022886779301,0.0,-1.8390925734460286,1.1264586703318766,N100,0.0,PRIMARY_ZERO_MAKER,17,0.0,0.060615426591715954,0.12110974343999194,stop_loss_upper,SNDKUSDT,0.060615426591715954,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,0.0,0.0,0.0,0.0142002273668883,0.03828729696,-2.929022886779301,0.0,-1.8390925734460286,1.1264586703318766,N100,0.0,PRIMARY_ZERO_MAKER,17,0.0,0.060615426591715954,0.12110974343999194,stop_loss_upper,SNDKUSDT,0.060615426591715954,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
R0_STATIC_REPAIRED,0.0,0.0,0.0,0.0142002273668883,0.03828729696,-2.929022886779301,0.0,-1.854437110863574,1.1111141329143313,N100,0.0,PRIMARY_ZERO_MAKER,31,0.0,0.060615426591715954,0.12110974343999194,stop_loss_upper,SNDKUSDT,0.060615426591715954,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,0.0,0.0,0.0,0.0142002273668883,0.03828729696,-2.929022886779301,0.0,-1.854437110863574,1.1111141329143313,N100,0.0,PRIMARY_ZERO_MAKER,31,0.0,0.060615426591715954,0.12110974343999194,stop_loss_upper,SNDKUSDT,0.060615426591715954,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
R0_STATIC_REPAIRED,0.0,0.0,0.0,0.0142002273668883,0.03828729696,-2.929022886779301,0.0,-1.9210918770223004,1.0444593667556048,N100,0.0,PRIMARY_ZERO_MAKER,59,0.0,0.060615426591715954,0.12110974343999194,stop_loss_upper,SNDKUSDT,0.060615426591715954,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,0.0,0.0,0.0,0.0142002273668883,0.03828729696,-2.929022886779301,0.0,-1.9210918770223004,1.0444593667556048,N100,0.0,PRIMARY_ZERO_MAKER,59,0.0,0.060615426591715954,0.12110974343999194,stop_loss_upper,SNDKUSDT,0.060615426591715954,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
R0_STATIC_REPAIRED,0.0,0.0,0.0,0.0142002273668883,0.03828729696,-2.929022886779301,0.0,-1.8188719112228462,1.146679332555059,N100,0.0,PRIMARY_ZERO_MAKER,97,0.0,0.060615426591715954,0.12110974343999194,stop_loss_upper,SNDKUSDT,0.060615426591715954,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,0.0,0.0,0.0,0.0142002273668883,0.03828729696,-2.929022886779301,0.0,-1.8188719112228462,1.146679332555059,N100,0.0,PRIMARY_ZERO_MAKER,97,0.0,0.060615426591715954,0.12110974343999194,stop_loss_upper,SNDKUSDT,0.060615426591715954,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
R0_STATIC_REPAIRED,0.0,0.0,0.0,0.0142002273668883,0.03828729696,-3.110687501939308,0.0,-2.2242946660310876,0.9533651546640523,N100,0.0,EXECUTION_STRESS,3,0.0,0.09105938834894393,0.3027743585999798,stop_loss_upper,SNDKUSDT,0.09105938834894393,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,0.0,0.0,0.0,0.0142002273668883,0.03828729696,-3.110687501939308,0.0,-2.2242946660310876,0.9533651546640523,N100,0.0,EXECUTION_STRESS,3,0.0,0.09105938834894393,0.3027743585999798,stop_loss_upper,SNDKUSDT,0.09105938834894393,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
R0_STATIC_REPAIRED,0.0,0.0,0.0,0.0142002273668883,0.03828729696,-3.110687501939308,0.0,-2.2223401390211035,0.9553196816740366,N100,0.0,EXECUTION_STRESS,10,0.0,0.09105938834894393,0.3027743585999798,stop_loss_upper,SNDKUSDT,0.09105938834894393,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
