timestamp,event_relative_minute,event_id,symbol,window_key,canonical_path,path_state_source,price,net_inventory,gross_inventory,gross_inventory_notional,inventory_utilization,inventory_age,unrealized_inventory_pnl,paired_grid_pnl,fills,fill_rate,one_sided_fill_ratio,reversal_ratio,ATR_pct,realized_vol,price_slope,grid_headroom_remaining,minutes_to_force_close
2026-08-17T00:01:00+00:00,-195.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1668.02,-0.09,0.09,150.12179999999998,0.30024359999999994,1316.0,-0.46284678618853603,1.2121065553355153,1,0.2,1.0,0.47368421052631576,0.001181469218423218,0.0015930213079730171,0.3469740259740305,2.4722258488544635,359.0
2026-08-17T00:02:00+00:00,-194.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1665.67,-0.09,0.09,149.9103,0.2998206,1317.0,-0.2513467861885442,1.2121065553355153,0,0.2,1.0,0.47368421052631576,0.0013079249962906487,0.0016397527536546233,0.41180519480519945,2.6499573514848156,358.0
2026-08-17T00:03:00+00:00,-193.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1668.61,-0.09,0.09,150.17489999999998,0.30034979999999994,1318.0,-0.5159467861885286,1.2121065553355153,0,0.2,1.0,0.47368421052631576,0.0014755652052563964,0.001670180343441802,0.5041298701298732,2.427603897130252,357.0
2026-08-17T00:04:00+00:00,-192.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1676.45,-0.09,0.09,150.8805,0.301761,1319.0,-1.2215467861885418,1.2121065553355153,0,0.2,1.0,0.42105263157894735,0.0018073906170777664,0.0019043414185118464,0.6927272727272755,1.8346613521847024,356.0
2026-08-17T00:05:00+00:00,-191.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1679.4,-0.09,0.09,151.14600000000002,0.302292,1320.0,-1.487046786188546,1.2121065553355153,0,0.2,1.0,0.42105263157894735,0.001927984484254597,0.0019172684234262669,0.8829480519480548,1.61155159356361,355.0
2026-08-17T00:06:00+00:00,-190.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1685.22,-0.09,0.09,151.6698,0.30333960000000004,1321.0,-2.0108467861885404,1.2121065553355153,0,0.2,1.0,0.42105263157894735,0.0022192948101731674,0.002009161096075555,1.1228441558441595,1.1713825104535343,354.0
2026-08-17T00:07:00+00:00,-189.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1683.25,-0.13,0.13,218.82250000000002,0.43764500000000006,1322.0,-1.7607467861885404,1.2121065553355153,1,0.2,1.0,0.47368421052631576,0.0023738091701852307,0.0020499895716524427,1.3142857142857178,1.320374450956433,353.0
2026-08-17T00:08:00+00:00,-188.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1683.05,-0.13,0.13,218.7965,0.437593,1323.0,-1.7347467861885344,1.2121065553355153,0,0.2,1.0,0.47368421052631576,0.002486132743700856,0.0020544437550426863,1.4696233766233788,1.3355005362866796,352.0
2026-08-17T00:09:00+00:00,-187.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1680.01,-0.13,0.13,218.40130000000002,0.43680260000000004,1324.0,-1.339546786188539,1.2121065553355153,0,0.2,1.0,0.47368421052631576,0.0026432665791955353,0.0021254952347905007,1.5544285714285735,1.5654170333063755,351.0
2026-08-17T00:10:00+00:00,-186.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1678.54,-0.13,0.13,218.21020000000001,0.43642040000000004,1325.0,-1.1484467861885355,1.2121065553355153,0,0.2,1.0,0.47368421052631576,0.002775371113331485,0.0021500952020042188,1.5912857142857155,1.676593760483666,350.0
2026-08-17T00:11:00+00:00,-185.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1683.96,-0.13,0.13,218.9148,0.43782960000000004,1326.0,-1.853046786188545,1.2121065553355153,0,0.2,1.0,0.47368421052631576,0.0030357863946547732,0.0022191593263215094,1.6747922077922086,1.2666768480340664,349.0
2026-08-17T00:12:00+00:00,-184.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1685.11,-0.13,0.13,219.0643,0.4381286,1327.0,-2.0025467861885273,1.2121065553355153,0,0.2,1.0,0.42105263157894735,0.003135869892342755,0.0021974884707144527,1.742376623376622,1.1797018573851776,348.0
2026-08-17T00:13:00+00:00,-183.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1680.84,-0.13,0.13,218.5092,0.4370184,1328.0,-1.4474467861885296,1.2121065553355153,0,0.0,1.0,0.42105263157894735,0.003323168347798882,0.002316058073158676,1.7054675324675286,1.502643779185871,347.0
2026-08-17T00:14:00+00:00,-182.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1673.51,-0.09,0.09,150.61589999999998,0.30123179999999994,1329.0,-0.956946786188537,1.8058963160405006,1,0.2,0.5,0.42105263157894735,0.0032873592457939027,0.002562564953839661,1.548350649350645,2.0570148065392835,346.0
2026-08-17T00:15:00+00:00,-181.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1671.9,-0.09,0.09,150.471,0.300942,1330.0,-0.812046786188546,1.8058963160405006,0,0.2,0.5,0.42105263157894735,0.00321575965753248,0.002579763339946514,1.3452467532467498,2.1787797934477346,345.0
2026-08-17T00:16:00+00:00,-180.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1671.19,-0.09,0.09,150.40709999999999,0.3008142,1331.0,-0.7481467861885426,1.8058963160405006,0,0.2,0.5,0.3684210526315789,0.0032137065717927184,0.0025843790953345705,1.1118571428571415,2.232477396370101,344.0
2026-08-17T00:17:00+00:00,-179.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1669.63,-0.09,0.09,150.26670000000001,0.3005334,1332.0,-0.6077467861885475,1.8058963160405006,0,0.2,0.5,0.3684210526315789,0.003185479075346882,0.0026003309248075032,0.8376233766233767,2.350460861945995,343.0
2026-08-17T00:18:00+00:00,-178.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1672.15,-0.09,0.09,150.4935,0.300987,1333.0,-0.8345467861885458,1.8058963160405006,0,0.2,1.0,0.3684210526315789,0.003003831679488755,0.0026113591633340014,0.5796623376623384,2.1598721867849306,342.0
2026-08-17T00:19:00+00:00,-177.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1670.88,-0.09,0.09,150.3792,0.3007584,1334.0,-0.7202467861885475,1.8058963160405006,0,0.2,1.0,0.3684210526315789,0.0030026949015745145,0.002623080197626114,0.2909350649350679,2.255922828631974,341.0
2026-08-17T00:20:00+00:00,-176.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1673.46,-0.09,0.09,150.6114,0.3012228,1335.0,-0.9524467861885411,1.8058963160405006,0,0.0,1.0,0.3684210526315789,0.002821357290540875,0.0021363260806469397,0.01761038961039397,2.0607963278718406,340.0
2026-08-17T00:21:00+00:00,-175.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1674.14,-0.09,0.09,150.67260000000002,0.30134520000000004,1336.0,-1.0136467861885468,1.8058963160405006,0,0.0,1.0,0.3684210526315789,0.002713546742122584,0.0021297512586282443,-0.0976493506493463,2.009367637749009,339.0
2026-08-17T00:22:00+00:00,-174.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1670.36,-0.09,0.09,150.33239999999998,0.30066479999999995,1337.0,-0.6734467861885287,1.8058963160405006,0,0.0,1.0,0.3684210526315789,0.002803074102075494,0.0021692015690081977,-0.2835844155844134,2.2952506504906225,338.0
2026-08-17T00:23:00+00:00,-173.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1667.55,-0.09,0.09,150.0795,0.300159,1338.0,-0.4205467861885336,1.8058963160405006,0,0.0,1.0,0.3684210526315789,0.0028454918892986546,0.002170422786189818,-0.5426233766233745,2.5077721493805374,337.0
2026-08-17T00:24:00+00:00,-172.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1670.0,-0.09,0.09,150.29999999999998,0.3006,1339.0,-0.6410467861885377,1.8058963160405006,0,0.0,1.0,0.42105263157894735,0.002785714285714271,0.001918147385500135,-0.7302857142857139,2.322477604085053,336.0
2026-08-17T00:25:00+00:00,-171.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1672.0,-0.09,0.09,150.48,0.30096,1340.0,-0.8210467861885378,1.8058963160405006,0,0.0,0.0,0.42105263157894735,0.0025918489405331348,0.0018933202320914706,-0.7817792207792202,2.17121675078262,335.0
2026-08-17T00:26:00+00:00,-170.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1674.09,-0.09,0.09,150.66809999999998,0.30133619999999994,1341.0,-1.0091467861885304,1.8058963160405006,0,0.0,0.0,0.3684210526315789,0.0025758130429922124,0.0017324853575289684,-0.7582077922077918,2.0131491590815833,334.0
2026-08-17T00:27:00+00:00,-169.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1672.17,-0.09,0.09,150.49530000000001,0.30099060000000005,1342.0,-0.8363467861885443,1.8058963160405006,0,0.0,0.0,0.42105263157894735,0.002488639654717256,0.0017319568210109578,-0.669532467532466,2.1583595782519076,333.0
2026-08-17T00:28:00+00:00,-168.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1672.06,-0.09,0.09,150.4854,0.3009708,1343.0,-0.8264467861885327,1.8058963160405006,0,0.0,0.0,0.42105263157894735,0.001963360850003666,0.0017323166341948423,-0.5934805194805189,2.1666789251835508,332.0
2026-08-17T00:29:00+00:00,-167.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1671.13,-0.09,0.09,150.4017,0.3008034,1344.0,-0.7427467861885476,1.8058963160405006,0,0.0,0.0,0.42105263157894735,0.0018768309894673333,0.001700031935570362,-0.5178311688311676,2.23701522196917,331.0
2026-08-17T00:30:00+00:00,-166.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1672.57,-0.09,0.09,150.5313,0.30106259999999996,1345.0,-0.8723467861885319,1.8058963160405006,0,0.0,0.0,0.42105263157894735,0.001856424544264198,0.0017108990877731994,-0.4514285714285716,2.1281074075914312,330.0
2026-08-17T00:31:00+00:00,-165.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1669.6,-0.09,0.09,150.26399999999998,0.30052799999999996,1346.0,-0.6050467861885296,1.8058963160405006,0,0.0,0.0,0.47368421052631576,0.001846036689711806,0.001553214842037316,-0.4349350649350671,2.3527297747455465,329.0
2026-08-17T00:32:00+00:00,-164.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1669.25,-0.09,0.09,150.2325,0.300465,1347.0,-0.5735467861885377,1.8058963160405006,0,0.0,0.0,0.42105263157894735,0.0017394467147350025,0.0015333819563941296,-0.3339480519480538,2.3792004240734657,328.0
2026-08-17T00:33:00+00:00,-163.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1670.6,-0.09,0.09,150.35399999999998,0.300708,1348.0,-0.6950467861885294,1.8058963160405006,0,0.0,0.0,0.47368421052631576,0.001674761847753571,0.001480743557169419,-0.1798961038961086,2.27709934809433,327.0
2026-08-17T00:34:00+00:00,-162.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1670.0,-0.09,0.09,150.29999999999998,0.3006,1349.0,-0.6410467861885377,1.8058963160405006,0,0.0,0.0,0.5263157894736842,0.0015782720273738084,0.0011532342928084925,-0.07579220779221386,2.322477604085053,326.0
2026-08-17T00:35:00+00:00,-161.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1670.38,-0.09,0.09,150.3342,0.3006684,1350.0,-0.6752467861885476,1.8058963160405006,0,0.0,0.0,0.5789473684210527,0.0015518282409648333,0.0011380386079428806,-0.05738961038961548,2.2937380419575826,325.0
2026-08-17T00:36:00+00:00,-160.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1672.74,-0.09,0.09,150.54659999999998,0.30109319999999995,1351.0,-0.8876467861885387,1.8058963160405006,0,0.0,0.0,0.5789473684210527,0.0014522793227194288,0.0011771655000386223,-0.027272727272731407,2.115250235060719,324.0
2026-08-17T00:37:00+00:00,-159.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1671.17,-0.09,0.09,150.4053,0.30081060000000004,1352.0,-0.7463467861885442,1.8058963160405006,0,0.0,0.0,0.5789473684210527,0.0013198623034845413,0.0011773789605306183,-0.028779220779223545,2.233990004903124,323.0
2026-08-17T00:38:00+00:00,-158.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1673.23,-0.09,0.09,150.5907,0.3011814,1353.0,-0.9317467861885393,1.8058963160405006,0,0.0,0.0,0.5789473684210527,0.0013272020497566166,0.0011616351503011334,-0.02579220779220914,2.078191326001622,322.0
2026-08-17T00:39:00+00:00,-157.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1671.47,-0.09,0.09,150.4323,0.3008646,1354.0,-0.7733467861885402,1.8058963160405006,0,0.0,0.0,0.5789473684210527,0.0013354369848952363,0.0011732963155924902,-0.01433766233766229,2.2113008769077624,321.0
2026-08-17T00:40:00+00:00,-156.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1672.89,-0.09,0.09,150.5601,0.3011202,1355.0,-0.9011467861885467,1.8058963160405006,0,0.0,0.0,0.631578947368421,0.001285201059244776,0.0011373510060566506,-0.0017012987012959729,2.1039056710630293,320.0
2026-08-17T00:41:00+00:00,-155.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1672.92,-0.09,0.09,150.5628,0.3011256,1356.0,-0.9038467861885442,1.8058963160405006,0,0.0,0.0,0.5789473684210527,0.0011916717049060433,0.0011332757862750826,0.0455714285714326,2.101636758263495,319.0
2026-08-17T00:42:00+00:00,-154.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1672.74,-0.09,0.09,150.54659999999998,0.30109319999999995,1357.0,-0.8876467861885387,1.8058963160405006,0,0.0,0.0,0.631578947368421,0.0011917999381681759,0.0010129822087100455,0.10092207792208328,2.115250235060719,318.0
2026-08-17T00:43:00+00:00,-153.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1674.05,-0.09,0.09,150.6645,0.301329,1358.0,-1.0055467861885337,1.8058963160405006,0,0.0,0.0,0.631578947368421,0.0011921473586298532,0.0009393733950282666,0.12110389610389935,2.0161743761476294,317.0
2026-08-17T00:44:00+00:00,-152.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1672.67,-0.09,0.09,150.5403,0.30108060000000003,1359.0,-0.8813467861885443,1.8058963160405006,0,0.0,0.0,0.6842105263157895,0.0011482924221240943,0.0009165357101335166,0.0784285714285748,2.120544364926299,316.0
2026-08-17T00:45:00+00:00,-151.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1673.36,-0.09,0.09,150.6024,0.3012048,1360.0,-0.9434467861885287,1.8058963160405006,0,0.0,0.0,0.7368421052631579,0.0010543372103347264,0.0008840795003320213,0.07306493506493683,2.0683593705369727,315.0
2026-08-17T00:46:00+00:00,-150.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1674.38,-0.09,0.09,150.6942,0.3013884,1361.0,-1.0352467861885475,1.8058963160405006,0,0.0,0.0,0.6842105263157895,0.0010579608998128169,0.0008506776891271255,0.10515584415584714,1.9912163353527161,314.0
2026-08-17T00:47:00+00:00,-149.99998333333332,D2-0394ea9b3d716901,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,31111-NEUTRAL CONTROL,FILL_LEVEL_CONTROL_REPLAY,1678.38,-0.09,0.09,151.0542,0.3021084,1362.0,-1.3952467861885476,1.8058963160405006,0,0.0,0.0,0.6842105263157895,0.001158004402204187,0.0009533056113128544,0.21596103896104188,1.6886946287478497,313.0
