candidate_id,round,expansion_ratio,breaches,fraction,development_mean_seed_total_pnl,mean_seed_total_pnl,worst_seed_total_pnl,worst_5pct_window_mean_pnl,max_drawdown_pct,range_pnl,volatility_expansion_pnl,fee_to_gross_profit_ratio,volatility_breach_count,volatility_max_consecutive_breaches,volatility_reduce_count,volatility_reduce_cost,median_inventory_reduction_pct,passed_gate_count,all_gates_passed
P4_BASELINE,baseline,1.5,0,0.2,18.182553568286934,28.165621851810478,23.995900684789852,-3.323583028320009,0.016382553155923477,140.80528646810282,-89.65014864410225,0.16572455311591572,47431,23,0,0.0,,0,False
P4_R1_V150_N3_F20,round_1_expansion_ratio,1.5,3,0.2,15.405955499072542,18.89399573871504,15.718819873729208,-2.874174224514031,0.012839176783290291,85.87376260458583,-52.23029413979822,0.21358622720194492,47431,23,663,48.761627460055,0.19999999999999998,7,False
P4_R1_V175_N3_F20,round_1_expansion_ratio,1.75,3,0.2,16.798210516489828,26.453641613348307,21.777821250623,-3.1777872788265946,0.017514905892246902,160.21300075116426,-92.53973294685792,0.18422848001107603,7056,15,301,23.52907140984,0.5,8,False
P4_R1_V200_N3_F20,round_1_expansion_ratio,2.0,3,0.2,18.182553568286934,28.165621851810478,23.995900684789852,-3.323583028320009,0.016382553155923477,140.80528646810282,-89.65014864410225,0.16572455311591572,0,0,0,0.0,,8,False
P4_R2_V150_N3_F20,round_2_confirmation,1.5,3,0.2,15.405955499072542,18.89399573871504,15.718819873729208,-2.874174224514031,0.012839176783290291,85.87376260458583,-52.23029413979822,0.21358622720194492,47431,23,663,48.761627460055,0.19999999999999998,7,False
P4_R2_V150_N5_F20,round_2_confirmation,1.5,5,0.2,13.210713262850788,16.526552911040053,13.126050130093043,-2.9297210184758704,0.013296286765488956,83.84615646953081,-68.13092359114621,0.21589060035076224,47431,23,636,47.42277188701,0.20000000000000004,6,False
P4_R2_V150_N10_F20,round_2_confirmation,1.5,10,0.2,16.12306826271626,23.097466743931676,19.193696375510367,-2.6479713958630557,0.013332728749885035,119.8819709814637,-60.01894634092444,0.20621173942637916,47431,23,569,41.74846116039,0.19999999999999996,11,False
P4_R3_V150_N10_F20,round_3_fraction,1.5,10,0.2,16.12306826271626,23.097466743931676,19.193696375510367,-2.6479713958630557,0.013332728749885035,119.8819709814637,-60.01894634092444,0.20621173942637916,47431,23,569,41.74846116039,0.19999999999999996,11,False
P4_R3_V150_N10_F35,round_3_fraction,1.5,10,0.35,14.080548379429928,19.695407629565285,16.59591033685297,-2.5602345272172213,0.013389668872897578,108.1112321849868,-59.1164823434433,0.21675041585170446,47431,23,569,47.058446032300004,0.3478260869565218,8,False
