comparison,scope,seed,metric,w_median,control_median,delta_w_minus_control,ratio_w_to_control,evaluation_status
W_VS_R,ALL_CORE,31,base_volume_per_hour,1443.4237272727273,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,31,quote_volume_per_hour,203789.15608909092,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,31,median_trade_size,59.9264,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,31,aggtrade_event_count_per_hour,622.6759259259259,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,59,window_realized_volatility,0.023726710175519694,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,59,hourly_realized_volatility,0.003199308947408117,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,59,directional_efficiency,0.018151880955739268,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,59,completed_grid_cycles_per_hour,1.2818181818181817,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,59,fee_adjusted_cycle_capacity_per_hour,0.0014100000000000002,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,59,zero_trade_ratio,0.09196969696969698,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,59,trades_per_hour,1142.3818181818183,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,59,base_volume_per_hour,1443.4237272727273,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,59,quote_volume_per_hour,203789.15608909092,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,59,median_trade_size,59.9264,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,59,aggtrade_event_count_per_hour,622.6759259259259,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,97,window_realized_volatility,0.023726710175519694,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,97,hourly_realized_volatility,0.003199308947408117,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,97,directional_efficiency,0.018151880955739268,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,97,completed_grid_cycles_per_hour,1.2818181818181817,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,97,fee_adjusted_cycle_capacity_per_hour,0.0014100000000000002,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,97,zero_trade_ratio,0.09196969696969698,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,97,trades_per_hour,1142.3818181818183,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,97,base_volume_per_hour,1443.4237272727273,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,97,quote_volume_per_hour,203789.15608909092,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,97,median_trade_size,59.9264,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,97,aggtrade_event_count_per_hour,622.6759259259259,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,SEED_MEDIAN,window_realized_volatility,0.023726710175519694,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,SEED_MEDIAN,hourly_realized_volatility,0.003199308947408117,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_R,ALL_CORE,SEED_MEDIAN,directional_efficiency,0.018151880955739268,,,,NOT_EVALUATED_TECHNICAL_GATE_FAILED
