comparison,scope,seed,metric,w_median,control_median,delta_w_minus_control,ratio_w_to_control,evaluation_status
W_VS_O,CRYPTO_SENSITIVE_EQUITY,,trades_per_hour,1594.290909090909,2184.392857142857,-590.1019480519478,0.7298553938581407,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,CRYPTO_SENSITIVE_EQUITY,,base_volume_per_hour,2248.6277272727275,3982.1850000000004,-1733.557272727273,0.5646718390212226,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,CRYPTO_SENSITIVE_EQUITY,,quote_volume_per_hour,287398.8638083333,484451.52221428574,-197052.65840595245,0.5932458680173353,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,CRYPTO_SENSITIVE_EQUITY,,median_trade_size,74.36115,80.69172499999999,-6.330574999999996,0.9215461684577942,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,CRYPTO_SENSITIVE_EQUITY,,aggtrade_event_count_per_hour,850.7181818181818,1160.2857142857142,-309.5675324675324,0.7331971525150546,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,SYMBOL:AMZNUSDT,,window_realized_volatility,0.011948038600177445,0.005568030966945249,0.006380007633232196,2.145828331614401,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,SYMBOL:AMZNUSDT,,hourly_realized_volatility,0.0016110731961890283,0.002104517890120519,-0.0004934446939314908,0.7655307677601958,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,SYMBOL:AMZNUSDT,,directional_efficiency,0.019316068107025266,0.047454272647933685,-0.02813820454090842,0.4070459208242938,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,SYMBOL:AMZNUSDT,,completed_grid_cycles_per_hour,0.4909090909090909,0.8571428571428571,-0.3662337662337662,0.5727272727272728,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,SYMBOL:AMZNUSDT,,fee_adjusted_cycle_capacity_per_hour,0.00054,0.0009428571428571429,-0.00040285714285714285,0.5727272727272728,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,SYMBOL:AMZNUSDT,,zero_trade_ratio,0.23212121212121212,0.1130952380952381,0.11902597402597402,2.05244019138756,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,SYMBOL:AMZNUSDT,,trades_per_hour,439.92727272727274,609.6428571428571,-169.71558441558437,0.7216147414389946,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,SYMBOL:AMZNUSDT,,base_volume_per_hour,263.2490909090909,483.26571428571424,-220.01662337662333,0.5447294999981189,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,SYMBOL:AMZNUSDT,,quote_volume_per_hour,61760.716378181816,105966.99832142857,-44206.28194324676,0.5828297239376705,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,SYMBOL:AMZNUSDT,,median_trade_size,21.636799999999997,30.8545,-9.217700000000004,0.7012526535837559,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,SYMBOL:AMZNUSDT,,aggtrade_event_count_per_hour,280.07272727272726,379.0,-98.92727272727274,0.7389781722235548,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,SYMBOL:COINUSDT,,window_realized_volatility,0.02465052360649089,0.011742293065285393,0.012908230541205497,2.0992938491176867,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,SYMBOL:COINUSDT,,hourly_realized_volatility,0.003323875925028612,0.004438169610340497,-0.0011142936853118855,0.7489294499435778,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,SYMBOL:COINUSDT,,directional_efficiency,0.0294975688816855,0.04124566014695166,-0.011748091265266162,0.7151678207256327,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,SYMBOL:COINUSDT,,completed_grid_cycles_per_hour,1.8181818181818181,3.2857142857142856,-1.4675324675324675,0.5533596837944664,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,SYMBOL:COINUSDT,,fee_adjusted_cycle_capacity_per_hour,0.002,0.0036142857142857144,-0.0016142857142857144,0.5533596837944664,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,SYMBOL:COINUSDT,,zero_trade_ratio,0.0903030303030303,0.009523809523809525,0.08077922077922078,9.48181818181818,NOT_EVALUATED_TECHNICAL_GATE_FAILED
W_VS_O,SYMBOL:COINUSDT,,trades_per_hour,1163.8727272727272,1544.7857142857142,-380.91298701298706,0.753420177639903,NOT_EVALUATED_TECHNICAL_GATE_FAILED
