inventory_drag,net_pnl,profile_id,scenario
321.1508151128216,-67.68552257450837,CONTROL,PRIMARY_ZERO_MAKER
317.9449352724304,-137.08175137379615,CONTROL,EXECUTION_STRESS
321.1508151128216,-94.38884404394135,CONTROL,MAKER_PROMO_OFF
321.1508151128216,-67.68552257450837,D1-R1,PRIMARY_ZERO_MAKER
317.9449352724304,-137.08175137379615,D1-R1,EXECUTION_STRESS
321.1508151128216,-94.38884404394135,D1-R1,MAKER_PROMO_OFF
321.1508151128216,-67.68552257450837,D1-R2,PRIMARY_ZERO_MAKER
317.9449352724304,-137.08175137379615,D1-R2,EXECUTION_STRESS
321.1508151128216,-94.38884404394135,D1-R2,MAKER_PROMO_OFF
321.1508151128216,-67.68552257450837,D1-R3,PRIMARY_ZERO_MAKER
317.9449352724304,-137.08175137379615,D1-R3,EXECUTION_STRESS
321.1508151128216,-94.38884404394135,D1-R3,MAKER_PROMO_OFF
179.0893441543446,59.45159744418422,D2-R1,PRIMARY_ZERO_MAKER
177.486404234149,-7.319315039790186,D2-R1,EXECUTION_STRESS
179.0893441543446,32.74827597475125,D2-R1,MAKER_PROMO_OFF
135.21836299794396,101.27783466510434,D2-R2,PRIMARY_ZERO_MAKER
134.09630505380704,27.3096002884772,D2-R2,EXECUTION_STRESS
135.21836299794396,72.89737914929849,D2-R2,MAKER_PROMO_OFF
92.21149693233971,134.47929430654017,D2-R3,PRIMARY_ZERO_MAKER
91.57032096426148,55.51243127972497,D2-R3,EXECUTION_STRESS
92.21149693233971,104.42170474436145,D2-R3,MAKER_PROMO_OFF
258.384057153085,-11.502086813505624,D3-R1,PRIMARY_ZERO_MAKER
256.78148068599586,-79.07093955368346,D3-R1,EXECUTION_STRESS
258.384057153085,-38.205408282938606,D3-R1,MAKER_PROMO_OFF
239.42333281790494,6.373873678984358,D3-R2,PRIMARY_ZERO_MAKER
238.30174736280642,-65.16741535519057,D3-R2,EXECUTION_STRESS
239.42333281790494,-21.130671180186944,D3-R2,MAKER_PROMO_OFF
220.9725407820749,20.3165743287827,D3-R3,PRIMARY_ZERO_MAKER
220.33194633896701,-53.413197694535064,D3-R3,EXECUTION_STRESS
220.9725407820749,-7.989193920126918,D3-R3,MAKER_PROMO_OFF
