grid_edge_retention,inventory_drag,net_pnl,profile_id,symbol
0.8,419.7877464991129,-180.73982146692134,CONTROL,SNDKUSDT
1.0,419.0613667002319,-225.0410525454987,CONTROL,MUUSDT
1.0,90.99525303285786,19.35312930360417,CONTROL,SOXLUSDT
1.0,30.402199265870962,87.27162671657001,CONTROL,SKHYNIXUSDT
0.8,419.7877464991129,-180.73982146692134,D1-R1,SNDKUSDT
1.0,419.0613667002319,-225.0410525454987,D1-R1,MUUSDT
1.0,90.99525303285786,19.35312930360417,D1-R1,SOXLUSDT
1.0,30.402199265870962,87.27162671657001,D1-R1,SKHYNIXUSDT
0.8,419.7877464991129,-180.73982146692134,D1-R2,SNDKUSDT
1.0,419.0613667002319,-225.0410525454987,D1-R2,MUUSDT
1.0,90.99525303285786,19.35312930360417,D1-R2,SOXLUSDT
1.0,30.402199265870962,87.27162671657001,D1-R2,SKHYNIXUSDT
0.8,419.7877464991129,-180.73982146692134,D1-R3,SNDKUSDT
1.0,419.0613667002319,-225.0410525454987,D1-R3,MUUSDT
1.0,90.99525303285786,19.35312930360417,D1-R3,SOXLUSDT
1.0,30.402199265870962,87.27162671657001,D1-R3,SKHYNIXUSDT
0.7833769952848038,255.8982878951701,-25.14140883521326,D2-R1,SNDKUSDT
0.930174518073122,214.37674992052553,-38.4710666786174,D2-R1,MUUSDT
0.9679093880852148,50.18895509420707,57.40951200692876,D2-R1,SOXLUSDT
0.9148052607845464,15.201099632935481,91.0835218860472,D2-R1,SKHYNIXUSDT
0.7867015962278431,205.83504925187103,18.45610979748899,D2-R2,SNDKUSDT
0.9441396144584976,151.51754491549073,17.210429265348857,D2-R2,MUUSDT
0.9743275104681719,36.53966713927838,69.38595670892269,D2-R2,SOXLUSDT
0.9318442086276372,10.640769743054836,96.43231833111949,D2-R2,SKHYNIXUSDT
0.7813822347189804,156.47708176064654,57.03701337255457,D2-R3,SNDKUSDT
0.9217954602418966,90.57154570463238,61.559111340469656,D2-R3,MUUSDT
0.9640585146554405,22.864247510487797,79.95857716240889,D2-R3,SOXLUSDT
0.9045818920786919,6.080439853174191,95.85872845519347,D2-R3,SKHYNIXUSDT
0.8,376.989582952612,-137.94165792042043,D3-R1,SNDKUSDT
0.9729851925187187,290.36365937376047,-101.27342791935861,D3-R1,MUUSDT
1.0,90.99525303285786,19.35312930360417,D3-R1,SOXLUSDT
0.9148052607845464,15.201099632935481,91.0835218860472,D3-R1,SKHYNIXUSDT
0.8,364.15013388866174,-127.42042885647015,D3-R2,SNDKUSDT
0.978388154014975,251.36225633404186,-68.29143685964665,D3-R2,MUUSDT
1.0,90.99525303285786,19.35312930360417,D3-R2,SOXLUSDT
0.9318442086276372,10.640769743054836,96.43452355611949,D3-R2,SKHYNIXUSDT
0.8,351.3106848247115,-116.89919979251988,D3-R3,SNDKUSDT
0.969743415620965,213.8906501923733,-39.402885702157036,D3-R3,MUUSDT
1.0,90.99525303285786,19.35312930360417,D3-R3,SOXLUSDT
0.9045818920786919,6.080439853174191,95.86313890519347,D3-R3,SKHYNIXUSDT
