control_paired_grid_pnl,grid_edge_retention,paired_grid_pnl,profile_id
746.5052035804733,1.0,746.5052035804733,CONTROL
746.5052035804733,1.0,746.5052035804733,D1-R1
746.5052035804733,1.0,746.5052035804733,D1-R2
746.5052035804733,1.0,746.5052035804733,D1-R3
746.5052035804733,0.9456871882615435,705.960406996629,D2-R1
746.5052035804733,0.956549750609235,714.069366313398,D2-R2
746.5052035804733,0.9391696508529289,701.0950314065677,D2-R3
746.5052035804733,0.978139084516066,730.1859164166837,D3-R1
746.5052035804733,0.9825112676128528,733.4497738494416,D3-R2
746.5052035804733,0.975515774657994,728.2276019570289,D3-R3
