control_inventory_drag,inventory_drag,inventory_tail_reduction,profile_id,tail_efficiency_score
960.2465654980736,960.2465654980736,0.0,CONTROL,0.0
960.2465654980736,960.2465654980736,0.0,D1-R1,0.0
960.2465654980736,960.2465654980736,0.0,D1-R2,0.0
960.2465654980736,960.2465654980736,0.0,D1-R3,0.0
960.2465654980736,535.6650925428382,0.4421588040098927,D2-R1,0.4181439161292023
960.2465654980736,404.53303104969496,0.5787196272450437,D2-R2,0.553574115113916
960.2465654980736,275.9933148289409,0.7125807842012066,D2-R3,0.6692342463027535
960.2465654980736,773.5495949921658,0.194426074733284,D3-R1,0.19017574274566665
960.2465654980736,717.1484129986163,0.2531622202401358,D3-R2,0.24873473391982004
960.2465654980736,662.2770279031168,0.3103052364893405,D3-R3,0.302707653154331
