inventory_drag,net_pnl,profile_id,seed
162.97965908572394,-60.62750836969821,CONTROL,3
158.1694817010392,-41.87534200778746,CONTROL,10
161.37635571242188,-43.82128247584641,CONTROL,17
158.16927146174416,-48.92744381191313,CONTROL,31
161.37909702222677,-56.43350569125576,CONTROL,59
158.17270051491764,-47.471035635744904,CONTROL,97
162.97965908572394,-60.62750836969821,D1-R1,3
158.1694817010392,-41.87534200778746,D1-R1,10
161.37635571242188,-43.82128247584641,D1-R1,17
158.16927146174416,-48.92744381191313,D1-R1,31
161.37909702222677,-56.43350569125576,D1-R1,59
158.17270051491764,-47.471035635744904,D1-R1,97
162.97965908572394,-60.62750836969821,D1-R2,3
158.1694817010392,-41.87534200778746,D1-R2,10
161.37635571242188,-43.82128247584641,D1-R2,17
158.16927146174416,-48.92744381191313,D1-R2,31
161.37909702222677,-56.43350569125576,D1-R2,59
158.17270051491764,-47.471035635744904,D1-R2,97
162.97965908572394,-60.62750836969821,D1-R3,3
158.1694817010392,-41.87534200778746,D1-R3,10
161.37635571242188,-43.82128247584641,D1-R3,17
158.16927146174416,-48.92744381191313,D1-R3,31
161.37909702222677,-56.43350569125576,D1-R3,59
158.17270051491764,-47.471035635744904,D1-R3,97
90.74673702169093,4.8510143628249045,D2-R1,3
88.34164832934854,19.005717024985262,D2-R1,10
89.94508533503989,20.7516305091576,D2-R1,17
88.34154320970104,14.444094757465269,D2-R1,31
89.94663845035618,10.486779725247724,D2-R1,59
88.34344019670161,15.34132199946453,D2-R1,97
68.45060871409365,24.725228355694618,D2-R2,3
66.76704662945397,38.59687941163386,D2-R2,10
67.88945253343792,40.40614060820562,D2-R2,17
66.76697304570072,33.53710867696898,D2-R2,31
67.89059445228347,29.672464173364308,D2-R2,59
66.76835567472526,34.546992877012634,D2-R2,97
46.58652763573754,40.655107466938,D2-R3,3
45.624492158800585,53.10367191280396,D2-R3,10
46.26586696107712,56.062257633975904,D2-R3,17
45.62445011094158,48.84085673224585,D2-R3,31
46.26662863192296,46.07974040297777,D2-R3,59
45.625349330461134,49.671796181685096,D2-R3,97
130.39434817748713,-30.576955393406173,D3-R1,3
127.98912585275546,-15.951323062370363,D3-R1,10
129.5926964908361,-14.69127619525522,D3-R1,17
127.98891561346045,-21.052423581133656,D3-R1,31
129.59380099581688,-26.539713411907375,D3-R1,59
127.99070786180981,-19.966743006054898,D3-R1,97
120.55341135228863,-22.030869920580873,D3-R2,3
118.8696755455429,-7.78240831334663,D3-R2,10
119.99225517163292,-6.361907226615271,D3-R2,17
118.86946530624789,-13.273709089182397,D3-R2,31
119.99285387246019,-18.362268477900546,D3-R2,59
118.87075175044376,-12.113049828767434,D3-R2,97
110.96742147718194,-15.057805522458661,D3-R3,3
110.00517218842214,-2.0817357039053404,D3-R3,10
110.64676080252153,0.3326152626156915,D3-R3,17
110.00496194912712,-6.948716068425145,D3-R3,31
110.64691129794495,-11.423410041207148,D3-R3,59
110.00580018791914,-5.906765212498676,D3-R3,97
