record_type,status,reason,candidate_id,candidate_sha,symbol,market_calendar,window_key,window_start,window_end,force_close_at,first_seen_at,completed_at,data_sha,rules_sha,config_sha,code_sha,scenario,seed,gate_status,regime_status,grid_count,step_pct,range_pct,paired_grid_pnl,inventory_realized_pnl,funding_pnl,fees,slippage_cost,net_pnl,max_drawdown,max_drawdown_pct,inventory_drag,inventory_drag_ratio,pre_exit_inventory_notional,max_inventory_utilization,mean_inventory_utilization,max_unpaired_lots,max_unpaired_lot_age,stop_loss_count,window_force_close_count,complete_window,data_complete,funding_complete,rules_frozen,force_close_covered,expected_symbols,observed_symbols,portfolio_complete,oos_eligible,sequence_valid,exposure_cutoff
LEDGER_METADATA,INSUFFICIENT_FORWARD_OOS,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,,,,,,,,2026-08-08T20:45:23.438783+00:00,,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,False,True,2026-08-08T20:45:23.438783+00:00
CANDIDATE_FREEZE,PRIMARY_FORWARD_OOS_CANDIDATE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,,,,,,,,2026-08-08T20:45:23.438783+00:00,,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,False,True,2026-08-08T20:45:23.438783+00:00
DIAGNOSTIC_CONTROL,DIAGNOSTIC_CONTROL_ONLY,Not counted as an independent primary candidate.,31121-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,,,,,,,,2026-08-08T20:45:23.438783+00:00,,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,False,True,2026-08-08T20:45:23.438783+00:00
POST_HOC_CANDIDATE,NEW_POST_HOC_RESEARCH_CANDIDATE,Historical validation NOT_CLAIMED; independent 0-window sequence.,31111-NEUTRAL-EX-MU,da816e4242d8eb0245e49f192dc2224affc8965cd14f24ef3fa7b1994ba140e3,,,,,,,,2026-08-08T20:45:23.438783+00:00,,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,False,True,2026-08-08T20:45:23.438783+00:00
OOS_RESULT,NO_TRADE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,MUUSDT,NYSE,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-22T17:36:38.785582+00:00,9006cd140974234bbb1897a49ef65652a910ec3b15cce38b7946286cf157a994,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,PRIMARY_ZERO_MAKER,3,NOT_EVALUATED,BLOCKED,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,MUUSDT;SNDKUSDT;SOXLUSDT,MUUSDT;SNDKUSDT;SOXLUSDT,True,True,True,
OOS_RESULT,NO_TRADE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,MUUSDT,NYSE,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-22T17:36:38.785605+00:00,9006cd140974234bbb1897a49ef65652a910ec3b15cce38b7946286cf157a994,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,PRIMARY_ZERO_MAKER,10,NOT_EVALUATED,BLOCKED,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,MUUSDT;SNDKUSDT;SOXLUSDT,MUUSDT;SNDKUSDT;SOXLUSDT,True,True,True,
OOS_RESULT,NO_TRADE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,MUUSDT,NYSE,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-22T17:36:38.785612+00:00,9006cd140974234bbb1897a49ef65652a910ec3b15cce38b7946286cf157a994,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,PRIMARY_ZERO_MAKER,17,NOT_EVALUATED,BLOCKED,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,MUUSDT;SNDKUSDT;SOXLUSDT,MUUSDT;SNDKUSDT;SOXLUSDT,True,True,True,
OOS_RESULT,NO_TRADE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,MUUSDT,NYSE,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-22T17:36:38.785620+00:00,9006cd140974234bbb1897a49ef65652a910ec3b15cce38b7946286cf157a994,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,PRIMARY_ZERO_MAKER,31,NOT_EVALUATED,BLOCKED,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,MUUSDT;SNDKUSDT;SOXLUSDT,MUUSDT;SNDKUSDT;SOXLUSDT,True,True,True,
OOS_RESULT,NO_TRADE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,MUUSDT,NYSE,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-22T17:36:38.785624+00:00,9006cd140974234bbb1897a49ef65652a910ec3b15cce38b7946286cf157a994,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,PRIMARY_ZERO_MAKER,59,NOT_EVALUATED,BLOCKED,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,MUUSDT;SNDKUSDT;SOXLUSDT,MUUSDT;SNDKUSDT;SOXLUSDT,True,True,True,
OOS_RESULT,NO_TRADE,,31111-NEUTRAL,c65c75506f4070608ddbfb9a9b3731dc8dab2fee0261c33bda36278a495a1774,MUUSDT,NYSE,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-17T06:00:00+00:00,2026-08-14T20:00:00+00:00,2026-08-22T17:36:38.785632+00:00,9006cd140974234bbb1897a49ef65652a910ec3b15cce38b7946286cf157a994,ac0ff63eecc9a9b285c68c5fdc48722f5e9ebd8614e6b7ddbb4ce51d59a04d58,d7d8d2223b78a0e70404470163b7ec44b55460752e389680d5faaac4496222cc,b8aa6708613e4ec8f24ea2a11c5c5753a7390ee7833fab1193ebf3dc90b6c015,PRIMARY_ZERO_MAKER,97,NOT_EVALUATED,BLOCKED,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,MUUSDT;SNDKUSDT;SOXLUSDT,MUUSDT;SNDKUSDT;SOXLUSDT,True,True,True,
