grid_edge_retention,paired_grid_pnl,profile_id
1.0,746.5052035804733,CONTROL
0.9391696508529289,701.0950314065677,D2-R3
0.9828587223240721,733.7091505993753,D2-C1-R3-10m
0.9835420527795729,734.2192603401717,D2-C1-R3-20m
0.9835420527795729,734.2192603401717,D2-C1-R3-30m
0.9829083713472356,733.7462138535196,D2-C2-R3-10m
1.0,746.5052035804733,D2-C2-R3-20m
1.0,746.5052035804733,D2-C2-R3-30m
0.9829083713472356,733.7462138535196,D2-C3-R3-10m
1.0,746.5052035804733,D2-C3-R3-20m
1.0,746.5052035804733,D2-C3-R3-30m
