confirmation_delay_execution_cost,confirmation_delay_inventory_loss,drawdown_reduction,inventory_loss_avoided,net_pnl_improvement,profile_id,scenario,seed,symbol,true_breakout_loss_avoided,window_key
0.0,0.0,0.0,0.0,0.0,D2-C2-R3-30m,PRIMARY_ZERO_MAKER,59,MUUSDT,0.0,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.5680000000000064,0.8501510190197008,2.550596038039408,1.7519429720113484,D2-C3-R3-10m,PRIMARY_ZERO_MAKER,59,MUUSDT,1.7519429720113484,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,D2-C3-R3-20m,PRIMARY_ZERO_MAKER,59,MUUSDT,0.0,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,D2-C3-R3-30m,PRIMARY_ZERO_MAKER,59,MUUSDT,0.0,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.5680000000000064,0.8501510190197008,2.550596038039408,1.7477369928076976,D2-C1-R3-10m,PRIMARY_ZERO_MAKER,97,MUUSDT,1.7477369928076976,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.4830000000000041,0.935151019019703,2.6355960380394103,1.8327369928076997,D2-C1-R3-20m,PRIMARY_ZERO_MAKER,97,MUUSDT,1.8327369928076997,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.09800000000000182,1.3201510190197054,3.020596038039413,2.217736992807702,D2-C1-R3-30m,PRIMARY_ZERO_MAKER,97,MUUSDT,2.217736992807702,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.5680000000000064,0.8501510190197008,2.550596038039408,1.7477369928076976,D2-C2-R3-10m,PRIMARY_ZERO_MAKER,97,MUUSDT,1.7477369928076976,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,D2-C2-R3-20m,PRIMARY_ZERO_MAKER,97,MUUSDT,0.0,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,D2-C2-R3-30m,PRIMARY_ZERO_MAKER,97,MUUSDT,0.0,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.5680000000000064,0.8501510190197008,2.550596038039408,1.7477369928076976,D2-C3-R3-10m,PRIMARY_ZERO_MAKER,97,MUUSDT,1.7477369928076976,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,D2-C3-R3-20m,PRIMARY_ZERO_MAKER,97,MUUSDT,0.0,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,D2-C3-R3-30m,PRIMARY_ZERO_MAKER,97,MUUSDT,0.0,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.5680000000000064,0.685479519019701,2.550596038039408,1.4719591776617065,D2-C1-R3-10m,EXECUTION_STRESS,3,MUUSDT,1.4719591776617065,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.4830000000000041,0.7704795190197031,2.6355960380394103,1.5569591776617087,D2-C1-R3-20m,EXECUTION_STRESS,3,MUUSDT,1.5569591776617087,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.09800000000000182,1.1554795190197056,3.020596038039413,1.9419591776617111,D2-C1-R3-30m,EXECUTION_STRESS,3,MUUSDT,1.9419591776617111,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.5680000000000064,0.685479519019701,2.550596038039408,1.4719591776617065,D2-C2-R3-10m,EXECUTION_STRESS,3,MUUSDT,1.4719591776617065,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,D2-C2-R3-20m,EXECUTION_STRESS,3,MUUSDT,0.0,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,D2-C2-R3-30m,EXECUTION_STRESS,3,MUUSDT,0.0,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.5680000000000064,0.685479519019701,2.550596038039408,1.4719591776617065,D2-C3-R3-10m,EXECUTION_STRESS,3,MUUSDT,1.4719591776617065,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,D2-C3-R3-20m,EXECUTION_STRESS,3,MUUSDT,0.0,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,D2-C3-R3-30m,EXECUTION_STRESS,3,MUUSDT,0.0,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.5680000000000064,0.685479519019701,2.550596038039408,1.583065492807698,D2-C1-R3-10m,EXECUTION_STRESS,10,MUUSDT,1.583065492807698,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.4830000000000041,0.7704795190197027,2.6355960380394103,1.6680654928077001,D2-C1-R3-20m,EXECUTION_STRESS,10,MUUSDT,1.6680654928077001,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.09800000000000182,1.1554795190197056,3.020596038039413,2.0530654928077023,D2-C1-R3-30m,EXECUTION_STRESS,10,MUUSDT,2.0530654928077023,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.5680000000000064,0.685479519019701,2.550596038039408,1.583065492807698,D2-C2-R3-10m,EXECUTION_STRESS,10,MUUSDT,1.583065492807698,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
0.0,0.0,0.0,0.0,0.0,D2-C2-R3-20m,EXECUTION_STRESS,10,MUUSDT,0.0,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
