inventory_drag,inventory_tail_reduction,profile_id
960.2465654980736,0.0,CONTROL
275.9933148289409,0.7125807842012066,D2-R3
808.0245258371075,0.15852390951485418,D2-C1-R3-10m
831.251147226608,0.13433572470478605,D2-C1-R3-20m
905.8758368133641,0.05662163306619872,D2-C1-R3-30m
839.2947906009399,0.12595908097249664,D2-C2-R3-10m
960.2465654980736,0.0,D2-C2-R3-20m
960.2465654980736,0.0,D2-C2-R3-30m
839.2947906009399,0.12595908097249664,D2-C3-R3-10m
960.2465654980736,0.0,D2-C3-R3-20m
960.2465654980736,0.0,D2-C3-R3-30m
