classification,confirmation_state,profile_id,scenario,seed,signal_time,symbol,window_key
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-20m,PRIMARY_ZERO_MAKER,3,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-30m,PRIMARY_ZERO_MAKER,3,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-20m,PRIMARY_ZERO_MAKER,3,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-30m,PRIMARY_ZERO_MAKER,3,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-20m,PRIMARY_ZERO_MAKER,10,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-30m,PRIMARY_ZERO_MAKER,10,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-20m,PRIMARY_ZERO_MAKER,10,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-30m,PRIMARY_ZERO_MAKER,10,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-20m,PRIMARY_ZERO_MAKER,17,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-30m,PRIMARY_ZERO_MAKER,17,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-20m,PRIMARY_ZERO_MAKER,17,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-30m,PRIMARY_ZERO_MAKER,17,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-20m,PRIMARY_ZERO_MAKER,31,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-30m,PRIMARY_ZERO_MAKER,31,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-20m,PRIMARY_ZERO_MAKER,31,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-30m,PRIMARY_ZERO_MAKER,31,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-20m,PRIMARY_ZERO_MAKER,59,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-30m,PRIMARY_ZERO_MAKER,59,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-20m,PRIMARY_ZERO_MAKER,59,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-30m,PRIMARY_ZERO_MAKER,59,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-20m,PRIMARY_ZERO_MAKER,97,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-30m,PRIMARY_ZERO_MAKER,97,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-20m,PRIMARY_ZERO_MAKER,97,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-30m,PRIMARY_ZERO_MAKER,97,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-20m,EXECUTION_STRESS,3,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-30m,EXECUTION_STRESS,3,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-20m,EXECUTION_STRESS,3,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-30m,EXECUTION_STRESS,3,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-20m,EXECUTION_STRESS,10,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-30m,EXECUTION_STRESS,10,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-20m,EXECUTION_STRESS,10,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-30m,EXECUTION_STRESS,10,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-20m,EXECUTION_STRESS,17,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-30m,EXECUTION_STRESS,17,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-20m,EXECUTION_STRESS,17,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-30m,EXECUTION_STRESS,17,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-20m,EXECUTION_STRESS,31,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-30m,EXECUTION_STRESS,31,2026-07-13T01:58:59.999000+00:00,MUUSDT,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00
