breakout_protection_efficiency,confirmation_delay_median,confirmation_delay_p90,confirmation_event_count,execution_stress_net_pnl,f1,false_breakout_count,false_breakout_opportunity_cost,false_breakout_rate,grid_edge_retention,inventory_drag,inventory_realized_pnl,inventory_tail_reduction,maker_promo_off_net_pnl,max_drawdown,mean_net_pnl,missed_true_breakout_count,net_pnl,paired_grid_pnl,precision,profile_id,recall,runs,true_breakout_count,true_breakout_loss_avoided,true_negative_count,worst_window_pnl
0.0,0.0,0.0,0,-137.08175137379615,0.0,0,0.0,0.0,1.0,960.2465654980736,-960.2465654980736,0.0,-94.38884404394135,7.430614296089008,-1.2784449486848115,0,-299.15611799224587,746.5052035804733,0.0,CONTROL,0.0,234,0,0.0,0,-5.8430211197665
0.0,0.0,0.0,216,55.51243127972497,0.2857142857142857,180,0.0,0.8333333333333334,0.9391696508529289,275.9933148289409,-275.9933148289409,0.7125807842012066,104.42170474436145,5.912560146719638,1.2581770526949854,0,294.41343033062657,701.0950314065677,0.16666666666666666,D2-R3,1.0,234,36,0.0,0,-2.2267353343733
1.4680644420168087,10.0,10.0,54,-95.73058409692257,0.4,36,20.308247779266313,0.6666666666666666,0.9828587223240721,808.0245258371075,-808.0245258371075,0.15852390951485418,-51.28047999244408,7.430614296089008,-0.7297881333862297,18,-170.77042321237775,733.7091505993753,0.3333333333333333,D2-C1-R3-10m,0.5,234,18,29.813816444407696,144,-5.658637226006714
10974.538504607635,20.0,20.0,36,-101.34631042778662,1.0,0,0.0,0.0,0.9835420527795729,831.251147226608,-831.251147226608,0.13433572470478605,-57.64193287680355,7.430614296089008,-0.809447576693032,0,-189.4107329461695,734.2192603401717,1.0,D2-C1-R3-20m,1.0,234,36,109.74538504607636,180,-5.8430211197665
3827.3816444407776,30.0,30.0,18,-124.70247154090414,0.6666666666666666,0,0.0,0.0,0.9835420527795729,905.8758368133641,-905.8758368133641,0.05662163306619872,-81.58272273818346,7.430614296089008,-1.1148816305463167,18,-260.8823015478381,734.2192603401717,1.0,D2-C1-R3-30m,0.5,234,18,38.27381644440778,180,-5.8430211197665
1.938840289119766,10.0,10.0,36,-105.12352973738668,0.5,18,15.377138907064477,0.5,0.9829083713472356,839.2947906009399,-839.2947906009399,0.12595908097249664,-61.07715517705609,7.430614296089008,-0.8543234112054098,18,-199.9116782220659,733.7462138535196,0.5,D2-C2-R3-10m,0.5,234,18,29.813816444407696,162,-5.658637226006714
0.0,0.0,0.0,0,-137.08175137379615,0.0,0,0.0,0.0,1.0,960.2465654980736,-960.2465654980736,0.0,-94.38884404394135,7.430614296089008,-1.2784449486848115,36,-299.15611799224587,746.5052035804733,0.0,D2-C2-R3-20m,0.0,234,0,0.0,180,-5.8430211197665
0.0,0.0,0.0,0,-137.08175137379615,0.0,0,0.0,0.0,1.0,960.2465654980736,-960.2465654980736,0.0,-94.38884404394135,7.430614296089008,-1.2784449486848115,36,-299.15611799224587,746.5052035804733,0.0,D2-C2-R3-30m,0.0,234,0,0.0,180,-5.8430211197665
1.938840289119766,10.0,10.0,36,-105.12352973738668,0.5,18,15.377138907064477,0.5,0.9829083713472356,839.2947906009399,-839.2947906009399,0.12595908097249664,-61.07715517705609,7.430614296089008,-0.8543234112054098,18,-199.9116782220659,733.7462138535196,0.5,D2-C3-R3-10m,0.5,234,18,29.813816444407696,162,-5.658637226006714
0.0,0.0,0.0,0,-137.08175137379615,0.0,0,0.0,0.0,1.0,960.2465654980736,-960.2465654980736,0.0,-94.38884404394135,7.430614296089008,-1.2784449486848115,36,-299.15611799224587,746.5052035804733,0.0,D2-C3-R3-20m,0.0,234,0,0.0,180,-5.8430211197665
0.0,0.0,0.0,0,-137.08175137379615,0.0,0,0.0,0.0,1.0,960.2465654980736,-960.2465654980736,0.0,-94.38884404394135,7.430614296089008,-1.2784449486848115,36,-299.15611799224587,746.5052035804733,0.0,D2-C3-R3-30m,0.0,234,0,0.0,180,-5.8430211197665
